Affymetrix ID	FC	Gene Symbol
205433_at	23.6	BCHE
202437_s_at	18.55	CYP1B1
206569_at	11.25	IL24
211571_s_at	11.13	CSPG2
204475_at	10.3	MMP1
217388_s_at	10.2	KYNU
222945_x_at	9.998	THEDC1
230311_s_at	8.688	PRDM6
201720_s_at	8.592	LAPTM5
230493_at	7.968	TMEM46
232201_at	7.127	NKD2
218469_at	7.123	GREM1
208161_s_at	6.315	ABCC3
211180_x_at	6.282	RUNX1
220169_at	6.276	TMEM156
214164_x_at	6.27	CA12
230102_at	6.153	ETV5
239201_at	5.716	ALS2CR7
204741_at	5.626	BICD1
221760_at	5.534	MAN1A1
242242_at	5.322	USP6
227828_s_at	5.28	FAM176A
204345_at	5.238	COL16A1
223655_at	4.933	CD163L1
201467_s_at	4.904	NQO1
204749_at	4.853	NAP1L3
235236_at	4.822	DOCK2
204420_at	4.756	FOSL1
218723_s_at	4.614	RGC32
214974_x_at	4.609	CXCL5
202833_s_at	4.443	SERPINA1
221911_at	4.232	ETV1
219660_s_at	4.196	ATP8A2
221489_s_at	4.124	SPRY4
206695_x_at	4.091	ZNF43
208891_at	4.012	DUSP6
229437_at	3.952	BIC
206785_s_at	3.917	KLRC1 /// KLRC2
229222_at	3.885	ACSS3
202363_at	3.875	SPOCK1
205960_at	3.788	PDK4
1552798_a_at	3.644	TLR4
1556341_s_at	3.62	MAPK12
1555673_at	3.579	KRTAP2-1
229354_at	3.555	AHRR
230112_at	3.551	38047
202957_at	3.524	HCLS1
201387_s_at	3.459	UCHL1
209742_s_at	3.458	MYL2
210089_s_at	3.445	LAMA4
214993_at	3.405	ASPHD1
239058_at	3.376	FOXC2
226997_at	3.358	ADAMTS12
205767_at	3.357	EREG
235245_at	3.33	TMEM92
208850_s_at	3.292	THY1
224209_s_at	3.266	GDA
224480_s_at	3.261	LPAAT-THETA
205453_at	3.248	HOXB2
228335_at	3.22	CLDN11
227705_at	3.182	TCEAL7
214913_at	3.179	ADAMTS3
233307_x_at	3.148	MGST3
227444_at	3.136	ARMCX4
205347_s_at	3.114	TMSL8
228501_at	3.114	GALNTL2
219707_at	3.105	CPNE7
226281_at	3.09	DNER
225163_at	3.042	FRMD4A
206232_s_at	3.022	B4GALT6
209909_s_at	2.993	TGFB2
205896_at	2.982	SLC22A4
1560879_a_at	2.971	SYT15
216253_s_at	2.961	PARVB
205542_at	2.941	STEAP1
219295_s_at	2.938	PCOLCE2
204955_at	2.935	SRPX
203665_at	2.903	HMOX1
235205_at	2.899	LOC346887
209699_x_at	2.894	AKR1C2
201348_at	2.886	GPX3
230440_at	2.832	ZNF469
1555006_at	2.813	WDR66
204464_s_at	2.812	EDNRA
210332_at	2.801	ACHE
229963_at	2.8	NGFRAP1L1
227080_at	2.794	ZNF697
235710_at	2.793	VPS53
214930_at	2.768	SLITRK5
208510_s_at	2.766	PPARG
204929_s_at	2.737	VAMP5
203999_at	2.723	SYT1
1560011_at	2.719	PSCA
203404_at	2.719	ARMCX2
208250_s_at	2.707	DMBT1 /// LOC651334
220334_at	2.678	RGS17
207469_s_at	2.678	PIR
215071_s_at	2.678	HIST1H2AC
219315_s_at	2.677	TMEM204
243746_at	2.672	IGHMBP2
244128_x_at	2.671	GLIS1
231767_at	2.67	HOXB4
211701_s_at	2.669	TRO
207876_s_at	2.662	FLNC
203562_at	2.658	FEZ1
205119_s_at	2.655	FPR1
227226_at	2.651	MRAP2
205794_s_at	2.635	NOVA1
223253_at	2.628	EPDR1
227182_at	2.617	SUSD3
212504_at	2.603	DIP2C
202311_s_at	2.603	COL1A1
206467_x_at	2.596	TNFRSF6B /// RTEL1
207526_s_at	2.594	IL1RL1
209312_x_at	2.592	HLA-DRB1
230240_at	2.589	DYRK3
228158_at	2.577	LSP1
232035_at	2.574	HIST1H4H
217996_at	2.543	PHLDA1
226944_at	2.541	HTRA3
224132_at	2.533	MGC13008
217680_x_at	2.511	RPL10  LOC647074
209870_s_at	2.502	APBA2
213603_s_at	2.494	RAC2
1552335_at	2.489	CATSPER1
228176_at	2.484	EDG3
209908_s_at	2.482	TGFB2
202478_at	2.481	TRIB2
217039_x_at	2.48	IGHG1
213093_at	2.476	PRKCA
202083_s_at	2.469	SEC14L1
209652_s_at	2.464	PGF
242804_at	2.462	POLN
201506_at	2.448	TGFBI
243541_at	2.448	IL31RA
218272_at	2.44	TTC38
223687_s_at	2.439	LY6K
203817_at	2.433	GUCY1B3
230788_at	2.426	GCNT2
215767_at	2.417	C2orf10
