Affymetrix_ID	FC	Gene_Symbol
204664_at	-223.2142857	ALPP
209792_s_at	-145.9854015	KLK10
207935_s_at	-64.93506494	KRT13
215729_s_at	-55.86592179	VGLL1
201650_at	-51.54639175	KRT19
213240_s_at	-47.39336493	KRT4
206884_s_at	-45.66210046	SCEL
216905_s_at	-44.84304933	ST14
224650_at	-43.85964912	MAL2
219764_at	-42.55319149	FZD10
206125_s_at	-39.68253968	KLK8
225645_at	-37.45318352	EHF
203256_at	-35.97122302	CDH3
1555800_at	-35.97122302	ZNF533
232165_at	-32.67973856	EPPK1
1553132_a_at	-31.05590062	MTAC2D1
219856_at	-29.3255132	C1orf116
213050_at	-29.06976744	COBL
225846_at	-29.06976744	RBM35A
205778_at	-27.100271	KLK7
203638_s_at	-25.51020408	FGFR2
226907_at	-24.75247525	PPP1R14C
65517_at	-23.75296912	AP1M2
212750_at	-23.75296912	PPP1R16B
201131_s_at	-23.58490566	CDH1
202489_s_at	-23.4741784	FXYD3
206008_at	-23.41920375	TGM1
1566764_at	-22.93577982	MACC1
203397_s_at	-20.32520325	GALNT3
235075_at	-20.2020202	DSG3
205980_s_at	-19.76284585	ARHGAP8                                                                                                                                                                                                                                                                                                          
202525_at	-19.49317739	PRSS8
212657_s_at	-19.30501931	IL1RN
218186_at	-18.97533207	RAB25
204351_at	-18.4501845	S100P
201150_s_at	-18.05054152	TIMP3
204734_at	-17.98561151	KRT15
236058_at	-16.69449082	C1orf172
203021_at	-16.58374793	SLPI
229842_at	-16.15508885	ELF3
220120_s_at	-15.7480315	EPB41L4A
201428_at	-15.47987616	CLDN4
229125_at	-15.22070015	ANKRD38
222242_s_at	-15.03759398	KLK5
223484_at	-14.77104874	C15orf48
202504_at	-14.3472023	TRIM29
202890_at	-14.06469761	MAP7
219511_s_at	-13.73626374	SNCAIP
201839_s_at	-13.67989056	TACSTD1
203074_at	-13.6239782	ANXA8 
219388_at	-13.53179973	GRHL2
210827_s_at	-13.21003963	ELF3
224646_x_at	-12.18026797	H19
218677_at	-12.10653753	S100A14
239273_s_at	-12.09189843	MMP28
225987_at	-11.84834123	STEAP4
204836_at	-11.69590643	GLDC
211194_s_at	-11.68224299	TP73L
211361_s_at	-11.49425287	SERPINB13
202790_at	-10.81081081	CLDN7
1552478_a_at	-10.79913607	IRF6
201820_at	-10.66098081	KRT5
207291_at	-10.60445387	PRRG4
226535_at	-10.02004008	INTGB6
232164_s_at	-9.900990099	EPPK1
213285_at	-9.900990099	TMEM30B
205780_at	-9.803921569	BIK
236279_at	-9.803921569	DENND1C
202286_s_at	-9.803921569	TACSTD2
231022_at	-9.615384615	DKFZP686P18101
206048_at	-9.345794393	OVOL2
39248_at	-9.174311927	AQP3
210064_s_at	-9.174311927	UPK1B
204455_at	-9.090909091	DST
202712_s_at	-9.009009009	CKMT1B /// CKMT1A
202828_s_at	-9.009009009	MMP14
227492_at	-9.009009009	OCLN
240304_s_at	-8.771929825	LOC646769
218692_at	-8.196721311	FLJ20366
203535_at	-8.130081301	S100A9
211619_s_at	-8	ALPP /// ALPPL2
206865_at	-7.8125	HRK
242944_at	-7.633587786	FAM83A
232202_at	-7.462686567	FAM83B
212531_at	-7.352941176	LCN2
209602_s_at	-7.194244604	GATA3
228262_at	-8	MAP7D2
213348_at	-7.8125	CDKN1C
205064_at	-7.633587786	SPRR1B
219580_s_at	-7.462686567	TMC5
225792_at	-7.352941176	HOOK1
1563512_at	-7.194244604	NOS1AP
213693_s_at	-7.194244604	MUC1
219684_at	-7.092198582	RTP4
228575_at	-6.993006993	FNDC6
203780_at	-6.993006993	EVA1
204750_s_at	-6.944444444	DSC2
219461_at	-6.944444444	PAK6
222830_at	-6.756756757	GRHL1
204019_s_at	-6.756756757	SH3YL1
206561_s_at	-6.711409396	AKR1B10
219429_at	-6.622516556	FA2H
203892_at	-6.578947368	WFDC2
227803_at	-6.535947712	ENPP5
219934_s_at	-6.451612903	SULT1E1
226899_at	-6.451612903	UNC5B
219790_s_at	-6.25	NPR3
239853_at	-6.172839506	KLC3
205769_at	-6.172839506	SLC27A2
209189_at	-6.134969325	FOS
222496_s_at	-6.134969325	FLJ20273
1555962_at	-5.952380952	B3GNT7
228260_at	-5.917159763	ELAVL2
225344_at	-5.882352941	NCOA7
228320_x_at	-5.882352941	CCDC64
225757_s_at	-5.681818182	CLMN
230828_at	-5.617977528	GRAMD2
202376_at	-5.494505495	SERPINA3
202826_at	-5.494505495	SPINT1
229552_at	-5.464480874	LOC283454
205490_x_at	-5.434782609	GJB3
202411_at	-5.434782609	IFI27
229638_at	-5.434782609	IRX3
206429_at	-5.405405405	F2RL1
238673_at	-5.405405405	SAMD12
212070_at	-5.347593583	GPR56
225822_at	-5.347593583	TMEM125
205473_at	-5.319148936	ATP6V1B1
219936_s_at	-5.319148936	GPR87
203037_s_at	-5.319148936	MTSS1
226213_at	-5.18134715	ERBB3
235626_at	-5.128205128	CAMK1D
226799_at	-4.975124378	FGD6
202687_s_at	-4.95049505	TNFSF10
229385_s_at	-4.901960784	PLAC2
226382_at	-4.901960784	LOC283070
226494_at	-4.901960784	KIAA1543
213056_at	-4.784688995	FRMD4B
219195_at	-4.784688995	PPARGC1A
234730_s_at	-4.761904762	RIPK4
204733_at	-4.739336493	KLK6
209791_at	-4.651162791	PADI2
213844_at	-4.608294931	HOXA5
220979_s_at	-4.566210046	ST6GALNAC5
1553989_a_at	-4.545454545	ATP6V1C2
1555407_s_at	-4.545454545	FGD3
219127_at	-4.524886878	ATAD4
208190_s_at	-4.524886878	LSR
219488_at	-4.484304933	A4GALT
225864_at	-4.464285714	FAM84B
232609_at	-4.444444444	CRB3
41660_at	-4.385964912	CELSR1
204588_s_at	-4.329004329	SLC7A7
204542_at	-4.329004329	ST6GALNAC2
217966_s_at	-4.329004329	C1orf24
210715_s_at	-4.291845494	SPINT2
1555829_at	-4.273504274	FAM62B
244616_x_at	-4.237288136	CPM
202524_s_at	-4.132231405	SPOCK2
1560101_at	-4.132231405	SYDE2
203961_at	-4.115226337	NEBL
1554279_a_at	-4.098360656	TRMT2B
213667_at	-4.098360656	SRCAP
208530_s_at	-4.081632653	RARB
210004_at	-4.032258065	OLR1
223000_s_at	-3.984063745	F11R
203407_at	-3.984063745	PPL
242774_at	-3.95256917	SYNE2
1568619_s_at	-3.937007874	ITPRIPL2
40016_g_at	-3.921568627	MAST4
238778_at	-3.921568627	MPP7
216377_x_at	-3.875968992	ALPPL2
204971_at	-3.831417625	CSTA
207076_s_at	-3.816793893	ASS
209784_s_at	-3.802281369	JAG2
232914_s_at	-3.759398496	SYTL2
229292_at	-3.745318352	EPB41L5
219722_s_at	-3.745318352	GDPD3
200606_at	-3.663003663	DSP
203642_s_at	-3.636363636	COBLL1
228155_at	-3.636363636	C10orf58
226225_at	-3.623188406	MCC
227276_at	-3.584229391	PLXDC2
1553986_at	-3.584229391	RASEF
210372_s_at	-3.558718861	TPD52L1
226844_at	-3.533568905	MOBKL2B
227198_at	-3.484320557	AFF3
1553613_s_at	-3.484320557	FOXC1
218747_s_at	-3.448275862	TAPBPL
238028_at	-3.448275862	FLJ90086
222773_s_at	-3.424657534	GALNT12
1552390_a_at	-3.424657534	C8orf47
219529_at	-3.412969283	CLIC3
226757_at	-3.378378378	IFIT2
1561180_at	-3.378378378	LRP11
204719_at	-3.367003367	ABCA8
223681_s_at	-3.355704698	INADL
202035_s_at	-3.355704698	SFRP1
219054_at	-3.344481605	C5orf23
202023_at	-3.333333333	EFNA1
220161_s_at	-3.333333333	EPB41L4B
241268_x_at	-3.333333333	SAMHD1
213839_at	-3.333333333	KIAA0500
235955_at	-3.322259136	MARVELD2
202149_at	-3.311258278	NEDD9
223075_s_at	-3.300330033	AIF1L
226246_at	-3.267973856	KCTD1
200831_s_at	-3.267973856	SCD
240259_at	-3.25732899	FLRT2
235106_at	-3.246753247	MAML2
227461_at	-3.236245955	STON2
204989_s_at	-3.225806452	ITGB4
218966_at	-3.215434084	MYO5C
203238_s_at	-3.215434084	NOTCH3
239153_at	-3.215434084	HOTAIR
1554006_a_at	-3.194888179	LLGL2
236524_at	-3.194888179	TM2D1
203287_at	-3.144654088	LAD1
202600_s_at	-3.134796238	NRIP1
210150_s_at	-3.125	LAMA5
222354_at	-3.125	F11R
226035_at	-3.105590062	USP31
1557236_at	-3.086419753	APOL6
212560_at	-3.086419753	SORL1
203859_s_at	-3.058103976	PALM
215807_s_at	-3.048780488	PLXNB1
221232_s_at	-3.039513678	ANKRD2
222603_at	-3.03030303	ERMP1
227911_at	-3.021148036	ARHGAP28
1554544_a_at	-3.012048193	MBP
210096_at	-3.003003003	CYP4B1
214004_s_at	-3.003003003	VGLL4
218816_at	-2.958579882	LRRC1
207057_at	-2.949852507	SLC16A7
212823_s_at	-2.906976744	PLEKHG3
222592_s_at	-2.89017341	ACSL5
205108_s_at	-2.88184438	APOB
202295_s_at	-2.88184438	CTSH
235775_at	-2.88184438	TMTC2
223454_at	-2.873563218	CXCL16
206122_at	-2.857142857	SOX15
217979_at	-2.857142857	TSPAN13
228900_at	-2.849002849	CYTSB
206858_s_at	-2.824858757	HOXC6
220262_s_at	-2.793296089	EGFL9
217767_at	-2.78551532	C3 /// LOC653879
205110_s_at	-2.777777778	FGF13
229139_at	-2.777777778	JPH1
203143_s_at	-2.777777778	KIAA0040
203628_at	-2.762430939	IGF1R
213568_at	-2.762430939	OSR2
223839_s_at	-2.762430939	SCD
208779_x_at	-2.754820937	DDR1
201200_at	-2.732240437	CREG1
230708_at	-2.72479564	PRICKLE1
219010_at	-2.72479564	C1orf106
210461_s_at	-2.7100271	ABLIM1
214647_s_at	-2.7100271	HFE
209211_at	-2.69541779	KLF5
209865_at	-2.69541779	SLC35A3
221680_s_at	-2.688172043	ETV7
214639_s_at	-2.680965147	HOXA1
212344_at	-2.673796791	SULF1
201286_at	-2.638522427	SDC1
219411_at	-2.631578947	ELMO3
220335_x_at	-2.631578947	FLJ21736
1552430_at	-2.624671916	WDR17
242722_at	-2.617801047	LMO7
203110_at	-2.610966057	PTK2B
230076_at	-2.610966057	PITPNM 3
1554783_s_at	-2.604166667	ARHGEF2
202672_s_at	-2.604166667	ATF3
213005_s_at	-2.597402597	ANKRD15
219872_at	-2.597402597	C4orf18
235521_at	-2.583979328	HOXA3
213293_s_at	-2.583979328	TRIM22
230285_at	-2.570694087	SVIP
221893_s_at	-2.557544757	ADCK2
226702_at	-2.557544757	LOC129607
204786_s_at	-2.551020408	IFNAR2
243509_at	-2.538071066	BTG1
241782_at	-2.518891688	NEBL
235744_at	-2.512562814	PPTC7
227180_at	-2.506265664	ELOVL7
215780_s_at	-2.506265664	SET /// LOC642869
203215_s_at	-2.5	MYO6
227134_at	-2.5	SYTL1
223471_at	-2.487562189	RAB3IP
219077_s_at	-2.487562189	WWOX
219615_s_at	-2.481389578	KCNK5
213558_at	-2.481389578	PCLO
219938_s_at	-2.481389578	PSTPIP2
209873_s_at	-2.469135802	PKP3
229396_at	-2.463054187	OVOL1
205251_at	-2.463054187	PER2
230005_at	-2.463054187	SVIP
