replicate	gene
1	GRIN2A
1	KCNJ12
1	GFRA1
1	CDX2
1	CRABP1
1	SGPP2
1	DCP1B
1	NEUROD1
1	KIF26A
1	DPH1
1	LATS1
1	LHFPL5
1	EGFLAM
1	CCDC67
1	KCNN2
1	DCP1B
1	MTERF
1	ZNF790
1	NPTX2
1	FAAH
1	EMILIN2
1	SEPT11
1	ZNF790
1	ATP4A
1	ZNF471
1	C3orf70
1	FAM174B
1	FOXRED2
1	ZDBF2
1	LGR5
1	SORCS3
1	ARFGAP3
1	C5orf49
1	ENPP4
1	RALGPS1
1	TTC9B
1	GRIN2A
1	LHFPL5
1	EDNRB
1	AK5
1	OLFM1
1	ZIC2
1	RAPGEFL1
1	CRLF1
1	KIRREL3
1	LHFPL5
1	NEFH
1	THY1
1	ADAMTS18
1	EML1
1	TIAM1
1	SORCS3
1	VSTM2A
1	ZNF283
1	NOVA1
1	NEUROD1
1	RORB
1	KCNJ8
1	MAFB
1	CAMK2B
1	ZNF471
1	KIF1A
1	MIR137
1	NEFH
1	MARCH11
1	WNT11
1	EPHB6
1	FOXF1
1	C3orf70
1	IGDCC3
1	GRIN2A
1	KLF11
1	LOC387763
1	ST8SIA2
1	GPR83
1	CLEC4GP1
1	KCNJ8
1	GALNT9
1	SFRP5
1	ARHGDIG
1	HS3ST4
1	CCDC67
1	LHFPL5
1	ATCAY
1	TIAM1
1	OLIG3
1	MAPK8IP2
1	LOC200726
1	RFX6
1	AK5
1	GABRA2
1	ADAMTS18
1	HS3ST4
1	VAX2
1	DCP1B
1	LHFPL3
1	CSMD2
1	NAALAD2
1	JAKMIP1
1	FNDC3A
1	TTBK1
1	ST6GALNAC5
1	ONECUT2
1	C4orf19
1	ZNF790
1	ALX4
1	PTGER2
1	KCNF1
1	SLC22A17
1	CHST1
1	CDH6
1	EDNRB
1	FAM150A
1	C3orf70
1	CHRNA7
1	FLJ43390
1	FSD1
1	SGSM1
1	UNC13A
1	POU4F3
1	C1QL2
1	KCNJ8
1	KIAA1217
1	GPRC5B
1	EPHB6
1	HELT
1	ISLR2
1	SELV
1	CHST1
1	CYP51A1
1	DYX1C1
1	GATA5
1	ZNF804B
1	SV2C
1	ZNF471
1	GPR83
1	MAPK8IP2
1	CYP26B1
1	C8orf33
1	CACNG8
1	EDNRB
1	TMEM97
1	C11orf87
1	RAB15
1	FOXI3
1	CACNA2D2
1	C11orf87
1	SYCE1L
1	DGKI
1	LRP3
1	ZNF790
1	COL6A1
1	DCP1B
1	GALR1
1	ZNF804B
1	GFI1
1	CLIC6
1	ALOX15
1	PROK2
1	ZNF790
1	NAT8L
1	GNMT
1	GLB1L2
1	KCNC1
1	INSM2
1	CYS1
1	EPHX3
1	OGDHL
1	GRIN2A
1	SALL1
1	ICAM5
1	FAM178A
1	PRKAA2
1	EMX1
1	MYOCD
1	TMTC1
1	ICA1
1	ADM2
1	STOX1
1	SDHAP3
1	ZNF253
1	SORCS2
1	PIP5K1B
1	TOX3
1	SCN8A
1	CCNE1
1	SEZ6
1	HS6ST3
1	MYOCD
1	GSC
1	ONECUT2
1	DLX6AS
1	NEBL
1	FAM103A1
1	LOC645323
1	CRH
1	SCN8A
1	BMP3
1	ADAMTS9
1	ZNF717
1	ZNF790
1	IRX3
1	SFRP2
1	GFI1
1	CAMTA1
1	PRKAA2
1	HRK
1	KCNJ3
1	SLC5A7
1	SV2C
1	SLC22A17
1	HSPA2
1	DNAH14
1	LRP1B
1	STAT6
1	C3orf70
1	MSX1
1	CAMK2B
1	IGLON5
1	CNTFR
1	ZNF177
1	IHH
1	TMOD1
1	GAD2
1	GPR37
1	HS3ST4
1	MCM5
1	C8orf33
1	INSM2
1	SLC26A5
1	C8orf73
1	C3orf14
1	ZEB2
1	SMOC2
1	SALL1
1	NCAM1
1	IGF2BP1
1	NELL2
1	SEMA5B
1	TIAM1
1	ABCB1
1	ZIC2
1	FAM103A1
1	EDNRB
1	PRICKLE1
1	POU4F1
1	AK5
1	RPRM
1	MFSD3
1	LOC100190940
1	RIMS4
1	CRABP1
1	RAPGEFL1
1	SV2B
1	MORF4L1
1	LOC84856
1	ABCA7
1	PCDHB1
1	KATNAL2
1	CHRNA7
1	FGFR3
1	BCL2L11
1	SLC16A9
1	CSMD2
1	ST6GALNAC5
1	PTGER2
1	CHRFAM7A
1	GRIN3A
1	PPAPDC1A
1	NEFL
1	MYOD1
1	EDNRB
1	NPTX1
1	INSM2
1	LHX8
1	UPF2
1	PVRL3
1	WDR90
1	UNC13A
1	MYOCD
1	DCP1B
1	PTCHD2
1	NTF3
1	RGMA
1	RAB3C
1	GRIN2A
1	PDE4C
1	C18orf1
1	KIAA1543
1	CACNA2D3
1	SFRP2
1	PNPLA5
1	KCNJ8
1	RBM24
1	SHISA9
1	NEUROD1
1	ZNF570
1	GALR1
1	ADC
1	AGBL2
1	LGR6
1	SHISA7
1	ZNF264
1	NKD2
1	SLC12A5
1	ST3GAL6
1	KCNB2
1	NTF3
1	RUFY1
1	LGR5
1	DBX1
1	SNTB1
1	RHBDL3
1	PHF21B
1	KIAA1026
1	DNAH14
1	RIMS1
1	MMP24
1	FGF10
1	ZNF790
1	ZNF763
1	CPXM1
1	HCN4
1	NXPH1
1	KCNH8
1	SEZ6L
1	GALR1
1	GUCY1A3
1	GRIN2A
1	GAD2
1	XKR5
1	ZNF300
1	C14orf106
1	ZNF37A
1	FAM47E
1	DMC1
1	BHLHE22
1	KIAA1026
1	ITGA8
1	CACNA2D2
1	TBX5
1	NEUROD1
1	ZNF300
1	VAX2
1	C8orf45
