probe	avg_expr_SC	avg_expr_SNC	avg_expr_NS	fdr_SC_NS	ttest_SC_NS	fdr_SNC_NS	ttest_SNC_NS	gene
200804_at	10.54	10.98	11.15	0.473	0.191	0.091	0.007	TEGT
201199_s_at	8.88	8.9	9.22	0.093	0.007	0.084	0.006	PSMD1
208469_s_at	4.65	4.65	5.74	0.073	0.004	0.059	0.002	EGFL8
217978_s_at	7.38	7.63	7.82	0.575	0.291	0.029	0	UBE2Q1
218661_at	6.39	6.4	6.93	0.079	0.005	0.139	0.016	FLJ14154
218153_at	7.36	6.89	7.65	0.022	0	0.33	0.091	CARS2
209240_at	7.93	8.18	8.55	0.285	0.063	0.104	0.009	OGT
32259_at	6.76	6.69	7.01	0.09	0.006	0.181	0.027	EZH1
205749_at	5.18	7.35	4.34	0.009	0	0.451	0.175	CYP1A1
203852_s_at	4.76	5.32	5.73	0.405	0.135	0.048	0.002	SMN1|SMN2
211623_s_at	9.09	8.91	9.6	0.075	0.004	0.172	0.024	FBL
44146_at	7.58	7.33	7.7	0.042	0.001	0.606	0.331	GMEB2
202748_at	6.54	6.56	5.62	0.061	0.003	0.059	0.003	GBP2
217865_at	7.41	8.04	8.71	0.175	0.023	0.068	0.003	RNF130
208620_at	8.59	9.1	9.27	0.653	0.378	0.104	0.009	PCBP1
213390_at	6.68	6.63	7.11	0.085	0.005	0.213	0.038	ZC3H4
200013_at	10.49	10.59	11	0.17	0.022	0.103	0.009	RPL24
207011_s_at	5.97	5.74	6.61	0.065	0.003	0.131	0.014	PTK7
221971_x_at	7.48	7.69	8.29	0.028	0.001	0.009	0	CTGLF2
218348_s_at	4.78	5.59	5.88	0.453	0.175	0.045	0.001	ZC3H7A
203155_at	5.55	5.75	6.32	0.173	0.023	0.078	0.005	SETDB1
203923_s_at	5.58	5.74	4.98	0.092	0.006	0.191	0.03	CYBB
208656_s_at	10	10.2	10.59	0.106	0.008	0.05	0.002	CCNI
36711_at	7.42	7.09	5.19	0.03	0.001	0.02	0	MAFF
212423_at	5.79	5.66	6.51	0.037	0.001	0.075	0.004	ZCCHC24
211654_x_at	7.84	8.33	8.88	0.379	0.118	0.083	0.005	HLA-DQB1
205379_at	7.08	6.98	5.88	0.124	0.011	0.084	0.006	CBR3
208371_s_at	7.33	7.49	7.88	0.116	0.01	0.05	0.002	RING1
209231_s_at	6.26	5.97	5.71	0.443	0.165	0.087	0.006	DCTN5
215749_s_at	6.79	7.01	7.17	0.472	0.19	0.053	0.002	GORASP1
202518_at	6.49	6.55	7.05	0.077	0.004	0.131	0.014	BCL7B
203911_at	6.98	7.01	6.12	0.028	0.001	0.042	0.001	RAP1GAP
38290_at	5.37	5.25	6.1	0.059	0.003	0.091	0.007	RGS14
213412_at	6.76	7.12	8.18	0.013	0	0.043	0.001	TJP3
209369_at	6.32	6.61	5.63	0.042	0.001	0.12	0.012	ANXA3
212449_s_at	7.55	7.43	6.68	0.126	0.012	0.073	0.004	LYPLA1
214092_x_at	5.59	5.55	6.5	0.016	0	0.017	0	SFRS14
212861_at	7.5	7.25	7.12	0.568	0.283	0.035	0.001	MFSD5
219488_at	5.99	5.98	6.48	0.035	0.001	0.115	0.011	A4GALT
202440_s_at	8.47	8.26	8.68	0.058	0.003	0.4	0.135	ST5
205680_at	6.81	6.36	7.99	0.004	0	0.032	0.001	MMP10
201104_x_at	7.83	8.34	8.54	0.541	0.255	0.055	0.002	NBPF11
212886_at	6.91	6.67	7.59	0.029	0.001	0.128	0.013	CCDC69
206461_x_at	9.26	9.27	10.33	0.061	0.003	0.062	0.003	MT1H|MT1P2
221689_s_at	8.24	8.4	7.86	0.09	0.006	0.276	0.062	PIGP
204754_at	5.74	5.34	6.18	0.04	0.001	0.251	0.052	HLF
211883_x_at	6.14	6.62	5.82	0.099	0.007	0.512	0.23	CEACAM1
218067_s_at	7.23	7.59	8.11	0.036	0.001	0.029	0	ARGLU1
205847_at	6.83	7.13	7.33	0.524	0.236	0.091	0.007	PRSS22
203660_s_at	6.74	6.55	7.4	0.017	0	0.047	0.002	PCNT
203554_x_at	8.1	7.93	7.28	0.153	0.018	0.082	0.005	PTTG1
201861_s_at	7.53	7.73	8.37	0.14	0.015	0.059	0.002	LRRFIP1
205323_s_at	7.51	7.75	8.05	0.139	0.014	0.038	0.001	MTF1
215438_x_at	7.25	7.37	6.77	0.063	0.003	0.191	0.03	GSPT1
201952_at	11.66	11.45	11.78	0.088	0.006	0.602	0.324	ALCAM
209835_x_at	7.37	7.61	6.99	0.059	0.003	0.263	0.057	CD44
221989_at	5.52	6.11	6.8	0.097	0.007	0.017	0	RPL10
220046_s_at	6.25	7.09	7.25	0.618	0.336	0.055	0.002	CCNL1
217678_at	5.51	5.83	4.86	0.048	0.002	0.2	0.033	SLC7A11
204053_x_at	6.7	6.77	6.42	0.072	0.004	0.15	0.018	PTEN
212186_at	7.15	7.36	7.93	0.109	0.009	0.096	0.007	ACACA
214211_at	9.77	9.98	9.17	0.002	0	0.032	0.001	FTH1
200875_s_at	7.41	7.47	7.85	0.145	0.016	0.086	0.006	NOL5A
209225_x_at	8.89	8.47	7.81	0.103	0.008	0.031	0	TNPO1
213645_at	6.87	7.19	7.65	0.272	0.057	0.094	0.007	ENOSF1
208791_at	9.7	10	10.82	0.124	0.011	0.07	0.004	CLU
211941_s_at	9.29	9.65	10.26	0.155	0.018	0.058	0.002	PEBP1
210020_x_at	6.97	6.18	5.8	0.398	0.129	0.024	0	CALML3
219809_at	7.12	7	6.77	0.382	0.12	0.074	0.004	WDR55
211734_s_at	3.97	4.4	5.39	0.137	0.014	0.052	0.002	FCER1A
211004_s_at	8.6	8.77	9.55	0.063	0.003	0.064	0.003	ALDH3B1
213568_at	4.47	4.11	5.21	0.088	0.006	0.292	0.07	OSR2
202622_s_at	6.37	6.79	7.21	0.199	0.03	0.067	0.003	ATXN2
205997_at	6.16	7.03	7.6	0.229	0.04	0.043	0.001	ADAM28
202722_s_at	7.84	8.1	7.31	0.029	0.001	0.115	0.011	GFPT1
200058_s_at	8.34	8.32	8.84	0.058	0.003	0.102	0.009	ASCC3L1
205928_at	5.62	5.56	6.39	0.104	0.008	0.2	0.033	ZNF443
217890_s_at	5.74	6.5	6.86	0.463	0.181	0.089	0.006	PARVA
202888_s_at	4.82	4.6	5.84	0.066	0.003	0.094	0.007	ANPEP
204059_s_at	6.4	6.81	5.22	0.006	0	0.038	0.001	ME1
211986_at	8.92	9.25	9.92	0.04	0.001	0.047	0.001	AHNAK
208653_s_at	5.86	6.34	5.2	0.09	0.006	0.309	0.079	CD164
209019_s_at	7.15	7.26	7.94	0.045	0.002	0.08	0.005	PINK1
201884_at	10.68	11.31	8.38	0.002	0	0.014	0	CEACAM5
210037_s_at	5.4	5.63	6.75	0.143	0.015	0.083	0.005	NOS2A
202978_s_at	5.16	5.71	5.81	0.783	0.57	0.082	0.005	CREBZF
218204_s_at	6.29	6.62	7.03	0.037	0.001	0.096	0.008	FYCO1
202356_s_at	7.3	6.92	6.64	0.472	0.19	0.078	0.005	GTF2F1
202775_s_at	6.71	6.65	7.1	0.022	0	0.055	0.002	SFRS8
205009_at	7.93	7.73	6.52	0.026	0.001	0.029	0	TFF1
205970_at	6.47	6.22	7.15	0.044	0.002	0.115	0.011	MT3
207266_x_at	6.38	7.05	7.61	0.26	0.052	0.075	0.004	RBMS1
208918_s_at	7.22	7.1	6.42	0.007	0	0.009	0	NADK
206483_at	7.51	7.63	8.01	0.037	0.001	0.085	0.006	LRRC6
206798_x_at	8.25	8.37	9.02	0.053	0.002	0.02	0	DLEC1
209290_s_at	7.63	7.48	8.18	0.038	0.001	0.124	0.013	NFIB
218103_at	7.99	7.62	8.06	0.079	0.005	0.805	0.614	FTSJ3
220192_x_at	8.12	8.94	7.66	0.006	0	0.405	0.138	SPDEF
206492_at	5.42	5.26	6.03	0.034	0.001	0.136	0.015	FHIT
202581_at	8.04	7.74	6.99	0.343	0.094	0.101	0.008	HSPA1B
32137_at	7.84	7.63	8.55	0.002	0	0.009	0	JAG2
219275_at	4.82	5.05	5.66	0.145	0.016	0.065	0.003	PDCD5
201161_s_at	7	7.84	8.34	0.483	0.2	0.071	0.004	CSDA
211052_s_at	6.46	6.29	7.14	0.044	0.002	0.171	0.024	TBCD
207718_x_at	7.24	7.13	7.81	0.066	0.003	0.126	0.013	CYP2A6
201477_s_at	7.86	7.54	8.19	0.028	0.001	0.253	0.053	RRM1
200793_s_at	7.4	7.79	8.47	0.067	0.003	0.051	0.002	ACO2
200083_at	8.45	8.37	8.71	0.067	0.003	0.212	0.037	USP22
213397_x_at	8.31	8.14	7.21	0.047	0.002	0.031	0	RNASE4
208127_s_at	5.23	5.27	4.42	0.072	0.004	0.079	0.005	SOCS5
209439_s_at	5.89	5.99	6.6	0.045	0.002	0.035	0.001	PHKA2
219028_at	5.88	6.14	6.71	0.235	0.042	0.089	0.006	HIPK2
201431_s_at	7.22	7.6	6.55	0.069	0.004	0.227	0.043	DPYSL3
200820_at	7.71	7.84	8.51	0.126	0.012	0.103	0.009	PSMD8
205926_at	5.6	5.53	6.15	0.05	0.002	0.092	0.007	IL27RA
215714_s_at	6.97	7.19	7.89	0.098	0.007	0.142	0.016	SMARCA4
219526_at	7.3	6.95	6.79	0.582	0.298	0.067	0.003	C14orf169
221619_s_at	10.36	10.3	10.81	0.052	0.002	0.107	0.009	MTCH1
221741_s_at	7.77	7.94	8.43	0.07	0.004	0.031	0	YTHDF1
212775_at	4.88	5.02	5.67	0.13	0.013	0.094	0.007	OBSL1
211529_x_at	10.54	10.9	11.33	0.311	0.076	0.037	0.001	HLA-G
217952_x_at	6.16	6.35	6.92	0.205	0.032	0.075	0.004	PHF3
213288_at	7.29	7.55	7.16	0.059	0.003	0.606	0.33	MBOAT2
211858_x_at	9.66	10.27	11.2	0.135	0.014	0.037	0.001	GNAS
204645_at	5	5.35	5.61	0.477	0.194	0.082	0.005	CCNT2
208935_s_at	5.34	5.46	6.01	0.105	0.008	0.071	0.004	LGALS8
217903_at	6.25	6.35	6.81	0.065	0.003	0.031	0	STRN4
201004_at	10.6	10.5	10.06	0.075	0.004	0.041	0.001	SSR4
207959_s_at	7.52	7.2	7.96	0.045	0.002	0.29	0.069	DNAH9
208674_x_at	7.97	7.67	7.22	0.299	0.07	0.098	0.008	DDOST
201760_s_at	6.68	6.91	5.93	0.077	0.004	0.165	0.022	WSB2
203506_s_at	5.48	5.9	6.71	0.039	0.001	0.043	0.001	MED12
218476_at	5.99	5.62	6.45	0.024	0	0.166	0.022	POMT1
208774_at	7.34	7.54	8.28	0.047	0.002	0.101	0.008	CSNK1D
221875_x_at	10.53	10.93	11.19	0.529	0.241	0.083	0.005	HLA-F
219753_at	5.64	5.78	6.42	0.1	0.007	0.058	0.002	STAG3
208633_s_at	5.7	6.04	6.56	0.26	0.052	0.091	0.007	MACF1
200072_s_at	8.31	8.56	9.48	0.066	0.003	0.046	0.001	HNRNPM
200810_s_at	9.45	9.4	10.16	0.033	0.001	0.057	0.002	CIRBP
202634_at	6.17	6.16	5.48	0.103	0.008	0.081	0.005	POLR2K
204755_x_at	5.92	5.39	6.41	0.024	0	0.159	0.021	HLF
213572_s_at	8.24	8.22	7.36	0.09	0.006	0.081	0.005	SERPINB1
209067_s_at	7.1	7.45	7.94	0.282	0.061	0.027	0	HNRPDL
218387_s_at	8.84	8.36	8.16	0.481	0.198	0.054	0.002	PGLS
217187_at	8.5	8.77	7.53	0.002	0	0.019	0	MUC5AC
205652_s_at	5.86	5.84	6.53	0.078	0.005	0.145	0.017	TTLL1
204249_s_at	7.7	7.89	8.38	0.09	0.006	0.07	0.004	LMO2
214404_x_at	7.86	8.74	7.11	0.001	0	0.147	0.017	SPDEF
220302_at	6.47	6.52	6.88	0.081	0.005	0.082	0.005	MAK
218152_at	5.39	5.54	6.06	0.09	0.006	0.08	0.005	HMG20A
212014_x_at	6.9	7.21	6.56	0.04	0.001	0.346	0.102	CD44
201229_s_at	4.84	5.1	6.22	0.082	0.005	0.071	0.004	ARIH2
209863_s_at	8.16	7.94	8.76	0.013	0	0.061	0.003	TP63
211538_s_at	6.56	6.33	7.53	0.004	0	0.025	0	HSPA2
