Gene Module Number	EnsemblID
1	ENSG00000001084
1	ENSG00000006210
1	ENSG00000008256
1	ENSG00000010319
1	ENSG00000011028
1	ENSG00000011201
1	ENSG00000011523
1	ENSG00000012660
1	ENSG00000017483
1	ENSG00000019144
1	ENSG00000019549
1	ENSG00000020181
1	ENSG00000020577
1	ENSG00000024422
1	ENSG00000031081
1	ENSG00000035862
1	ENSG00000042832
1	ENSG00000049130
1	ENSG00000049540
1	ENSG00000050165
1	ENSG00000053747
1	ENSG00000054965
1	ENSG00000060140
1	ENSG00000061918
1	ENSG00000063180
1	ENSG00000064042
1	ENSG00000064205
1	ENSG00000064300
1	ENSG00000064989
1	ENSG00000065054
1	ENSG00000065320
1	ENSG00000067445
1	ENSG00000069122
1	ENSG00000069188
1	ENSG00000069702
1	ENSG00000071246
1	ENSG00000072041
1	ENSG00000072195
1	ENSG00000072210
1	ENSG00000072840
1	ENSG00000073067
1	ENSG00000073282
1	ENSG00000073712
1	ENSG00000074356
1	ENSG00000074590
1	ENSG00000074660
1	ENSG00000076706
1	ENSG00000077782
1	ENSG00000078018
1	ENSG00000079102
1	ENSG00000079308
1	ENSG00000080573
1	ENSG00000081052
1	ENSG00000081913
1	ENSG00000082497
1	ENSG00000082781
1	ENSG00000085998
1	ENSG00000087116
1	ENSG00000087245
1	ENSG00000088367
1	ENSG00000091136
1	ENSG00000091879
1	ENSG00000092096
1	ENSG00000092421
1	ENSG00000092969
1	ENSG00000099953
1	ENSG00000100154
1	ENSG00000101331
1	ENSG00000101665
1	ENSG00000101825
1	ENSG00000102302
1	ENSG00000102755
1	ENSG00000103196
1	ENSG00000103241
1	ENSG00000103723
1	ENSG00000103852
1	ENSG00000104953
1	ENSG00000105088
1	ENSG00000105227
1	ENSG00000105371
1	ENSG00000105376
1	ENSG00000105419
1	ENSG00000105538
1	ENSG00000105738
1	ENSG00000105866
1	ENSG00000105974
1	ENSG00000106070
1	ENSG00000106123
1	ENSG00000106333
1	ENSG00000106571
1	ENSG00000106624
1	ENSG00000108821
1	ENSG00000108852
1	ENSG00000108924
1	ENSG00000109099
1	ENSG00000109107
1	ENSG00000109193
1	ENSG00000109610
1	ENSG00000110002
1	ENSG00000110200
1	ENSG00000110799
1	ENSG00000110811
1	ENSG00000111341
1	ENSG00000111452
1	ENSG00000111799
1	ENSG00000112320
1	ENSG00000112414
1	ENSG00000112562
1	ENSG00000112769
1	ENSG00000112782
1	ENSG00000112902
1	ENSG00000112936
1	ENSG00000112964
1	ENSG00000113140
1	ENSG00000113555
1	ENSG00000114270
1	ENSG00000114698
1	ENSG00000114923
1	ENSG00000115252
1	ENSG00000115306
1	ENSG00000115380
1	ENSG00000115414
1	ENSG00000116016
1	ENSG00000116678
1	ENSG00000116774
1	ENSG00000116962
1	ENSG00000117013
1	ENSG00000117122
1	ENSG00000117385
1	ENSG00000117643
1	ENSG00000118495
1	ENSG00000119138
1	ENSG00000119681
1	ENSG00000119699
1	ENSG00000119771
1	ENSG00000120156
1	ENSG00000120162
1	ENSG00000120318
1	ENSG00000120457
1	ENSG00000121068
1	ENSG00000121075
1	ENSG00000122035
1	ENSG00000122642
1	ENSG00000122707
1	ENSG00000122778
1	ENSG00000122786
1	ENSG00000123094
1	ENSG00000123384
1	ENSG00000124006
1	ENSG00000124406
