EnsemblID	Gene	Species	Gene Name
ENSG00000179029	TMEM107	Homo sapiens	transmembrane protein 107(TMEM107)
ENSG00000103852	TTC23	Homo sapiens	tetratricopeptide repeat domain 23(TTC23)
ENSG00000257084	MIR200CHG	Homo sapiens	MIR200C and MIR141 host gene(MIR200CHG)
ENSG00000135441	BLOC1S1	Homo sapiens	biogenesis of lysosomal organelles complex 1 subunit 1(BLOC1S1)
ENSG00000229852	KHDC1-AS1	Homo sapiens	KHDC1 antisense RNA 1(KHDC1-AS1)
ENSG00000224165	DNAJC27-AS1	Homo sapiens	DNAJC27 antisense RNA 1(DNAJC27-AS1)
ENSG00000205885	C1RL-AS1	Homo sapiens	C1RL antisense RNA 1(C1RL-AS1)
ENSG00000254815	LMNTD2-AS1	Homo sapiens	LMNTD2 antisense RNA 1(LMNTD2-AS1)
ENSG00000102524	TNFSF13B	Homo sapiens	TNF superfamily member 13b(TNFSF13B)
ENSG00000127824	TUBA4A	Homo sapiens	tubulin alpha 4a(TUBA4A)
ENSG00000182685	BRICD5	Homo sapiens	BRICHOS domain containing 5(BRICD5)
ENSG00000147437	GNRH1	Homo sapiens	gonadotropin releasing hormone 1(GNRH1)
ENSG00000236144	TMEM147-AS1	Homo sapiens	TMEM147 antisense RNA 1(TMEM147-AS1)
ENSG00000115828	QPCT	Homo sapiens	glutaminyl-peptide cyclotransferase(QPCT)
ENSG00000112799	LY86	Homo sapiens	lymphocyte antigen 86(LY86)
ENSG00000112796	ENPP5	Homo sapiens	ectonucleotide pyrophosphatase/phosphodiesterase family member 5(ENPP5)
ENSG00000135451	TROAP	Homo sapiens	trophinin associated protein(TROAP)
ENSG00000173726	TOMM20	Homo sapiens	translocase of outer mitochondrial membrane 20(TOMM20)
ENSG00000143067	ZNF697	Homo sapiens	zinc finger protein 697(ZNF697)
ENSG00000126500	FLRT1	Homo sapiens	fibronectin leucine rich transmembrane protein 1(FLRT1)
ENSG00000135426	TESPA1	Homo sapiens	thymocyte expressed, positive selection associated 1(TESPA1)
ENSG00000168394	TAP1	Homo sapiens	transporter 1, ATP binding cassette subfamily B member(TAP1)
ENSG00000118096	IFT46	Homo sapiens	intraflagellar transport 46(IFT46)
ENSG00000168395	ING5	Homo sapiens	inhibitor of growth family member 5(ING5)
ENSG00000168393	DTYMK	Homo sapiens	deoxythymidylate kinase(DTYMK)
ENSG00000135424	ITGA7	Homo sapiens	integrin subunit alpha 7(ITGA7)
ENSG00000135423	GLS2	Homo sapiens	glutaminase 2(GLS2)
ENSG00000224186	PITX1-AS1	Homo sapiens	PITX1 antisense RNA 1(PITX1-AS1)
ENSG00000147416	ATP6V1B2	Homo sapiens	ATPase H+ transporting V1 subunit B2(ATP6V1B2)
ENSG00000254837	LIPT2-AS1	Homo sapiens	LIPT2 antisense RNA 1(LIPT2-AS1)
ENSG00000109171	SLAIN2	Homo sapiens	SLAIN motif family member 2(SLAIN2)
ENSG00000167065	DUSP18	Homo sapiens	dual specificity phosphatase 18(DUSP18)
ENSG00000237491	LINC01409	Homo sapiens	long intergenic non-protein coding RNA 1409(LINC01409)
ENSG00000087266	SH3BP2	Homo sapiens	SH3 domain binding protein 2(SH3BP2)
ENSG00000102543	CDADC1	Homo sapiens	cytidine and dCMP deaminase domain containing 1(CDADC1)
ENSG00000184402	SS18L1	Homo sapiens	SS18L1 subunit of BAF chromatin remodeling complex(SS18L1)
ENSG00000155026	RSPH10B	Homo sapiens	radial spoke head 10 homolog B(RSPH10B)
ENSG00000135439	AGAP2	Homo sapiens	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2(AGAP2)
ENSG00000135437	RDH5	Homo sapiens	retinol dehydrogenase 5(RDH5)
