Gene	BH-Corrected_P_Value	Fold_Change
ME1	<1x10-16	4.34
PIR	8.92x10-14	2.93
SLC2A1	8.92x10-14	1.59
TRIM16	1.53x10-13	2.27
NPAS3	2.79x10-13	-2.12
CYP4X1	8.03x10-13	-1.7
WNK4	5.67x10-12	-2.34
RTN4RL1	1.85x10-11	-1.93
GALNT6	6.11x10-11	2.07
S100A10	4.94x10-10	1.82
NAV1	5.78x10-10	1.84
NOL3	6.22x10-10	1.51
CLDN10	1.45x10-9	2.45
KDELR3	2.18x10-9	2
FAM110C	6.97x10-9	1.68
CHST15	1.02x10-8	1.58
GALNT7	2.17x10-8	1.55
FHOD3	2.75x10-8	-1.89
CYP1B1	3.25x10-8	76.06
PLAG1	3.59x10-8	-1.51
SLC29A1	6.79x10-8	-1.72
KCNK6	9.18x10-8	1.64
LOC102724094	1.13x10-7	2.22
LOC105378604	2.00x10-7	-1.68
MSRB1	2.17x10-7	1.62
PEG10	2.19x10-7	-1.74
S100A14	2.65x10-7	1.63
LRP4	5.63x10-7	1.86
TMCC3	5.85x10-7	2.01
LOC284825	6.36x10-7	6.35
KCNB1	6.44x10-7	-1.66
CDC42EP5	7.88x10-7	1.87
DPP10	8.93x10-7	1.83
FOXA2	1.56x10-6	-1.67
LHX6	1.76x10-6	1.85
SIX3	1.76x10-6	2.67
GAD1	3.20x10-6	4.79
LFNG	4.93x10-6	1.63
DPP10-AS1	5.58x10-6	1.75
MATN2	6.08x10-6	2.42
NR4A3	7.01x10-6	1.87
LOC100507560	4.56x10-5	-1.73
PRKCB	7.42x10-5	-3.07
PDGFRL	7.59x10-5	1.8
GSTM3	0.0002	1.8
UCHL1	NA	NA
CCEPR	0.0004	1.52
KRT40	0.0006	1.68
DAPK1	0.001	-1.62
FAM3B	0.002	1.52
DNAJC12	0.002	1.7
DEFB1	0.004	2.29
KIAA1211	0.01	1.62
CDH2	0.02	1.92
