Gene Name	ABI Assay ID	Average expression in validation samplesa	Average expression in confirmation samplesb
Current Smokers	Never Smokers	Fold Change C/Nc	Current Smokers	Never Smokers	Fold Change C/Nc
Early Stage Adenocarcinoma	N = 27	N = 16		N = 12	N = 7	
AURKA	Hs00269212_m1	16.57	17.37	1.74	19.13	20.21	2.10
BIRC5	Hs00153353_m1	10.48	11.46	1.97	12.31	13.42	2.16
BIRC5	Hs00977611_g1	10.84	12.45	3.07	13.13	14.24	2.16
CCNA2	Hs00153138_m1	13.13	13.42	1.22	15.16	15.93	1.71
CENPF	Hs00193201_m1	11.23	12.87	3.13	12.89	13.00	1.08
C10orf23	Hs00216688_m1	11.78	12.58	1.74	13.72	14.74	2.03
CKS1B	Hs01029137_g1	9.36	9.91	1.46	11.19	11.69	1.41
FOXM1	Hs00153543_m1	10.43	11.65	2.33	12.25	12.92	1.60
GGH	Hs00608257_m1	11.92	13.75	3.55	14.79	15.70	1.88
KIF20A	Hs00194882_m1	12.40	13.65	2.38	15.26	15.76	1.41
KIF4A	Hs00602211_g1	12.42	13.66	2.37	14.64	15.82	2.27
MKI67	Hs00267195_m1	12.53	12.71	1.14	13.95	14.57	1.54
NEK2	Hs00601227_mH	12.61	14.52	3.74	15.91	18.01	4.27
TPX2	Hs00201616_m1	10.60	11.73	2.19	12.57	13.30	1.66
TTK	Hs00177412_m1	11.49	12.80	2.47	13.12	13.28	1.11
Non-Tumor Lung Tissue	N = 18	N = 7		N = 12	N = 9	
CEACAM5	Hs00237075_m1	10.98	14.85	14.58	13.30	13.51	1.16
CYBB	Hs00166163_m1	5.86	8.19	5.03	8.20	9.30	2.15
CYTL1	Hs00184064_m1	11.54	14.61	8.36	14.16	14.09	0.96
FGG	Hs00241037_m1	9.05	11.99	7.71	11.03	15.36	20.13
TM7SF4	Hs00229255_m1	14.99	18.20	8.15	17.42	18.47	2.07
