"ID"	"Gene.symbol"	"logFC"	"adj.P.Val"
"1"	"229819_at"	"A1BG"	-0.105945098298575	0.481267075842781
"2"	"232462_s_at"	"A1BG-AS1"	0.531339463807571	0.0223606072895678
"3"	"220951_s_at"	"A1CF"	0.302071779117957	0.122575924021981
"4"	"1558450_at"	"A2M"	0.109841380052034	0.452561541574156
"5"	"1564139_at"	"A2M-AS1"	-0.137823199996122	0.0724072176893339
"6"	"1553505_at"	"A2ML1"	0.145116950272799	0.63569633650646
"7"	"236394_at"	"A2MP1"	0.0654434618744331	0.864396425413494
"8"	"219488_at"	"A4GALT"	0.206054942537309	0.325650230721337
"9"	"221131_at"	"A4GNT"	0.235868967878528	0.411303581250122
"10"	"241552_at"	"AA06"	0.28349847573173	0.189850393835029
"11"	"218075_at"	"AAAS"	-0.0321755367623329	0.857612110406597
"12"	"218434_s_at"	"AACS"	0.127807663058254	0.00282307601474212
"13"	"1570020_at"	"AACSP1"	-0.199109008566868	0.565770077483862
"14"	"205969_at"	"AADAC"	0.169488387551196	0.255700658541734
"15"	"240420_at"	"AADACL2"	-0.13298843335125	0.721317445145991
"16"	"1569582_at"	"AADACP1"	0.0873039479159647	0.521473801857353
"17"	"223593_at"	"AADAT"	-0.614324991547413	9.30046000500157e-19
"18"	"227534_at"	"AAED1"	0.05487439318558	0.452923668145776
"19"	"202852_s_at"	"AAGAB"	0.179406317795552	0.00312865728849062
"20"	"225522_at"	"AAK1"	0.343810161614758	3.85732514953069e-15
"21"	"220268_at"	"AAMDC"	0.656536620200322	0.0180673382014409
"22"	"201511_at"	"AAMP"	-0.0181507869072117	0.846924286713767
"23"	"207225_at"	"AANAT"	0.0495687886182896	0.816432375667324
"24"	"218089_at"	"AAR2"	-0.0851271640065363	0.0807910320809558
"25"	"201000_at"	"AARS"	0.0260629777630612	0.684652226897428
"26"	"231845_at"	"AARS2"	-0.0697533651825601	0.327350615059126
"27"	"228041_at"	"AASDH"	0.119729358937294	0.0065225279332873
"28"	"202169_s_at"	"AASDHPPT"	-0.147271005814208	0.00064613138596029
"29"	"210852_s_at"	"AASS"	-0.118795412103994	0.439718005947712
"30"	"1563088_a_at"	"AATBC"	0.0387416080557923	0.77687416802001
"31"	"209165_at"	"AATF"	0.0497159769406412	0.406810004628238
"32"	"205986_at"	"AATK"	0.0832126510240538	0.695468218971056
"33"	"209459_s_at"	"ABAT"	-0.320281427231347	2.04779079399884e-05
"34"	"1570279_at"	"ABCA1"	0.380262999301578	0.0790671276483911
"35"	"220159_at"	"ABCA11P"	-0.0686183989735323	0.348469991946348
"36"	"215465_at"	"ABCA12"	0.395569978880636	0.0871219457942825
"37"	"1553605_a_at"	"ABCA13"	-0.794124217578851	3.52410191334265e-19
"38"	"231164_at"	"ABCA17P"	-0.13349531290435	0.520385514076913
"39"	"212772_s_at"	"ABCA2"	0.168703895510966	0.0876972312663309
"40"	"204343_at"	"ABCA3"	0.197222459444741	0.147003455330102
"41"	"1569102_at"	"ABCA4"	0.227198394408795	0.374972809563537
"42"	"241705_at"	"ABCA5"	0.130067408419139	0.397155985810336
"43"	"217504_at"	"ABCA6"	-0.15015815918294	0.459696671011491
"44"	"219577_s_at"	"ABCA7"	-0.121027253784009	0.292601949620849
"45"	"204719_at"	"ABCA8"	0.183478359280337	0.577415099362622
"46"	"242541_at"	"ABCA9"	0.173060721128877	0.295852145209179
"47"	"243951_at"	"ABCB1"	0.259539986328431	0.222321996882753
"48"	"223320_s_at"	"ABCB10"	-0.243213036593026	5.24746224107937e-06
"49"	"208288_at"	"ABCB11"	0.220945936179834	0.342928690963994
"50"	"207819_s_at"	"ABCB4"	0.635797368583261	0.00510441911437426
"51"	"209994_s_at"	"ABCB4///ABCB1"	0.193991846229022	0.433253613879404
"52"	"1569072_s_at"	"ABCB5"	0.472968548905833	0.0677683013245663
"53"	"203192_at"	"ABCB6"	1.02837664450518	5.06618923316075e-29
"54"	"209620_s_at"	"ABCB7"	-0.201002486809967	2.54494914307949e-05
"55"	"206317_s_at"	"ABCB8"	-0.107637420518573	0.745817269286791
"56"	"207561_s_at"	"ABCB8///ASIC3"	0.16746407594188	0.346514669180018
"57"	"207321_s_at"	"ABCB9"	0.294823755854237	0.255807093613636
"58"	"202804_at"	"ABCC1"	0.525537068431404	1.10492992062827e-17
"59"	"213485_s_at"	"ABCC10"	0.0798266383218138	0.318020540338879
"60"	"1554911_at"	"ABCC11"	0.545585667004268	0.0117365798630146
"61"	"1553410_a_at"	"ABCC12"	0.233221729195606	0.411921715063622
"62"	"1552583_s_at"	"ABCC13"	0.442544568872207	0.126030620168545
"63"	"206155_at"	"ABCC2"	-0.0741961287176949	0.59241100221495
"64"	"208161_s_at"	"ABCC3"	0.782729942006824	6.08480572780155e-06
"65"	"1555039_a_at"	"ABCC4"	0.15284360508814	0.366116318883428
"66"	"1558460_at"	"ABCC5"	0.151923774341685	0.0445491212944059
"67"	"236205_at"	"ABCC6P1"	-0.161803635503396	0.0752383167808492
"68"	"210245_at"	"ABCC8"	0.18957135278166	0.120562290713973
"69"	"208562_s_at"	"ABCC9"	0.289804604236595	0.275356565170969
