"Gene"	"log2FC"	"FDR"
"1"	"TSPAN6"	1.1931428704069	6.12613130820514e-15
"2"	"DPM1"	0.300240456270847	0.000581643894108431
"3"	"SCYL3"	0.544416868860306	2.83505509710027e-07
"4"	"C1orf112"	1.82336010055925	1.11896695258892e-24
"5"	"FGR"	-2.18792655302151	1.546453667831e-24
"6"	"CFH"	0.23064328923512	0.187905302714288
"7"	"FUCA2"	0.319783506639792	0.00092031869828803
"8"	"GCLC"	1.6172713088104	1.7069153728185e-09
"9"	"NFYA"	0.850613222324879	8.91885867691324e-17
"10"	"STPG1"	-0.231948537059276	0.050168409847981
"11"	"NIPAL3"	-0.5991342348863	5.93140002519564e-09
"12"	"LAS1L"	0.39437170900049	1.17081489420574e-06
"13"	"ENPP4"	-0.695703178462153	1.08464782735924e-07
"14"	"SEMA3F"	-0.452527297736909	0.0060245259608538
"15"	"CFTR"	-2.31063530425017	2.96596869777706e-11
"16"	"ANKIB1"	0.790301822612047	1.77897736284816e-12
"17"	"CYP51A1"	-0.91315606826065	2.2472236919034e-08
"18"	"KRIT1"	0.293617012089437	0.0182854148861364
"19"	"RAD52"	0.254386357137338	0.0605546875021971
"20"	"BAD"	-0.287312397674863	0.0243084240360507
"21"	"LAP3"	-0.22594679338468	0.0416169179476701
"22"	"CD99"	0.0717542945660226	0.575227953450037
"23"	"HS3ST1"	1.19166116785792	2.14253133165931e-08
"24"	"AOC1"	2.80769958807465	1.82189747266726e-07
"25"	"HECW1"	2.50415500639161	6.34538137000654e-16
"26"	"MAD1L1"	-0.408018889184823	0.0389196056888098
"27"	"LASP1"	0.217907917879184	0.0519039550235557
"28"	"SNX11"	-0.0412773832950153	0.663597388988401
"29"	"TMEM176A"	0.596977141692297	0.00575137970817476
"30"	"M6PR"	-0.232744879838248	0.0147764124462061
"31"	"KLHL13"	-0.522116544860799	0.0611509435609484
"32"	"CYP26B1"	-0.960409034420729	0.000625822459531604
"33"	"ICA1"	0.961295031746529	2.16548096744888e-15
"34"	"DBNDD1"	1.77664710100202	1.07984116284807e-15
