"Gene"	"log2FC"	"FDR"
"1"	"TSPAN6"	1.09234783854438	2.3600573382143e-10
"2"	"DPM1"	0.680269434338899	2.0605846437641e-09
"3"	"SCYL3"	0.246532094026425	0.0316086849402765
"4"	"C1orf112"	2.30131186326195	5.61675629535275e-27
"5"	"FGR"	-2.77544993452961	4.8073794087798e-30
"6"	"CFH"	-0.82516753562702	0.000609587089657043
"7"	"FUCA2"	0.0194699675417427	0.855109076380082
"8"	"GCLC"	2.49696017584682	7.766494107324e-14
"9"	"NFYA"	0.643509219639947	3.40424290164232e-09
"10"	"STPG1"	0.186078125708972	0.121369137979548
"11"	"NIPAL3"	-0.595661895469654	1.14753520293884e-07
"12"	"LAS1L"	0.578530114436931	1.08607304825039e-08
"13"	"ENPP4"	-2.59176423741663	9.63573697520496e-25
"14"	"SEMA3F"	1.15333185393869	2.25398827343196e-11
"15"	"CFTR"	-4.32160564811765	6.54385870673768e-26
"16"	"ANKIB1"	0.712548135774171	1.77019128728174e-09
"17"	"CYP51A1"	-0.340050790817463	0.059078592676788
"18"	"KRIT1"	0.366171797949764	0.00540470249934052
"19"	"RAD52"	0.504433694491898	0.00117446849787311
"20"	"MYH16"	1.97760791833975	2.11229436570471e-13
"21"	"BAD"	0.0469641917029642	0.683060105410908
"22"	"LAP3"	-0.676738360912927	3.83200730401668e-08
"23"	"CD99"	0.172692931080685	0.100218450387919
"24"	"HS3ST1"	0.525399797069926	0.0582363109670665
"25"	"AOC1"	0.763913386202134	0.0169229958504228
"26"	"WNT16"	1.94983054880033	4.05112137223429e-06
"27"	"HECW1"	2.30230922363335	5.38022203042565e-16
"28"	"MAD1L1"	-0.690775264710282	0.000721763589788899
"29"	"LASP1"	0.105538644089949	0.223503484180692
"30"	"SNX11"	0.0963058231497733	0.304469056742514
"31"	"TMEM176A"	-0.288611007702826	0.171056055474516
"32"	"M6PR"	0.236661600083717	0.0142261519043272
"33"	"KLHL13"	2.18555957059897	3.07829677268598e-09
"34"	"CYP26B1"	0.318626295675306	0.293270728627983
"35"	"ICA1"	-1.28234031771887	7.45412417992e-08
"36"	"DBNDD1"	0.655037553561907	0.00287451858772402
"37"	"ALS2"	0.19661358541989	0.0517199226673763
"38"	"CASP10"	-1.23716330051674	7.11412451733394e-18
"39"	"CFLAR"	-1.46693102306478	1.23626378060688e-22
"40"	"TFPI"	-2.6018395820457	3.11945649313936e-20
"41"	"NDUFAF7"	0.581171615500882	5.00005267034681e-07
"42"	"RBM5"	-0.641929000972245	2.0757966324703e-08
"43"	"MTMR7"	-0.878438338014323	2.00295027729342e-05
"44"	"SLC7A2"	-2.37084303049339	1.34225940702803e-13
"45"	"ARF5"	0.76179883816415	5.69404841866308e-14
"46"	"SARM1"	-0.605442785691883	0.000450630233467147
"47"	"POLDIP2"	0.888234940738773	9.13699621980955e-17
"48"	"PLXND1"	-1.22880249293805	2.89916318796775e-13
"49"	"AK2"	0.244521255293346	0.00165537249137936
"50"	"CD38"	-1.48253554153105	1.95177080477579e-08
"51"	"FKBP4"	2.06277389806013	2.26117609757351e-35
"52"	"KDM1A"	1.13787731701077	5.05218954585722e-19
"53"	"RBM6"	-0.409744692505654	0.000661078626488319
"54"	"CAMKK1"	-0.0309551869155977	0.831289357176601
"55"	"RECQL"	0.657567259609893	1.61254353622276e-07
"56"	"VPS50"	0.0951532827192736	0.374412410654997
"57"	"HSPB6"	-3.96945254842284	1.08678838204853e-35
"58"	"ARHGAP33"	0.841032245953722	0.000413118794536715
"59"	"NDUFAB1"	0.673666684611327	5.79519329072724e-11
"60"	"PDK4"	-4.59900824626479	3.76067510316427e-29
"61"	"SLC22A16"	0.0953570074689454	0.806971394743672
"62"	"ZMYND10"	-3.62049429733923	1.83226390236895e-12
"63"	"ABCB5"	-1.19436748671838	0.00325598207874365
"64"	"ARX"	-1.32692668290398	0.00949833401087889
"65"	"SLC25A13"	1.17808860236944	1.09147016238474e-15
"66"	"ST7"	-1.01482388680297	3.56103590350922e-21
"67"	"CDC27"	0.472583587178033	4.72531230741285e-08
"68"	"SLC4A1"	-3.44701269936962	8.32909769513602e-17
"69"	"CALCR"	-0.586277754522903	0.0178532766216293
"70"	"HCCS"	0.484742690880622	1.48154864003466e-06
"71"	"DVL2"	0.723261237672655	7.69930459056504e-10
"72"	"PRSS22"	1.09800503927477	0.000673061259842614
"73"	"UPF1"	0.49353888720475	3.94471248132265e-07
"74"	"SKAP2"	-0.747672703023427	1.98727390352735e-09
"75"	"SLC25A5"	0.730016399207078	1.01179873691649e-08
"76"	"MCUB"	0.354136608981036	0.00411946511255372
"77"	"HOXA11"	4.97192608598616	4.13209581424616e-17
"78"	"POLR2J"	0.846247880988603	7.6115872014814e-15
"79"	"DHX33"	0.92543927024902	1.70703578093268e-15
"80"	"MEOX1"	-0.00325622892442268	0.9943612399139
"81"	"THSD7A"	-2.10091274220482	5.23557168842097e-15
"82"	"LIG3"	1.23402180437222	3.6104714367345e-18
"83"	"RPAP3"	0.859320631554041	4.88692045492934e-16
"84"	"ACSM3"	-1.65670265811676	8.12870570336802e-10
"85"	"REXO5"	1.26397448303937	8.4801240963634e-11
"86"	"CIAPIN1"	0.491373855221151	8.98230369403329e-09
"87"	"SPPL2B"	0.431868191855479	0.000201408944138286
"88"	"FAM214B"	-0.389788113771638	0.00157735299110725
"89"	"COPZ2"	0.664096326893135	0.00336780121691231
"90"	"PRKAR2B"	-1.42357788913851	4.07595826726213e-14
"91"	"MSL3"	0.0832851373447436	0.41683325830982
"92"	"CREBBP"	0.0927985225657322	0.399036803458895
"93"	"TSPOAP1"	-1.01752203028125	2.31605714158962e-05
"94"	"MPO"	-1.75426466730341	4.82457316943574e-10
"95"	"PON1"	-2.21048752809324	6.25222825777632e-09
"96"	"GCFC2"	0.560254005515296	2.43562191679942e-07
"97"	"WDR54"	0.638958156467386	5.81538631031478e-05
"98"	"CROT"	0.447756113378436	0.00365786186174422
