"Gene" "FDR_A1" "log2FC_A1" "FDR_TE" "log2FC_TE" "CS_NS_A2" "FS_NS_A2" "CS_FS_A2" "FDR_A2"
"1" "AKR1B10" 7.17562126870581e-27 4.12330462786469 1.25197916344378e-05 3.72741532901859 4.28149972117821 1.63325242988639 2.64824729129181 1.76080955694506e-20
"2" "ALDOA" 2.56685541440208e-09 0.377069190795748 1.07127599840214e-08 1.02851587797445 0.403280237054123 0.34073314408918 0.0625470929649428 0.00277625439997219
"3" "ANOS1" 6.01228402686731e-06 -0.319167981113603 2.76235662267878e-19 -2.52848783889065 -1.42808823878348 -1.62826647059214 0.20017823180866 0.00837589739885925
"4" "CCDC33" 2.02157828548421e-05 -0.316011626090081 0.00963549264838895 -1.4102018711377 -0.8022786891703 -0.820599903635522 0.0183212144652227 0.00447848128921585
"5" "CCDC81" 3.90392943908362e-05 -0.35965267104101 1.94288729558599e-05 -1.62810494264494 -1.25976452347484 -1.20472662572982 -0.0550378977450121 0.00395101394895723
"6" "CEACAM5" 3.60104063787233e-21 2.4094840601311 4.78514625281668e-05 2.85541405993202 3.03515722592972 2.24370115383621 0.791456072093512 1.3510565997812e-08
"7" "CTNNAL1" 9.01155196186852e-08 -0.295049913803489 2.9116270112425e-11 -1.22656575786249 -1.21849314630758 -1.01335867622964 -0.205134470077941 0.00113585727827693
"8" "CX3CL1" 6.80952297266442e-27 -1.10114502861203 3.21211489407921e-08 -1.74851487310244 -1.60426709984228 -0.901024297789411 -0.703242802052865 1.05716068070329e-08
"9" "CYP2F1" 0.00122649611236906 -0.38717064443558 3.20706771107223e-08 -3.39030993986714 -1.19807500304174 -1.0992730261848 -0.0988019768569375 0.00226519530481115
"10" "EFEMP1" 1.21260827950743e-05 -0.365711755133661 4.58054720391002e-13 -1.83250633138912 -0.827027923153713 -0.927873025275243 0.10084510212153 0.00752729646072409
"11" "EPAS1" 2.83426825087013e-12 -0.495437974575129 3.39734845243306e-25 -2.54607090739015 -0.791636985600293 -0.785329600450822 -0.00630738514947105 9.67202866465159e-05
"12" "FAM114A1" 1.76735793634977e-11 0.319054884785707 5.51729457436039e-16 0.917238635975846 1.00928012531388 0.488968675558159 0.520311449755724 6.94871572710105e-12
"13" "FAM189A2" 2.48329573754965e-07 -0.283907240485997 8.82551207842831e-26 -3.41673275509792 -0.232119274803403 -0.227085644892306 -0.00503362991109713 0.01191916015179
"14" "GMDS" 4.61105167414536e-10 0.605731366751169 1.45575225935453e-15 1.23823661599617 0.787444225319072 0.609252107924795 0.178192117394277 0.000112766431078764
"15" "GPX2" 1.6545700248596e-45 2.55065831590469 0.0013470578034183 2.6060418353128 2.99507156392173 1.54168760611997 1.45338395780177 8.08212769202044e-17
"16" "HLA-DQB2" 1.31298406292051e-05 -0.580798654015139 0.00585156441598493 -1.13531449448478 -0.158640848056438 -0.172890232643681 0.0142493845872427 0.0063643164548066
"17" "HLF" 6.21739744843238e-07 -0.463952872876477 4.40424152831826e-14 -2.42298176337787 -1.08118634921802 -1.10355836336602 0.0223720141479995 0.000919612602553004
"18" "IL33" 0.0308613762194123 -0.249755122612989 3.29240782667466e-11 -1.98692637451617 -0.928554333267884 -1.05403214050642 0.125477807238541 0.00143247075536849
"19" "INPP4B" 0.0325510090633186 0.560169588084779 8.01059053321627e-05 1.01107332249584 0.3913150652287 0.689270164328421 -0.29795509909972 0.000617980421997718
"20" "ITM2A" 9.1802821931778e-17 -1.10502987515333 3.56262485768651e-15 -1.90165667178182 -0.99768332826118 -0.76471731361491 -0.232966014646269 1.72593345114215e-05
"21" "LMO2" 0.00157166061125032 -0.388624986499545 3.41436936209724e-19 -1.80032335990964 -0.629286194726962 -0.504092184934675 -0.125194009792287 0.00114627639256112
"22" "MAOB" 6.67425569206524e-20 -1.02755163662936 3.90733774391814e-12 -1.51188403472379 -0.957761754943224 -1.01801765697826 0.0602559020350353 0.0114857204860493
"23" "N4BP2L1" 1.35610243755812e-06 -0.312598402709652 2.59193718901366e-12 -1.24594596934031 -0.447538042697281 -0.45455219267365 0.00701414997636807 0.00162099235728416
"24" "NQO1" 5.66088510392258e-42 1.51728691106847 2.22628352554942e-09 2.22862019599232 2.06004571045268 0.992107693218683 1.06793801723399 8.74902558122188e-18
"25" "PTPRM" 1.15474869511371e-07 -0.373765193368833 1.10392513814064e-13 -1.46720199426962 -0.235638246898952 -0.291572720976902 0.0559344740779499 0.0200926563367845
"26" "S100P" 3.01752249502022e-10 0.650109162093635 0.00037253628087061 2.39697766699844 0.834118943085054 0.662580715249334 0.17153822783572 7.11712804921203e-05
"27" "SEMA5A" 7.36400536373058e-09 -0.538040225548277 6.59426726010383e-17 -2.22859954822449 -0.485389282406028 -0.47634329407594 -0.00904598833008841 0.013240748991112
"28" "SERPINB5" 0.0305366767871146 0.360109644522689 1.85111573262354e-06 3.49707394831849 0.922982449218315 1.02967511301138 -0.106692663793062 0.025663296656549
"29" "SRPX2" 1.46182522918777e-16 1.33443697682771 1.63429500092537e-09 1.91051546140622 2.05638598491342 1.50742417904399 0.548961805869435 1.25964552393423e-08
"30" "STXBP1" 2.14099089658919e-09 -0.291114655610171 2.63638878145347e-06 -0.742996448316353 -0.697699439195667 -0.874548875843404 0.176849436647737 0.000992377321225205
"31" "TMPRSS4" 2.28951318539771e-07 0.450624755512578 7.29153400544386e-14 4.19785828863473 0.830334287454809 0.709724724806641 0.120609562648168 9.79203019589483e-05
"32" "TNS1" 0.000122749928235176 -0.274973570349125 2.8750723495015e-19 -2.17192715989579 -0.763315539788475 -0.663595787438296 -0.0997197523501789 0.00017529719889007
"33" "YIPF1" 2.42747450501151e-13 0.305514527225483 1.90051668092107e-10 0.68535804096419 0.515357085826617 0.424841082349687 0.0905160034769299 0.000165546512943472
