"Gene" "FDR_A1" "log2FC_A1" "FDR_TE" "log2FC_TE" "CS_NS_A2" "FS_NS_A2" "CS_FS_A2" "FDR_A2"
"1" "AKR1B10" 7.17562126870581e-27 4.12330462786469 1.25197916344378e-05 3.72741532901859 4.28149972117821 1.63325242988639 2.64824729129181 1.76080955694506e-20
"2" "CEACAM5" 3.60104063787233e-21 2.4094840601311 4.78514625281668e-05 2.85541405993202 3.03515722592972 2.24370115383621 0.791456072093512 1.3510565997812e-08
"3" "CX3CL1" 6.80952297266442e-27 -1.10114502861203 3.21211489407921e-08 -1.74851487310244 -1.60426709984228 -0.901024297789411 -0.703242802052865 1.05716068070329e-08
"4" "CYP2F1" 0.00122649611236906 -0.38717064443558 3.20706771107223e-08 -3.39030993986714 -1.19807500304174 -1.0992730261848 -0.0988019768569375 0.00226519530481115
"5" "EPAS1" 2.83426825087013e-12 -0.495437974575129 3.39734845243306e-25 -2.54607090739015 -0.791636985600293 -0.785329600450822 -0.00630738514947105 9.67202866465159e-05
"6" "GMDS" 4.61105167414536e-10 0.605731366751169 1.45575225935453e-15 1.23823661599617 0.787444225319072 0.609252107924795 0.178192117394277 0.000112766431078764
"7" "GPX2" 1.6545700248596e-45 2.55065831590469 0.0013470578034183 2.6060418353128 2.99507156392173 1.54168760611997 1.45338395780177 8.08212769202044e-17
"8" "HLF" 6.21739744843238e-07 -0.463952872876477 4.40424152831826e-14 -2.42298176337787 -1.08118634921802 -1.10355836336602 0.0223720141479995 0.000919612602553004
"9" "INPP4B" 0.0325510090633186 0.560169588084779 8.01059053321627e-05 1.01107332249584 0.3913150652287 0.689270164328421 -0.29795509909972 0.000617980421997718
"10" "ITM2A" 9.1802821931778e-17 -1.10502987515333 3.56262485768651e-15 -1.90165667178182 -0.99768332826118 -0.76471731361491 -0.232966014646269 1.72593345114215e-05
"11" "LMO2" 0.00157166061125032 -0.388624986499545 3.41436936209724e-19 -1.80032335990964 -0.629286194726962 -0.504092184934675 -0.125194009792287 0.00114627639256112
"12" "MAOB" 6.67425569206524e-20 -1.02755163662936 3.90733774391814e-12 -1.51188403472379 -0.957761754943224 -1.01801765697826 0.0602559020350353 0.0114857204860493
"13" "NQO1" 5.66088510392258e-42 1.51728691106847 2.22628352554942e-09 2.22862019599232 2.06004571045268 0.992107693218683 1.06793801723399 8.74902558122188e-18
"14" "PTPRM" 1.15474869511371e-07 -0.373765193368833 1.10392513814064e-13 -1.46720199426962 -0.235638246898952 -0.291572720976902 0.0559344740779499 0.0200926563367845
"15" "S100P" 3.01752249502022e-10 0.650109162093635 0.00037253628087061 2.39697766699844 0.834118943085054 0.662580715249334 0.17153822783572 7.11712804921203e-05
"16" "SEMA5A" 7.36400536373058e-09 -0.538040225548277 6.59426726010383e-17 -2.22859954822449 -0.485389282406028 -0.47634329407594 -0.00904598833008841 0.013240748991112
"17" "SRPX2" 1.46182522918777e-16 1.33443697682771 1.63429500092537e-09 1.91051546140622 2.05638598491342 1.50742417904399 0.548961805869435 1.25964552393423e-08
"18" "TMPRSS4" 2.28951318539771e-07 0.450624755512578 7.29153400544386e-14 4.19785828863473 0.830334287454809 0.709724724806641 0.120609562648168 9.79203019589483e-05
