"Gene" "FDR_A1" "log2FC_A1" "FDR_TE" "log2FC_TE" "CS_NS_A2" "FS_NS_A2" "CS_FS_A2" "FDR_A2"
"1" "AKR1B10" 7.17562126870581e-27 4.12330462786469 2.92549003776133e-12 7.23812891818636 4.28149972117821 1.63325242988639 2.64824729129181 1.76080955694506e-20
"2" "CA12" 8.25787542110458e-09 0.5580391385359 4.74211978755925e-12 2.86463926310564 1.54307243938137 1.24376640210653 0.299306037274843 2.25407181155e-05
"3" "CA8" 0.0108369430081528 -0.37492925651386 4.90014032870789e-09 -2.31926948075787 -0.197108432103056 -0.205086877179371 0.0079784450763154 0.00351177742028862
"4" "CYP2F1" 0.00122649611236906 -0.38717064443558 5.67716252765054e-10 -3.97956652989755 -1.19807500304174 -1.0992730261848 -0.0988019768569375 0.00226519530481115
"5" "EFEMP1" 1.21260827950743e-05 -0.365711755133661 2.48382155857827e-17 -2.37654236892912 -0.827027923153713 -0.927873025275243 0.10084510212153 0.00752729646072409
"6" "EPAS1" 2.83426825087013e-12 -0.495437974575129 3.22936614391611e-30 -3.26442362194464 -0.791636985600293 -0.785329600450822 -0.00630738514947105 9.67202866465159e-05
"7" "GPX2" 1.6545700248596e-45 2.55065831590469 1.1195098892488e-08 5.03116541135339 2.99507156392173 1.54168760611997 1.45338395780177 8.08212769202044e-17
"8" "HLA-DQB2" 1.31298406292051e-05 -0.580798654015139 3.49921610978983e-11 -1.98805476253454 -0.158640848056438 -0.172890232643681 0.0142493845872427 0.0063643164548066
"9" "HLF" 6.21739744843238e-07 -0.463952872876477 3.29479668872366e-16 -2.67017028222912 -1.08118634921802 -1.10355836336602 0.0223720141479995 0.000919612602553004
"10" "ITM2A" 9.1802821931778e-17 -1.10502987515333 4.97375578921955e-24 -2.81515617584983 -0.99768332826118 -0.76471731361491 -0.232966014646269 1.72593345114215e-05
"11" "LMO2" 0.00157166061125032 -0.388624986499545 1.05506469764069e-21 -2.10646926964155 -0.629286194726962 -0.504092184934675 -0.125194009792287 0.00114627639256112
"12" "MAOB" 6.67425569206524e-20 -1.02755163662936 4.60227030911359e-22 -2.40165195970358 -0.957761754943224 -1.01801765697826 0.0602559020350353 0.0114857204860493
"13" "MUC5B" 0.00488822395382452 -0.498457925480315 0.00829189319525878 -1.78502505509383 -1.98226669207664 -1.39145355193221 -0.590813140144428 2.61045986017491e-05
"14" "NQO1" 5.66088510392258e-42 1.51728691106847 2.75953588554751e-05 1.43198806311695 2.06004571045268 0.992107693218683 1.06793801723399 8.74902558122188e-18
"15" "PTPRM" 1.15474869511371e-07 -0.373765193368833 3.7442352765535e-28 -2.43904771222779 -0.235638246898952 -0.291572720976902 0.0559344740779499 0.0200926563367845
"16" "SEMA5A" 7.36400536373058e-09 -0.538040225548277 3.04200405470546e-12 -2.17625431570567 -0.485389282406028 -0.47634329407594 -0.00904598833008841 0.013240748991112
"17" "TMPRSS4" 2.28951318539771e-07 0.450624755512578 5.50129127547203e-17 5.16809155774464 0.830334287454809 0.709724724806641 0.120609562648168 9.79203019589483e-05
"18" "TXN" 3.09402391269391e-14 0.457273067526035 6.94356727738465e-12 1.26166656710172 1.10105135580624 0.641839164266484 0.459212191539759 3.16179902253004e-08
"19" "UPK1B" 6.02053337139011e-06 0.697153583437174 7.34038765469385e-06 4.63778790155603 1.54412625329667 1.30070292153084 0.243423331765833 1.00640304269873e-05
