"Gene" "FDR_A1" "log2FC_A1" "FDR_TE" "log2FC_TE"
"1" "ABCB4" 0.00510441911437426 0.635797368583261 3.63640208820828e-09 1.81219319163934
"2" "ABCB6" 5.06618923316075e-29 1.02837664450518 3.71398528569708e-13 2.14042917781633
"3" "ABCC3" 6.08480572780155e-06 0.782729942006824 5.05532767016037e-12 1.81905818895396
"4" "ABI3BP" 0.00189660575892205 -0.478553209511226 6.65239887063416e-15 -2.42840689077565
"5" "ACAN" 0.00667794475154821 0.340586314127403 0.000808208750535213 1.5253493143818
"6" "ACSS1" 3.12646699642263e-08 -0.298835921511529 2.7505164037886e-07 -0.881752113037769
"7" "ACSS3" 1.90227905808969e-06 -0.396693994771264 9.95419876488869e-15 -1.77250009657749
"8" "ADAMTS15" 5.70739376308784e-14 -0.707088435679275 1.48338687497312e-09 -1.43688686355994
"9" "ADAMTS9-AS2" 0.0432708483407205 -0.472663513239489 2.95827679907731e-10 -1.80611188772062
"10" "ADARB1" 1.09627607381248e-11 -0.567282716461383 8.43348343476641e-12 -1.4055503310721
"11" "ADGRE1" 0.0218366296749473 -0.514039192117804 1.63550818157627e-14 -2.88133600862473
"12" "ADGRF1" 1.34591614931132e-05 0.365355249204706 0.049560101326129 1.01155827826081
"13" "ADRB2" 0.000150299002761522 -0.357679903220102 2.8519737162045e-27 -3.19405128141364
"14" "AFAP1-AS1" 0.0149772189362141 0.272428841373423 2.17706272554558e-09 4.63366331855218
"15" "AFAP1L1" 1.99815999977037e-10 -0.566254303993906 1.50737513935527e-11 -1.31880135482222
"16" "AGR2" 2.04292557245373e-15 0.870838086674578 0.00314001769024404 1.13521494488752
"17" "AIF1" 0.00238491827375914 -0.674446552220442 9.46555824899389e-06 -0.991449665076299
"18" "AK1" 6.15812367509696e-09 -0.395581874012505 2.08911086665546e-18 -1.78409539342259
"19" "AKAP7" 1.99107448269953e-17 -0.473842599809853 1.56194561157395e-07 -0.730967470417304
"20" "AKR1B10" 7.17562126870581e-27 4.12330462786469 1.25197916344378e-05 3.72741532901859
"21" "AKR1E2" 0.00529414546018748 0.560539959698744 0.000734343186654271 0.769179268871847
"22" "ALDOA" 2.56685541440208e-09 0.377069190795748 1.07127599840214e-08 1.02851587797445
"23" "AMACR" 0.00272611654375868 0.571134592748494 3.63321432007382e-06 0.780673445252103
"24" "AMOTL2" 5.82487690966557e-06 -0.290890181444269 8.96432336960668e-07 -0.80451659726912
"25" "ANGPT1" 9.1023622285899e-13 -1.06322263197007 1.79204302267873e-12 -2.22628884389958
"26" "ANKRD29" 0.00670490554073999 -0.450884323178165 3.55416526164766e-19 -2.87931411295087
"27" "ANKRD36B" 5.10353182503313e-05 0.450187204922672 0.00814048476679369 0.885440530081
"28" "ANKRD36C" 0.00446384553276617 0.404746835429096 0.00244242078045935 1.41561695734384
"29" "ANKRD44" 2.84907838287123e-07 -0.356856903220159 0.00015309262040769 -0.769712499787358
"30" "ANO7" 0.000296338336506654 0.767838611774691 7.78582422509681e-15 1.87098478765014
"31" "ANOS1" 6.01228402686731e-06 -0.319167981113603 2.76235662267878e-19 -2.52848783889065
"32" "ANPEP" 2.27279721991837e-11 -0.654471141431856 0.00457943475644545 -0.879296948815093
"33" "AOC1" 0.0287460027048778 0.378485798443554 3.08404352160432e-05 2.64196287380501
"34" "AOC3" 0.0140373144470741 -0.448303026527515 1.29155249385414e-20 -2.47640978400259
"35" "APOC1" 6.71436723808704e-05 -1.01763874372191 1.06016741702954e-07 -1.69671956966503
"36" "AQP1" 0.00610557576512615 -0.270724353093048 2.67357734617883e-11 -2.37574648761535
"37" "AQP9" 0.0364863566430096 -0.572088593558591 2.82867146992842e-05 -1.37528634254902
"38" "AR" 2.63223199063908e-06 -0.397272209315995 0.00839926422281422 -0.774604147726632
"39" "ARAP3" 5.11402625102842e-06 -0.284977270391055 8.19532412033905e-13 -1.17875445445895
"40" "ARHGAP25" 0.0122456533318741 -0.303483762688387 2.33890540131601e-07 -0.756820848650261
"41" "ARHGAP29" 5.40382155728681e-11 -0.360613619551168 4.24655797901341e-05 -0.860511229399042
"42" "ARHGAP6" 0.000323628799763977 -0.288384509944782 1.1283589832274e-21 -2.24002135258321
"43" "ARHGEF26" 5.70739376308784e-14 -0.388993315950533 1.4007260649311e-23 -2.59606479471736
"44" "ARMCX1" 0.000337257027512335 -0.279043771236781 9.49897642051726e-09 -0.877626918947241
"45" "ARNT2" 0.0168819499351034 -0.546506150851752 4.56349716647675e-05 -1.03767913543592
"46" "ARRB1" 7.906517114209e-11 -0.361654052179945 1.83658196382869e-19 -1.56766182219005
"47" "ASB4" 0.00195118990492744 -0.341206438629698 0.000199537337089616 -0.964309094166878
"48" "ASPH" 6.07071958252004e-12 0.559244551398498 3.52487010491595e-05 0.819828695351983
"49" "ATOH8" 0.014111976160299 -0.276173340257999 8.76352712974258e-14 -2.74883522444475
"50" "ATP10A" 0.000121139990152727 -0.392545888743194 1.32699149716996e-08 -1.20396190569483
"51" "ATP12A" 2.33643861089239e-05 -0.502791783782454 0.0175128880063333 -1.25454707239231
"52" "ATP13A4" 9.95474336394567e-15 -0.71362277666999 4.25251407541308e-11 -2.78460583748725
"53" "ATP13A4-AS1" 5.54439646520105e-09 -0.87169175999159 7.59102533797321e-06 -2.45266073193629
"54" "ATP6V1C2" 0.00761671479452293 0.445106968916283 1.25659264811129e-06 1.4090210806651
"55" "ATP8A1" 0.00157670576810366 -0.27310836069387 1.0334613279581e-06 -1.20852712805495
"56" "AXL" 0.00352321626813892 -0.257692415829389 3.15892509234698e-06 -0.946426561515831
"57" "AZU1" 4.40979277940412e-08 -0.663221921215716 6.96973990277037e-08 -1.63283837208595
"58" "B3GNT6" 2.17449491106233e-06 1.30719901872023 1.89151808483106e-07 3.97767308854429
"59" "B4GALNT4" 0.0181369044632193 0.40737242537806 1.13043060915517e-08 3.51087758200032
"60" "B4GALT4" 2.33664441141745e-09 0.458421119302088 1.17439869199435e-12 0.839892965421235
"61" "BACE2" 0.000107133538811182 0.313343105385222 3.07694536835469e-06 1.04871022390527
"62" "BAG2" 1.61443834948062e-05 0.329928421198291 3.58586988985727e-05 0.726338661013477
"63" "BCAN" 0.00484356416522055 0.413149196993772 8.33906544117398e-10 2.01998423917991
"64" "BCL2L14" 4.66857544311452e-10 0.487338715550413 0.0100235321777343 0.693834428466584
"65" "BCL2L15" 0.00405898519424265 0.299375802294282 4.95053044741557e-10 2.63053742718461
"66" "BDH2" 4.19529756401935e-05 -0.515514359993252 2.93926313175678e-10 -0.829914984308988
"67" "BHLHA15" 0.000293593225272065 0.503401438446571 4.30469164130993e-08 1.84779403095076
"68" "BHLHE22" 0.0015952550096389 0.707599525648218 0.0053154019654076 0.752043491932389
"69" "BHMT2" 1.06876558584995e-05 0.896354986109933 0.0129199888051421 1.20437524567622
"70" "BICD1" 0.00603041210237068 0.322102053653822 0.000151599699787844 0.761340760807879
"71" "BICDL1" 4.17611205309895e-09 0.525603992985305 1.72445064515711e-08 1.4565575520088
"72" "BNIP3" 1.20917116665161e-06 0.331061014203495 3.63793692247413e-10 0.979437464261105
"73" "BTBD11" 0.0188794847797657 0.401451264946538 0.0015434460663628 1.00215560169557
"74" "C14orf132" 0.000264048967073656 -0.445026646801086 2.94258209306314e-21 -2.3968389496041
"75" "C1QB" 0.0380092437735899 -0.412111225705052 1.50870493364673e-09 -2.07413495140434
"76" "C1orf21" 0.000228087924368631 -0.307535443271094 2.8460630544369e-12 -1.23390785183779
"77" "C2CD4B" 0.0262999734665177 -0.484147496992216 0.00563274747560302 -0.94529255076012
"78" "C3" 1.24659882242109e-14 -1.3305764757929 0.000647839118970099 -0.983090830882954
"79" "C3orf14" 1.10736606591339e-06 0.383076791797235 0.00214071882033483 0.69566413576988
"80" "C4BPA" 0.00864749218310341 -0.512882758590955 5.42929852447429e-09 -2.82905232264778
"81" "C4orf19" 7.24862254904031e-07 -0.40551901794873 0.00161000544027896 -0.844847016210343
"82" "C4orf48" 1.85755190524311e-09 0.517894087456575 0.00663288686314561 0.951853385734806
"83" "C5" 0.000408952787267936 -0.233640246347068 5.58508338100745e-05 -1.0726428134155
"84" "C6orf223" 2.25224432833413e-05 -0.729482351373592 0.000666978140136463 -1.11418032333594
"85" "C8B" 0.000411706706792362 -0.736350106733727 6.59426726010383e-17 -4.89621953364176
"86" "CABLES1" 7.28868091212615e-08 -0.350138052659212 1.15804243707335e-10 -1.28289153706778
"87" "CABYR" 1.07053818725491e-19 2.23933640597577 1.64634480079756e-16 3.75403225293171
"88" "CACNB4" 0.0465821055687461 -0.369459737627277 5.40373630882781e-09 -1.74846115660562
"89" "CAMK2B" 0.0206749046282275 0.462055484813666 0.040812261046484 0.96063034011252
"90" "CAMK2N2" 0.0248735553540437 0.458177242206381 1.85993354551419e-12 2.73752574551314
"91" "CAMP" 0.0412298843578718 -0.419522527885864 2.06434826041101e-17 -3.35383839089954
"92" "CAPN5" 0.00675738421169545 0.30933191525753 0.000309348769881551 0.877569850729976
"93" "CARD11" 0.00148347941894615 0.459523848709259 2.65097537589023e-06 1.29398892378693
"94" "CATSPERB" 0.000736929557503527 0.384919534353417 0.00123973928333104 1.09277821623967
"95" "CATSPERD" 8.98163620781002e-05 -0.253306155346074 1.92007271844377e-06 -2.77989940451977
"96" "CBR3" 5.38895387671484e-18 1.05459461759658 0.000184732705639148 1.05863014056604
"97" "CBX7" 4.48797267755256e-07 -0.234529311386586 1.04691291074756e-21 -1.68538215191898
"98" "CCDC114" 0.00013977191425114 -0.322039188137765 0.000293684824968925 -1.55253586918473
"99" "CCDC163" 0.0415058054486153 0.335609303996931 0.000424278587636749 0.814592625700833
"100" "CCDC169" 0.0404260308070428 0.428086128440913 2.24699545333178e-15 2.79977189544586
"101" "CCDC181" 0.00249976486337879 -0.39009681415859 0.00413448357169188 -1.01835435289841
"102" "CCDC33" 2.02157828548421e-05 -0.316011626090081 0.00963549264838895 -1.4102018711377
"103" "CCDC69" 2.00130210089073e-09 -0.358044710690683 3.69720090755479e-14 -1.43400163181909
"104" "CCDC8" 3.71189870189686e-23 -0.69287280951326 0.00112574139693615 -0.797801711044128
"105" "CCDC81" 3.90392943908362e-05 -0.35965267104101 1.94288729558599e-05 -1.62810494264494
"106" "CCL17" 4.60748217146833e-10 -1.13279776222646 0.00621428525609457 -1.10498641681846
"107" "CCL23" 0.0272221792474542 -0.599913167799699 1.76035261383405e-15 -2.9151533622889
"108" "CCT2" 0.000745864056191665 0.354431851494633 5.26829938870014e-05 0.702365708841804
"109" "CD24" 0.0010868889150755 0.388659617735541 4.16067171607666e-08 1.44700307945291
"110" "CD34" 0.00476102233306056 -0.543195123525807 2.75263474746556e-13 -1.3984665313291
"111" "CD55" 0.000102624601927876 -0.299389490668474 5.29397312455909e-06 -0.979234881387445
"112" "CD81" 9.03951390448614e-07 -0.295228049089969 1.07901061265564e-10 -1.13159433204478
"113" "CDC14A" 1.01101774713403e-05 -0.350633771228235 4.03231002465467e-05 -0.763285798816089
"114" "CDC6" 0.0403588261574105 0.389590619129163 1.85800683614459e-17 3.14745180155038
"115" "CDCP1" 1.35610243755812e-06 0.430792335279686 2.78660323769024e-06 0.958673847890518
"116" "CDH2" 0.00256256392761468 0.716193577465597 0.00243755456116012 1.28963734590824
"117" "CDKN1C" 2.36813722209692e-24 -0.597356515689242 4.38553703234719e-08 -1.09061029276948
"118" "CDKN2A" 8.37851406540341e-09 0.483948689318364 7.51826597264645e-09 2.61813011816882
"119" "CDON" 1.32478467356433e-06 -0.308575861763549 6.11196786894462e-05 -0.988511608847221
"120" "CEACAM1" 0.0123489737989729 0.320808314199381 2.03773299035724e-09 1.54370918342222
"121" "CEACAM5" 3.60104063787233e-21 2.4094840601311 4.78514625281668e-05 2.85541405993202
"122" "CEACAM7" 0.000524046105685971 0.272359217907841 0.000281815743938743 1.87322615975238
"123" "CEBPD" 6.24188430866816e-13 -0.425822308990011 4.46533686599631e-06 -0.957087502479651
"124" "CELF2" 0.00344261177240095 -0.231456710674719 5.38147279101712e-09 -1.05549647643099
