"Gene" "FDR_A1" "log2FC_A1" "FDR_TE" "log2FC_TE"
"1" "ABCB4" 0.00510441911437426 0.635797368583261 3.63640208820828e-09 1.81219319163934
"2" "ABCB6" 5.06618923316075e-29 1.02837664450518 3.71398528569708e-13 2.14042917781633
"3" "ABCC3" 6.08480572780155e-06 0.782729942006824 5.05532767016037e-12 1.81905818895396
"4" "ABI3BP" 0.00189660575892205 -0.478553209511226 6.65239887063416e-15 -2.42840689077565
"5" "ACSS3" 1.90227905808969e-06 -0.396693994771264 9.95419876488869e-15 -1.77250009657749
"6" "ADAMTS15" 5.70739376308784e-14 -0.707088435679275 1.48338687497312e-09 -1.43688686355994
"7" "ADAMTS9-AS2" 0.0432708483407205 -0.472663513239489 2.95827679907731e-10 -1.80611188772062
"8" "ADARB1" 1.09627607381248e-11 -0.567282716461383 8.43348343476641e-12 -1.4055503310721
"9" "ADGRE1" 0.0218366296749473 -0.514039192117804 1.63550818157627e-14 -2.88133600862473
"10" "AFAP1L1" 1.99815999977037e-10 -0.566254303993906 1.50737513935527e-11 -1.31880135482222
"11" "AGR2" 2.04292557245373e-15 0.870838086674578 0.00314001769024404 1.13521494488752
"12" "AK1" 6.15812367509696e-09 -0.395581874012505 2.08911086665546e-18 -1.78409539342259
"13" "AKR1B10" 7.17562126870581e-27 4.12330462786469 1.25197916344378e-05 3.72741532901859
"14" "ANGPT1" 9.1023622285899e-13 -1.06322263197007 1.79204302267873e-12 -2.22628884389958
"15" "ANKRD29" 0.00670490554073999 -0.450884323178165 3.55416526164766e-19 -2.87931411295087
"16" "ANO7" 0.000296338336506654 0.767838611774691 7.78582422509681e-15 1.87098478765014
"17" "AOC3" 0.0140373144470741 -0.448303026527515 1.29155249385414e-20 -2.47640978400259
"18" "APOC1" 6.71436723808704e-05 -1.01763874372191 1.06016741702954e-07 -1.69671956966503
"19" "AQP9" 0.0364863566430096 -0.572088593558591 2.82867146992842e-05 -1.37528634254902
"20" "ARHGEF26" 5.70739376308784e-14 -0.388993315950533 1.4007260649311e-23 -2.59606479471736
"21" "ATP13A4" 9.95474336394567e-15 -0.71362277666999 4.25251407541308e-11 -2.78460583748725
"22" "ATP13A4-AS1" 5.54439646520105e-09 -0.87169175999159 7.59102533797321e-06 -2.45266073193629
"23" "ATP6V1C2" 0.00761671479452293 0.445106968916283 1.25659264811129e-06 1.4090210806651
"24" "AZU1" 4.40979277940412e-08 -0.663221921215716 6.96973990277037e-08 -1.63283837208595
"25" "B3GNT6" 2.17449491106233e-06 1.30719901872023 1.89151808483106e-07 3.97767308854429
"26" "BHLHA15" 0.000293593225272065 0.503401438446571 4.30469164130993e-08 1.84779403095076
"27" "BHMT2" 1.06876558584995e-05 0.896354986109933 0.0129199888051421 1.20437524567622
"28" "BICDL1" 4.17611205309895e-09 0.525603992985305 1.72445064515711e-08 1.4565575520088
"29" "C14orf132" 0.000264048967073656 -0.445026646801086 2.94258209306314e-21 -2.3968389496041
"30" "C1QB" 0.0380092437735899 -0.412111225705052 1.50870493364673e-09 -2.07413495140434
"31" "C4BPA" 0.00864749218310341 -0.512882758590955 5.42929852447429e-09 -2.82905232264778
"32" "C8B" 0.000411706706792362 -0.736350106733727 6.59426726010383e-17 -4.89621953364176
"33" "CABYR" 1.07053818725491e-19 2.23933640597577 1.64634480079756e-16 3.75403225293171
"34" "CACNB4" 0.0465821055687461 -0.369459737627277 5.40373630882781e-09 -1.74846115660562
"35" "CAMK2N2" 0.0248735553540437 0.458177242206381 1.85993354551419e-12 2.73752574551314
"36" "CAMP" 0.0412298843578718 -0.419522527885864 2.06434826041101e-17 -3.35383839089954
"37" "CARD11" 0.00148347941894615 0.459523848709259 2.65097537589023e-06 1.29398892378693
"38" "CBR3" 5.38895387671484e-18 1.05459461759658 0.000184732705639148 1.05863014056604
"39" "CCDC169" 0.0404260308070428 0.428086128440913 2.24699545333178e-15 2.79977189544586
"40" "CCL23" 0.0272221792474542 -0.599913167799699 1.76035261383405e-15 -2.9151533622889
"41" "CD34" 0.00476102233306056 -0.543195123525807 2.75263474746556e-13 -1.3984665313291
"42" "CDH2" 0.00256256392761468 0.716193577465597 0.00243755456116012 1.28963734590824
"43" "CDKN2A" 8.37851406540341e-09 0.483948689318364 7.51826597264645e-09 2.61813011816882
"44" "CEACAM5" 3.60104063787233e-21 2.4094840601311 4.78514625281668e-05 2.85541405993202
"45" "CEMIP" 1.13947735847551e-07 1.0799630895671 9.46202047835512e-08 1.78739837661838
"46" "CFAP65" 0.00457060638860303 -0.534923629968171 6.10418730235823e-06 -2.49550409496223
"47" "CFD" 7.13569464058098e-06 -0.666949377159607 1.50228060997073e-17 -2.8660612751101
"48" "CGREF1" 5.79840542345431e-06 1.06804276255751 3.37548825522943e-14 3.53689178310155
"49" "CHST15" 4.08689676538484e-15 0.545507686009989 1.68875789609159e-15 1.1988173400465
"50" "CILP2" 0.022261417549887 0.558293746453771 2.69010505155139e-13 3.58313403930333
"51" "CKAP4" 8.44909627765914e-12 0.539260969662548 1.2827326880486e-12 1.03340533329296
"52" "CLDN10" 1.47743754112688e-29 1.15709407446629 8.45749204237531e-05 2.27849927820867
"53" "CLDN8" 8.13394322937539e-11 -0.658224928868739 0.024190218748842 -1.37276406228766
"54" "CLNK" 0.00961097272066177 0.511013859380138 5.03543678404591e-05 1.2853457847519
"55" "CNGB1" 4.91308515681938e-14 1.65918231304628 0.00048560750108085 1.14535673953447
"56" "COL3A1" 6.0871963004397e-05 1.00163751672756 2.41645324623686e-14 2.84258866862561
"57" "COL4A3" 0.0443368658008362 -0.573066922740135 6.29789909865733e-13 -2.75747977368945
"58" "COL5A1" 0.0277157654776433 0.519037927786082 1.8370202717712e-12 2.15883119550557
"59" "CPED1" 0.0161545909374581 -0.600143716847189 5.48694130724372e-13 -1.78478429852821
"60" "CPNE4" 1.35695861923896e-05 0.98592425275277 1.79753764891102e-10 2.44845455775266
"61" "CTHRC1" 0.00544441839431807 0.701888069837727 3.26625380458409e-18 3.96456857923438
"62" "CX3CL1" 6.80952297266442e-27 -1.10114502861203 3.21211489407921e-08 -1.74851487310244
"63" "CX3CR1" 0.000314890864682125 -0.497947321210208 3.72560830702825e-09 -1.97535486883127
"64" "CXCL14" 0.000174858874431638 1.29942666220575 0.000283618066962204 2.07106856971692
"65" "CXCL2" 0.011117063368124 -0.494263816117329 1.9585674648309e-08 -2.37014227318087
"66" "CXCL3" 0.000729209817718172 -0.571873692424385 3.21882128056779e-06 -1.70388790959722
"67" "CYBRD1" 2.60916225955253e-05 -0.511174696013454 6.52752442399188e-16 -1.79622493043875
"68" "CYP27A1" 1.39060070036305e-06 -0.414664489690276 9.93431851020679e-16 -2.09957983348603
"69" "CYP2A6" 4.46639789742508e-09 -0.526138224153025 3.84409385355458e-07 -2.1704136031094
"70" "CYP2F1" 0.00122649611236906 -0.38717064443558 3.20706771107223e-08 -3.39030993986714
"71" "CYP4Z1" 5.67404471837922e-11 -0.496234999172017 3.91411627578344e-05 -1.60090150492021
"72" "CYS1" 0.00327221991180406 -0.599901380882301 2.13033038631179e-16 -2.63008396645528
"73" "DMBT1" 8.71663264505711e-05 -0.476420827922915 1.03928940704042e-05 -2.32579406950238
"74" "DNAJC12" 1.88743452104969e-09 0.790945984117288 1.04018076261436e-09 2.63712716247451
"75" "DPEP2" 1.11367040366919e-06 -1.08698056701526 6.7230646772033e-20 -2.47941213039092
"76" "DPF1" 7.70216902455949e-08 0.749737049467492 6.92876390898464e-05 1.10643351067759
"77" "DPY19L1" 0.0448004182421538 0.602653352258906 4.50661330669266e-08 1.01662928975196
"78" "DPY19L1P1" 0.000405777414499298 0.463221380552779 1.56913797464906e-05 0.998802316534864
"79" "DPYSL2" 5.68998689347314e-09 -0.751674557555033 7.67526892637797e-18 -1.43181777436047
"80" "DPYSL4" 0.00382399434889278 0.547128355135817 0.00686345361145142 1.00818440840198
"81" "EGF" 5.58780907182131e-15 1.54558337829255 2.19483042916068e-05 1.59228855175356
"82" "ENTPD2" 0.000111159880334962 0.495293885387071 0.00058417100126653 1.26373407758293
"83" "EPAS1" 2.83426825087013e-12 -0.495437974575129 3.39734845243306e-25 -2.54607090739015
"84" "EPHB1" 6.27718461824631e-05 0.935049907101805 1.05984030360522e-06 1.60228047905424
"85" "FABP4" 6.72422311972441e-05 -1.07466233782307 7.89116978223338e-29 -5.61577175345088
"86" "FABP5" 0.000341617561560718 -0.406087203583622 1.61381042621994e-15 -1.86777257384403
"87" "FAM107A" 1.16153346748745e-07 -0.567587561060324 1.86126910911809e-24 -4.26578286258408
"88" "FAM83D" 6.19347954038971e-07 0.518742354506193 4.69167632072262e-11 2.28411913491607
"89" "FAXC" 0.0217309492137887 0.494227114119346 9.73692073098682e-08 1.13323337654978
"90" "FCRL2" 0.0262673165533334 0.523140772310744 0.00013146038383707 1.76638207551624
"91" "FGD5" 0.0105633357380084 -0.678250506450265 4.36739514650773e-24 -2.03662212002417
"92" "FGFR3" 9.53279925788524e-12 -0.672339581212318 1.26992152145331e-07 -1.73992351269792
"93" "FIBIN" 6.09206633181106e-05 -0.629104659492715 1.40481088675094e-10 -1.84205009636647
"94" "FKBP10" 0.000476503495455097 0.441710277918358 1.50809957430836e-05 1.30534520060857
"95" "FKBP11" 3.09402391269391e-14 0.629355412935954 1.06443920566479e-14 1.54083678770149
"96" "FLRT3" 2.02704508825972e-07 -0.522970033684258 4.42189009529755e-12 -2.20215300163965
"97" "FMO2" 2.83219405977807e-11 -0.710130944866124 9.35401710804502e-21 -3.08980674687903
"98" "FOLR1" 6.0373345391598e-06 -0.458183508884103 5.51749053707557e-08 -2.75293783860718
"99" "FOXA2" 1.12478500870149e-07 -0.691367961647076 1.8003076921976e-06 -1.66367454215987
"100" "FOXA3" 2.22586310213343e-06 0.494642292394667 0.000769889560016336 1.50334535173225
"101" "FUT3" 2.41219716085695e-11 0.660909774232387 3.86349453661892e-09 1.54366654389898
"102" "FXYD6" 0.000171291092753093 -0.478540819989201 2.5907467651709e-15 -1.66491649778592
"103" "GAD1" 1.09027705581659e-11 2.39745119901569 4.97929553522289e-10 2.99981141222005
"104" "GADD45B" 5.32980347228477e-14 -0.543018976727685 1.72425975465522e-09 -1.55046913998388
"105" "GALNT6" 3.20592846602691e-23 0.876112587135829 7.75847986956258e-07 1.42527337684938
"106" "GALNT7" 3.24727834260928e-14 0.51669948569999 9.53296997756454e-20 1.72964679132248
"107" "GCLC" 1.12092610592682e-36 0.897391621539953 2.92952607640177e-09 1.7428097867594
"108" "GCLM" 2.5017076911306e-26 0.703765062101821 4.14812604601907e-08 1.06159840791598
"109" "GCNT3" 6.70801011320504e-05 0.53448221681215 1.21662051436645e-10 3.28748735452778
"110" "GLB1L3" 5.28239655214076e-05 0.676251562743838 0.00132963475132632 2.1485690888684
"111" "GLDC" 0.0167421849966219 0.451592596407871 3.32747913611535e-05 1.38244918268631
"112" "GMDS" 4.61105167414536e-10 0.605731366751169 1.45575225935453e-15 1.23823661599617
"113" "GOLGA7B" 0.00603645569358626 0.575543872978424 7.99055173381814e-07 1.73509622053047
"114" "GPT2" 9.68047132479226e-11 0.628839003162957 1.56982489987035e-18 2.5432482735758
"115" "GPX2" 1.6545700248596e-45 2.55065831590469 0.0013470578034183 2.6060418353128
"116" "GRIK2" 0.00370134018089986 0.642326754728631 2.82902502584599e-08 2.44274985882226
"117" "GYPC" 7.82357676720401e-07 -0.762802103098854 2.41704269777167e-16 -1.62730966031177
"118" "HEG1" 6.63963991874462e-07 -0.377197411240287 2.05575992884686e-12 -1.65446546284433
"119" "HGD" 1.42963396795947e-18 1.05787171370923 0.00137410334742831 1.61906142447627
"120" "HLA-DOA" 7.60469171853627e-05 -0.514109394938053 6.96637352737076e-09 -1.50171265510369
"121" "HLA-DPA1" 0.000603955960319361 -0.445231688447453 7.2320515782795e-09 -1.4367270740405
"122" "HLA-DPB1" 0.0163975653723317 -0.396417062239262 1.29683786832805e-09 -1.44158619446634
"123" "HLA-DQB1" 0.0352173666870496 -0.453650721981298 7.59102533797321e-06 -1.32018800483401
