"Gene" "FDR_A1" "log2FC_A1" "FDR_TE" "log2FC_TE"
"1" "ABCB6" 5.06618923316075e-29 1.02837664450518 9.07636950374507e-15 1.93677625796669
"2" "ABCC1" 1.10492992062827e-17 0.525537068431404 1.58595614395075e-13 1.590968399879
"3" "ABCC11" 0.0117365798630146 0.545585667004268 3.13215463341997e-08 1.43839423148904
"4" "ABI3BP" 0.00189660575892205 -0.478553209511226 7.57440762734789e-31 -3.81128526325617
"5" "ACSS3" 1.90227905808969e-06 -0.396693994771264 1.26121380131187e-23 -2.75757897742922
"6" "ADAMTS9-AS2" 0.0432708483407205 -0.472663513239489 2.12531480137305e-38 -3.97052071032865
"7" "ADARB1" 1.09627607381248e-11 -0.567282716461383 4.42855079313235e-21 -2.04554640145145
"8" "ADGRE1" 0.0218366296749473 -0.514039192117804 1.07100801746047e-16 -3.2384431122266
"9" "ADH7" 5.91514740576065e-49 2.65853418695911 0.000151928462471327 3.9006319638049
"10" "ADRB2" 0.000150299002761522 -0.357679903220102 6.17996356250717e-26 -3.38439640065059
"11" "AGAP2-AS1" 0.018005228688987 0.510488297776405 8.3508944931413e-13 1.4583171209593
"12" "AIF1" 0.00238491827375914 -0.674446552220442 2.19434289030459e-19 -1.81735336692342
"13" "AK1" 6.15812367509696e-09 -0.395581874012505 3.76014193993599e-35 -2.54832553853176
"14" "AKR1B10" 7.17562126870581e-27 4.12330462786469 2.92549003776133e-12 7.23812891818636
"15" "AKR1C1" 1.52670931334388e-44 1.68526958798248 0.00476047107468484 1.55597372079468
"16" "ALDH3A1" 1.05626334198844e-44 2.50351536786743 0.0299289410345086 1.54561944417133
"17" "ANGPT1" 9.1023622285899e-13 -1.06322263197007 6.90100637547478e-26 -3.25448939150764
"18" "ANKRD29" 0.00670490554073999 -0.450884323178165 5.08727571031571e-20 -2.97047281260756
"19" "ANKRD44" 2.84907838287123e-07 -0.356856903220159 1.15622405639729e-25 -1.91255814915527
"20" "ANO3" 3.27215084529317e-06 -0.592886168815744 4.13505523612805e-10 -2.04634518593246
"21" "AOC3" 0.0140373144470741 -0.448303026527515 6.88044824006874e-33 -3.86721281500448
"22" "APOC1" 6.71436723808704e-05 -1.01763874372191 3.47536330259262e-14 -2.27752268179342
"23" "AQP9" 0.0364863566430096 -0.572088593558591 5.59286887929704e-17 -2.38899129665355
"24" "AR" 2.63223199063908e-06 -0.397272209315995 4.79773370587471e-20 -2.34955774890819
"25" "ARFGEF3" 2.63241973906198e-11 -0.418763416816583 6.90549401404163e-17 -2.04469821170171
"26" "ARHGAP29" 5.40382155728681e-11 -0.360613619551168 3.10189289661873e-26 -2.61667437844474
"27" "ARHGEF26" 5.70739376308784e-14 -0.388993315950533 1.17089198696547e-13 -2.15247213234259
"28" "ARRB1" 7.906517114209e-11 -0.361654052179945 2.39840619311122e-39 -3.19022031765131
"29" "ATP10A" 0.000121139990152727 -0.392545888743194 3.27324547089909e-22 -2.61381208689367
"30" "ATP13A4" 9.95474336394567e-15 -0.71362277666999 5.7105311035404e-29 -4.54604350119181
"31" "ATP13A4-AS1" 5.54439646520105e-09 -0.87169175999159 7.95236444594933e-20 -5.34801136741461
"32" "ATP1B3" 0.0155527181083049 0.474150195882714 4.47340747708899e-13 1.49512523809122
"33" "ATP6V1C2" 0.00761671479452293 0.445106968916283 2.87833005636428e-08 1.73284887296438
"34" "AZU1" 4.40979277940412e-08 -0.663221921215716 3.7251455777274e-19 -3.12828526979594
"35" "B4GALT4" 2.33664441141745e-09 0.458421119302088 3.53235501029984e-16 1.83121348567636
"36" "BANK1" 0.00156936663067805 -0.6204165201489 4.97113555422988e-21 -2.54662626691658
"37" "BICDL1" 4.17611205309895e-09 0.525603992985305 6.34945841786267e-14 1.7669646026385
"38" "BMP7" 0.00039045370649551 0.5455356702629 2.06609238694158e-08 2.94248228068556
"39" "C10orf99" 0.0222924576476817 0.54450110765049 2.07104900220667e-12 6.03300641187616
"40" "C14orf132" 0.000264048967073656 -0.445026646801086 9.4002303660156e-17 -2.14938617887697
"41" "C17orf50" 0.0182387326890934 -0.51217722156174 3.72359637918467e-10 -1.90108293767331
"42" "C1QB" 0.0380092437735899 -0.412111225705052 2.59424786623777e-17 -2.32938132424333
"43" "C2CD4B" 0.0262999734665177 -0.484147496992216 6.94834209124307e-08 -2.14121438858271
"44" "C3" 1.24659882242109e-14 -1.3305764757929 8.60339695340598e-14 -2.18827505559971
"45" "C4BPA" 0.00864749218310341 -0.512882758590955 3.05021117452143e-25 -6.43504059887198
"46" "C8B" 0.000411706706792362 -0.736350106733727 1.6503485401188e-28 -6.93065924697933
"47" "CA12" 8.25787542110458e-09 0.5580391385359 4.74211978755925e-12 2.86463926310564
"48" "CA8" 0.0108369430081528 -0.37492925651386 4.90014032870789e-09 -2.31926948075787
"49" "CABYR" 1.07053818725491e-19 2.23933640597577 4.32421834355377e-19 3.65335401094209
"50" "CACNB4" 0.0465821055687461 -0.369459737627277 2.97477774940365e-14 -2.1407978282825
"51" "CAMK2B" 0.0206749046282275 0.462055484813666 0.000331364105460047 1.49920661578446
"52" "CAMK2N2" 0.0248735553540437 0.458177242206381 1.13187890451223e-21 3.52343089399045
"53" "CAMP" 0.0412298843578718 -0.419522527885864 1.0105765171965e-20 -4.0572314931896
"54" "CAPN13" 2.10963522931952e-08 -0.489627559865621 3.36721795907812e-09 -2.16370650820403
"55" "CBR3" 5.38895387671484e-18 1.05459461759658 1.14692254687087e-08 1.52537261060325
"56" "CCDC181" 0.00249976486337879 -0.39009681415859 2.50475947601571e-13 -2.08788340522874
"57" "CCDC69" 2.00130210089073e-09 -0.358044710690683 1.0028769698467e-33 -2.54398505293358
"58" "CCL17" 4.60748217146833e-10 -1.13279776222646 5.41940990324274e-11 -2.11906401376389
"59" "CCL23" 0.0272221792474542 -0.599913167799699 2.0616188890233e-29 -4.39688244613237
"60" "CD34" 0.00476102233306056 -0.543195123525807 4.59311630826538e-28 -2.47752952486301
"61" "CDH2" 0.00256256392761468 0.716193577465597 0.000424012749913557 1.55512724898331
"62" "CDKN2A" 8.37851406540341e-09 0.483948689318364 5.20294385452955e-08 3.20603767639491
"63" "CEL" 0.000368221518711275 0.705430827774082 2.25192555959653e-09 3.14054311212176
"64" "CEMIP" 1.13947735847551e-07 1.0799630895671 1.57633057907824e-06 1.37757877687205
"65" "CFAP65" 0.00457060638860303 -0.534923629968171 9.35900841221119e-13 -4.56948619516247
"66" "CFD" 7.13569464058098e-06 -0.666949377159607 5.62746056554348e-30 -3.33744882894336
"67" "CGREF1" 5.79840542345431e-06 1.06804276255751 9.55764675310533e-15 3.37087839790339
"68" "CHRNB4" 0.0478903248138082 0.519464482117375 7.47533174503297e-23 5.1937799470162
"69" "CIITA" 0.00332376256318569 -0.37554291042282 3.02092409879457e-15 -1.97896574149618
"70" "CILP2" 0.022261417549887 0.558293746453771 2.56377910614461e-12 2.96942431602767
"71" "CKAP4" 8.44909627765914e-12 0.539260969662548 1.32834891118697e-23 1.67596509769908
"72" "CLDN10" 1.47743754112688e-29 1.15709407446629 0.00790708146560615 1.25909282350774
"73" "CNGB1" 4.91308515681938e-14 1.65918231304628 0.000127260344025872 1.50219346537478
"74" "CNIH2" 0.0114486426457554 0.586558053854624 1.04498779259312e-07 1.57047830740205
"75" "CNTN4" 2.31649911381031e-06 -0.62955541084639 3.91560147399133e-15 -2.45078281231405
"76" "COL3A1" 6.0871963004397e-05 1.00163751672756 1.30107610572045e-10 2.58659954456417
"77" "COL4A3" 0.0443368658008362 -0.573066922740135 6.69017389378983e-30 -5.14070052220126
"78" "COL5A1" 0.0277157654776433 0.519037927786082 1.04562376587893e-09 1.96771628972879
"79" "CPED1" 0.0161545909374581 -0.600143716847189 1.50925174251846e-28 -2.93191523362496
"80" "CPM" 0.0439991090273134 -0.466333451903797 1.4163364276691e-34 -3.22163959306932
"81" "CTHRC1" 0.00544441839431807 0.701888069837727 2.33594232632762e-20 3.57130568611645
"82" "CX3CR1" 0.000314890864682125 -0.497947321210208 8.40363587016394e-22 -3.40315693790469
"83" "CXCL14" 0.000174858874431638 1.29942666220575 6.6783884782994e-10 3.46120606383781
"84" "CXCL2" 0.011117063368124 -0.494263816117329 1.22078636847177e-17 -4.33267726974076
"85" "CXCL3" 0.000729209817718172 -0.571873692424385 5.85406016462021e-12 -2.95523405634924
"86" "CXCL5" 0.00338486054752853 -0.750053869913697 7.9840026693462e-13 -3.3047111473467
"87" "CYBRD1" 2.60916225955253e-05 -0.511174696013454 1.57486218894827e-24 -2.27195378065645
"88" "CYP26A1" 2.44193710096118e-05 0.863315113905095 1.0597039622176e-08 4.14388313448142
"89" "CYP27A1" 1.39060070036305e-06 -0.414664489690276 6.81038931672145e-27 -2.82811891631376
"90" "CYP2A6" 4.46639789742508e-09 -0.526138224153025 7.79476490025678e-10 -2.24757221228744
"91" "CYP2F1" 0.00122649611236906 -0.38717064443558 5.67716252765054e-10 -3.97956652989755
"92" "CYP4F11" 2.95462033914359e-15 1.8552685081023 0.000332300287000654 2.92086924589275
"93" "CYP4F3" 1.50657559244889e-11 1.33227992341951 0.00338321771510222 1.9541951831409
"94" "CYP4Z1" 5.67404471837922e-11 -0.496234999172017 6.45006076174224e-06 -1.85291406901635
"95" "CYS1" 0.00327221991180406 -0.599901380882301 1.6075957112196e-14 -2.22706876095209
"96" "CYSRT1" 1.62293695432754e-09 0.624306469496828 1.18691793757087e-05 1.32379275622663
"97" "DAPK1" 2.9046080157133e-10 -0.736596736961987 9.00261487134281e-19 -2.26118470193612
"98" "DMBT1" 8.71663264505711e-05 -0.476420827922915 3.66427312563154e-18 -5.36465123887677
"99" "DPEP2" 1.11367040366919e-06 -1.08698056701526 2.47493955557097e-35 -3.35353433497411
"100" "DPF1" 7.70216902455949e-08 0.749737049467492 5.7857700404627e-15 2.55441611142953
"101" "DPYSL2" 5.68998689347314e-09 -0.751674557555033 1.77274670076959e-33 -2.64262326045487
"102" "DPYSL4" 0.00382399434889278 0.547128355135817 8.24262444749069e-06 1.71166411313594
"103" "DRD1" 0.00194354109517024 -0.594594530613678 4.46836689523074e-10 -2.15797247229725
"104" "DUSP1" 0.0109116102719716 -0.366206879407285 9.49594565653083e-26 -2.95940314747918
"105" "ECM2" 7.81336904186994e-05 -0.481257242545414 2.09830015970758e-14 -1.8201718096745
"106" "EFEMP1" 1.21260827950743e-05 -0.365711755133661 2.48382155857827e-17 -2.37654236892912
"107" "EIF3B" 0.0186171736828289 0.494535794389539 2.79409842253551e-26 1.30755979959582
"108" "ENTPD2" 0.000111159880334962 0.495293885387071 1.88286217924368e-09 2.09487131015028
"109" "EPAS1" 2.83426825087013e-12 -0.495437974575129 3.22936614391611e-30 -3.26442362194464
"110" "EPHB1" 6.27718461824631e-05 0.935049907101805 6.42904034689464e-05 1.48581424895773
"111" "ERP27" 5.72961108794421e-14 -0.899173051357261 1.5635578042309e-10 -2.06740614381589
"112" "EVA1A" 0.00027750598428425 -0.425785716845572 2.7407335631427e-14 -1.91614013912795
"113" "FABP4" 6.72422311972441e-05 -1.07466233782307 3.76067510316427e-29 -5.73526889129782
"114" "FAM107A" 1.16153346748745e-07 -0.567587561060324 3.47737217986616e-35 -5.90961208382512
"115" "FAM83D" 6.19347954038971e-07 0.518742354506193 2.03614914348258e-27 3.81344162846768
"116" "FAT4" 0.0107768306945059 -0.479339606860224 2.21434715036602e-19 -2.36762281960221
"117" "FAXC" 0.0217309492137887 0.494227114119346 1.33292130682808e-06 1.55600578701715
"118" "FGD5" 0.0105633357380084 -0.678250506450265 1.29442916068274e-30 -2.56523164790373
"119" "FGF7" 0.0392433044981324 -0.415575954239167 1.6397694079412e-14 -2.20079381674301
"120" "FGFBP1" 4.1816751369616e-05 0.453387519491882 1.80010506940099e-08 2.78761685497421
"121" "FIBIN" 6.09206633181106e-05 -0.629104659492715 1.17833802803398e-11 -1.89488077440128
"122" "FKBP10" 0.000476503495455097 0.441710277918358 4.55211762462966e-11 1.57517906025535
"123" "FLRT3" 2.02704508825972e-07 -0.522970033684258 9.92698201494846e-20 -3.47064254273398
