"Gene" "FDR_A1" "log2FC_A1" "FDR_TE" "log2FC_TE" "CS_NS_A2" "FS_NS_A2" "CS_FS_A2" "FDR_A2" "FDR_TM" "log2FC_TM"
"1" "ALDOA" 2.56685541440208e-09 0.377069190795748 9.19059628221905e-09 1.05815998539391 0.403280237054123 0.34073314408918 0.0625470929649428 0.00277625439997219 0.00865416199769699 -0.645248058172996
"2" "CCDC81" 3.90392943908362e-05 -0.35965267104101 4.00526666194657e-05 -1.5999998286799 -1.25976452347484 -1.20472662572982 -0.0550378977450121 0.00395101394895723 8.41788121125461e-07 1.16878525758376
"3" "EFEMP1" 1.21260827950743e-05 -0.365711755133661 2.2106391081959e-13 -1.87908471308787 -0.827027923153713 -0.927873025275243 0.10084510212153 0.00752729646072409 0.0027144947571326 0.863703057054263
"4" "EPAS1" 2.83426825087013e-12 -0.495437974575129 4.32578876194568e-25 -2.57464719607347 -0.791636985600293 -0.785329600450822 -0.00630738514947105 9.67202866465159e-05 0.00259098428908147 0.848423549473172
"5" "GMDS" 4.61105167414536e-10 0.605731366751169 1.30246803439993e-15 1.26362673190322 0.787444225319072 0.609252107924795 0.178192117394277 0.000112766431078764 7.86617141653101e-06 -1.27345179686811
"6" "LMO2" 0.00157166061125032 -0.388624986499545 4.69268459269987e-19 -1.82740616511104 -0.629286194726962 -0.504092184934675 -0.125194009792287 0.00114627639256112 3.5634252138538e-08 2.6921526585578
"7" "N4BP2L1" 1.35610243755812e-06 -0.312598402709652 4.09324948319153e-12 -1.2622695486389 -0.447538042697281 -0.45455219267365 0.00701414997636807 0.00162099235728416 2.69899516843831e-05 0.847238013926162
"8" "NQO1" 5.66088510392258e-42 1.51728691106847 7.40433295422826e-10 2.32066965272642 2.06004571045268 0.992107693218683 1.06793801723399 8.74902558122188e-18 1.10642924680734e-10 -1.48546549646634
"9" "PTPRM" 1.15474869511371e-07 -0.373765193368833 6.91045903312599e-14 -1.50345963473423 -0.235638246898952 -0.291572720976902 0.0559344740779499 0.0200926563367845 0.000214556538232067 0.67213056937036
"10" "S100P" 3.01752249502022e-10 0.650109162093635 0.000209897194528338 2.5542018840085 0.834118943085054 0.662580715249334 0.17153822783572 7.11712804921203e-05 0.000474743253885539 -0.808480917398842
"11" "TMPRSS4" 2.28951318539771e-07 0.450624755512578 1.49624090086994e-14 4.34990835157145 0.830334287454809 0.709724724806641 0.120609562648168 9.79203019589483e-05 3.97226349058967e-05 -0.808842552254072
"12" "TNS1" 0.000122749928235176 -0.274973570349125 7.90042179968556e-20 -2.22678770670253 -0.763315539788475 -0.663595787438296 -0.0997197523501789 0.00017529719889007 6.44562698939564e-05 1.44765203174601
