"Gene" "FDR_A1" "log2FC_A1" "FDR_TE" "log2FC_TE" "CS_NS_A2" "FS_NS_A2" "CS_FS_A2" "FDR_A2"
"1" "AKR1B10" 7.17562126870581e-27 4.12330462786469 6.73186311537363e-06 3.93174337421601 4.28149972117821 1.63325242988639 2.64824729129181 1.76080955694506e-20
"2" "ALDOA" 2.56685541440208e-09 0.377069190795748 9.19059628221905e-09 1.05815998539391 0.403280237054123 0.34073314408918 0.0625470929649428 0.00277625439997219
"3" "ANOS1" 6.01228402686731e-06 -0.319167981113603 3.04672490633822e-19 -2.56908559097448 -1.42808823878348 -1.62826647059214 0.20017823180866 0.00837589739885925
"4" "CCDC81" 3.90392943908362e-05 -0.35965267104101 4.00526666194657e-05 -1.5999998286799 -1.25976452347484 -1.20472662572982 -0.0550378977450121 0.00395101394895723
"5" "CEACAM5" 3.60104063787233e-21 2.4094840601311 5.23202254728926e-05 2.9088279152522 3.03515722592972 2.24370115383621 0.791456072093512 1.3510565997812e-08
"6" "CTNNAL1" 9.01155196186852e-08 -0.295049913803489 2.71920183250028e-11 -1.25197785956863 -1.21849314630758 -1.01335867622964 -0.205134470077941 0.00113585727827693
"7" "CX3CL1" 6.80952297266442e-27 -1.10114502861203 4.99295384168605e-08 -1.76036219950586 -1.60426709984228 -0.901024297789411 -0.703242802052865 1.05716068070329e-08
"8" "CYP2F1" 0.00122649611236906 -0.38717064443558 5.87894911884612e-08 -3.34470388533247 -1.19807500304174 -1.0992730261848 -0.0988019768569375 0.00226519530481115
"9" "EFEMP1" 1.21260827950743e-05 -0.365711755133661 2.2106391081959e-13 -1.87908471308787 -0.827027923153713 -0.927873025275243 0.10084510212153 0.00752729646072409
"10" "EPAS1" 2.83426825087013e-12 -0.495437974575129 4.32578876194568e-25 -2.57464719607347 -0.791636985600293 -0.785329600450822 -0.00630738514947105 9.67202866465159e-05
"11" "FAM189A2" 2.48329573754965e-07 -0.283907240485997 2.65885751712514e-26 -3.49945289504971 -0.232119274803403 -0.227085644892306 -0.00503362991109713 0.01191916015179
"12" "GMDS" 4.61105167414536e-10 0.605731366751169 1.30246803439993e-15 1.26362673190322 0.787444225319072 0.609252107924795 0.178192117394277 0.000112766431078764
"13" "HLF" 6.21739744843238e-07 -0.463952872876477 9.47659606273725e-15 -2.51937671259513 -1.08118634921802 -1.10355836336602 0.0223720141479995 0.000919612602553004
"14" "ITM2A" 9.1802821931778e-17 -1.10502987515333 4.3093038758471e-15 -1.93333185651838 -0.99768332826118 -0.76471731361491 -0.232966014646269 1.72593345114215e-05
"15" "LMO2" 0.00157166061125032 -0.388624986499545 4.69268459269987e-19 -1.82740616511104 -0.629286194726962 -0.504092184934675 -0.125194009792287 0.00114627639256112
"16" "MAOB" 6.67425569206524e-20 -1.02755163662936 1.25877847904085e-12 -1.56314422774415 -0.957761754943224 -1.01801765697826 0.0602559020350353 0.0114857204860493
"17" "N4BP2L1" 1.35610243755812e-06 -0.312598402709652 4.09324948319153e-12 -1.2622695486389 -0.447538042697281 -0.45455219267365 0.00701414997636807 0.00162099235728416
"18" "NQO1" 5.66088510392258e-42 1.51728691106847 7.40433295422826e-10 2.32066965272642 2.06004571045268 0.992107693218683 1.06793801723399 8.74902558122188e-18
"19" "PTPRM" 1.15474869511371e-07 -0.373765193368833 6.91045903312599e-14 -1.50345963473423 -0.235638246898952 -0.291572720976902 0.0559344740779499 0.0200926563367845
"20" "S100P" 3.01752249502022e-10 0.650109162093635 0.000209897194528338 2.5542018840085 0.834118943085054 0.662580715249334 0.17153822783572 7.11712804921203e-05
"21" "SEMA5A" 7.36400536373058e-09 -0.538040225548277 1.83925246950393e-17 -2.27963076245995 -0.485389282406028 -0.47634329407594 -0.00904598833008841 0.013240748991112
"22" "SRPX2" 1.46182522918777e-16 1.33443697682771 2.24669520983702e-09 1.9307153711101 2.05638598491342 1.50742417904399 0.548961805869435 1.25964552393423e-08
"23" "TMPRSS4" 2.28951318539771e-07 0.450624755512578 1.49624090086994e-14 4.34990835157145 0.830334287454809 0.709724724806641 0.120609562648168 9.79203019589483e-05
"24" "TNS1" 0.000122749928235176 -0.274973570349125 7.90042179968556e-20 -2.22678770670253 -0.763315539788475 -0.663595787438296 -0.0997197523501789 0.00017529719889007
