"Gene"	"log2FC"	"FDR"
"1"	"TSPAN6"	1.14596803643903	8.73905352169802e-11
"2"	"DPM1"	0.306987233568679	0.00348296658766091
"3"	"SCYL3"	0.559167427904947	7.28351166616118e-06
"4"	"C1orf112"	1.86462589236339	8.96139408343043e-19
"5"	"FGR"	-2.21455912556832	6.56831263654451e-17
"6"	"CFH"	0.323751399730373	0.116077592116359
"7"	"FUCA2"	0.311887499775213	0.00604014426883799
"8"	"GCLC"	1.7428097867594	2.92952607640177e-09
"9"	"NFYA"	0.774230746917264	4.75401335836876e-11
"10"	"STPG1"	-0.14931446931628	0.293959506588934
"11"	"NIPAL3"	-0.55011342016496	8.0305265380628e-07
"12"	"LAS1L"	0.384520641699102	2.68708911750967e-05
"13"	"ENPP4"	-0.751227328180343	2.64852270435911e-07
"14"	"SEMA3F"	-0.430953509978887	0.0239208963242395
"15"	"CFTR"	-2.09523075420465	2.00795684708222e-07
"16"	"ANKIB1"	0.894175528761481	6.81029979017392e-12
"17"	"CYP51A1"	-0.824212371697271	1.98808324687376e-06
"18"	"KRIT1"	0.348670001827864	0.0187285791428594
"19"	"RAD52"	0.272241332808776	0.087522023123189
"20"	"BAD"	-0.274926656916572	0.0626701698290032
"21"	"LAP3"	-0.198279900509137	0.117289640945776
"22"	"CD99"	0.0744531342396693	0.634445379332655
"23"	"HS3ST1"	1.10845596495226	1.36074555953328e-06
"24"	"AOC1"	2.64196287380501	3.08404352160432e-05
"25"	"HECW1"	2.23233080519534	2.32266310058765e-11
"26"	"MAD1L1"	-0.453372731737119	0.0529035204665328
"27"	"LASP1"	0.227077659802011	0.0819604643810083
"28"	"SNX11"	-0.0483605907827682	0.671483697992574
"29"	"TMEM176A"	0.559213849016075	0.0315326181308303
"30"	"M6PR"	-0.246931331889405	0.0181755632967706
"31"	"KLHL13"	-0.338148553973512	0.291061186108057
"32"	"CYP26B1"	-0.842154576341195	0.0082368821900301
"33"	"ICA1"	0.948194370716072	3.23550784938519e-11
"34"	"DBNDD1"	1.78853200543818	1.99954774270192e-11
"35"	"ALS2"	0.177449694843896	0.0831722744265773
"36"	"CASP10"	-0.242241338310673	0.118739181843261
"37"	"CFLAR"	-0.6488368412873	6.95537149652903e-05
"38"	"TFPI"	-0.814691245555282	0.00104320458166457
"39"	"NDUFAF7"	0.548840529023606	6.24181013566955e-08
"40"	"RBM5"	-0.0554176491387111	0.762937298262086
"41"	"MTMR7"	0.722882995035357	0.074447127459552
"42"	"SLC7A2"	-0.245179810173298	0.596841144465912
"43"	"ARF5"	0.103964026804797	0.601599384785621
"44"	"SARM1"	-0.317280714059318	0.0768370376827589
"45"	"POLDIP2"	0.394560073974596	0.00391359740463829
"46"	"PLXND1"	-0.529904753235248	0.00114022243596189
"47"	"AK2"	0.55395051491276	2.18631747321034e-09
"48"	"CD38"	-0.0703140472599593	0.826495868452748
"49"	"FKBP4"	0.8036548761707	2.09093770748946e-07
"50"	"KDM1A"	0.746106620304718	4.60210813933468e-11
"51"	"RBM6"	-0.0262871157894997	0.890575257160039
"52"	"CAMKK1"	-0.485492718107562	0.000891045506072619
"53"	"RECQL"	0.249288011980979	0.0603455122868624
"54"	"VPS50"	0.318934077928665	0.00049784605127334
"55"	"HSPB6"	-2.88715642927654	1.13470437465553e-16
"56"	"ARHGAP33"	0.704422608893029	0.00505873337936403
"57"	"NDUFAB1"	0.391795431942035	0.00214826842821739
"58"	"PDK4"	-2.39935060624648	1.85883563408773e-14
"59"	"ZMYND10"	-2.49161285064411	3.48534656101617e-07
"60"	"ARX"	0.332671460669483	0.584487009038741
"61"	"SLC25A13"	1.20029728350778	2.96257354423958e-19
"62"	"ST7"	-0.72185009515135	1.59751214732905e-13
"63"	"CDC27"	0.5651178892474	1.81603095598087e-08
"64"	"SLC4A1"	-2.48112126674044	1.27160144089127e-08
