"Gene"	"log2FC"	"FDR"
"1"	"TSPAN6"	1.09281246158506	2.33367451233216e-10
"2"	"DPM1"	0.680727889522092	2.03772258402637e-09
"3"	"SCYL3"	0.247049160575413	0.0313047123052484
"4"	"C1orf112"	2.30179058262694	5.85187049752769e-27
"5"	"FGR"	-2.77500866232106	4.8832567409597e-30
"6"	"CFH"	-0.824701377331329	0.000618196060615255
"7"	"FUCA2"	0.019852087422298	0.852287037953291
"8"	"GCLC"	2.49812633232022	7.3514580129843e-14
"9"	"NFYA"	0.643947473185718	3.3709459245592e-09
"10"	"STPG1"	0.186488450441251	0.120553973446249
"11"	"NIPAL3"	-0.595051012966313	1.19047694262635e-07
"12"	"LAS1L"	0.578965234724862	1.07120689967568e-08
"13"	"ENPP4"	-2.59137799501061	9.73503615108014e-25
"14"	"SEMA3F"	1.15368357322643	2.23263305129484e-11
"15"	"CFTR"	-4.32118305113456	6.62769781377717e-26
"16"	"ANKIB1"	0.712987784007813	1.75673636281291e-09
"17"	"CYP51A1"	-0.339646632920884	0.0594145369720566
"18"	"KRIT1"	0.366609445076348	0.00536720625040609
"19"	"RAD52"	0.504912645078594	0.00116594524236122
"20"	"MYH16"	1.97638387069283	1.91314171403742e-13
"21"	"BAD"	0.0474309835400346	0.679995567765336
"22"	"LAP3"	-0.676341285877828	3.97352010854953e-08
"23"	"CD99"	0.173016645117617	0.0995619132925328
"24"	"HS3ST1"	0.526003193734703	0.0579529399128343
"25"	"AOC1"	0.763929974643333	0.0169217543636692
"26"	"WNT16"	1.94712187101022	3.76096845052332e-06
"27"	"HECW1"	2.30320051389718	4.79093901720543e-16
"28"	"MAD1L1"	-0.691369477727905	0.000722829492459095
"29"	"LASP1"	0.106164334629971	0.220781373877442
"30"	"SNX11"	0.0967169651048101	0.302167988641364
"31"	"TMEM176A"	-0.28818845569976	0.17171611955587
"32"	"M6PR"	0.237250348700352	0.0140096787625724
"33"	"KLHL13"	2.18573474260868	3.15276560616215e-09
"34"	"CYP26B1"	0.319211396458041	0.292174336570055
"35"	"ICA1"	-1.28183643723123	7.51988207402569e-08
"36"	"DBNDD1"	0.655571170026766	0.00286190813224514
"37"	"ALS2"	0.197039179522834	0.0512921802693712
"38"	"CASP10"	-1.23671801485674	7.34039286523633e-18
"39"	"CFLAR"	-1.46641888079704	1.31901441301346e-22
"40"	"TFPI"	-2.60126406801432	3.49184557001325e-20
"41"	"NDUFAF7"	0.581684085421748	4.95924508672217e-07
"42"	"RBM5"	-0.641597018516393	2.12874890274386e-08
"43"	"MTMR7"	-0.877785154286786	2.05153243536289e-05
"44"	"SLC7A2"	-2.37050977660041	1.36357007538107e-13
"45"	"ARF5"	0.76224666741254	5.57576520854563e-14
"46"	"SARM1"	-0.60506201482382	0.000455101995959586
"47"	"POLDIP2"	0.888606949247732	8.91834790925626e-17
"48"	"PLXND1"	-1.22802063001996	3.10843792427896e-13
"49"	"AK2"	0.244900439967095	0.00163666418372004
"50"	"CD38"	-1.48205739078527	1.98625096049849e-08
"51"	"FKBP4"	2.06327266641643	2.06826850524163e-35
"52"	"KDM1A"	1.13836671618374	4.8941505392897e-19
"53"	"RBM6"	-0.409467418948079	0.000668958526742998
"54"	"CAMKK1"	-0.0305311418060974	0.833505722352097
"55"	"RECQL"	0.65806862734407	1.59506807804626e-07
"56"	"VPS50"	0.095553412757396	0.372324923812794
"57"	"HSPB6"	-3.96901344552595	1.07250334812809e-35
"58"	"ARHGAP33"	0.841463423308365	0.000412474048272743
"59"	"NDUFAB1"	0.674062501348695	5.73095636929375e-11
"60"	"PDK4"	-4.59909372541781	3.79480987680314e-29
"61"	"SLC22A16"	0.0975410133173584	0.80232659720451
"62"	"ZMYND10"	-3.62095031804611	1.77915126257649e-12
"63"	"ABCB5"	-1.19207421528647	0.00331053778081574
"64"	"ARX"	-1.32976802546308	0.00933929233778737
"65"	"SLC25A13"	1.17853905922869	1.10277640782394e-15
"66"	"ST7"	-1.01428192953204	3.67995969200091e-21
"67"	"CDC27"	0.473064551001237	4.61899138306603e-08
"68"	"SLC4A1"	-3.44453749698904	9.19535542089466e-17
"69"	"CALCR"	-0.585757558642654	0.0179761693385945
"70"	"HCCS"	0.485189903661842	1.46041103969141e-06
"71"	"DVL2"	0.723691830571832	7.62135553928307e-10
"72"	"PRSS22"	1.09852700381927	0.000673101521395858
"73"	"UPF1"	0.494128849413258	3.86814892014617e-07
"74"	"SKAP2"	-0.747398535591671	2.04958268416759e-09
"75"	"SLC25A5"	0.730444956550779	9.88008504646746e-09
"76"	"MCUB"	0.354713258280025	0.00406306205532801
"77"	"POLR2J"	0.84674932651562	7.51979542260316e-15
"78"	"DHX33"	0.925882612924779	1.70283408746783e-15
"79"	"MEOX1"	-0.00244429725470485	0.995703320366057
"80"	"THSD7A"	-2.10036108644378	5.35514032344383e-15
"81"	"LIG3"	1.23444686937035	3.63080031359127e-18
"82"	"RPAP3"	0.859845949305702	4.84182822379591e-16
"83"	"ACSM3"	-1.65622833320618	8.20652717340051e-10
"84"	"REXO5"	1.26441182498542	8.50702028493007e-11
"85"	"CIAPIN1"	0.491739853593283	8.8208642329688e-09
"86"	"SPPL2B"	0.432300802899149	0.000199059097785743
"87"	"FAM214B"	-0.389267506743368	0.00160096226809348
"88"	"COPZ2"	0.664507058492967	0.00335919209077839
"89"	"PRKAR2B"	-1.42312317878805	4.14264907661603e-14
"90"	"MSL3"	0.0837411275365367	0.414044029223075
"91"	"CREBBP"	0.0936453168739719	0.394611431528905
"92"	"TSPOAP1"	-1.01699312612435	2.34085132983319e-05
"93"	"MPO"	-1.75376281749687	5.06376403309998e-10
"94"	"PON1"	-2.21269800033715	7.62475788861063e-09
"95"	"GCFC2"	0.560771521188509	2.41403647989326e-07
"96"	"WDR54"	0.639558431695014	5.74534616343305e-05
"97"	"CROT"	0.448244756676868	0.00362806724364988
"98"	"ABCB4"	0.195058359775739	0.428603839713485
"99"	"KMT2E"	-0.371727666019035	0.000270673110419292
"100"	"RHBDD2"	-0.359162126175258	0.00118000505346513
"101"	"SOX8"	-0.448880877717549	0.21215058110231
"102"	"IBTK"	-0.255799275265745	0.00139312929281546
"103"	"ZNF195"	0.395027601669438	0.00432073012271591
"104"	"MYCBP2"	-0.0732126774580992	0.545643021085575
"105"	"FBXL3"	-0.726852277888645	9.38614098839921e-10
"106"	"ITGAL"	-2.47783002337424	7.84368747409628e-22
"107"	"PDK2"	-0.450935354153054	4.50565290775812e-05
"108"	"ITGA3"	-0.903601446401036	9.42385360468114e-05
"109"	"ZFX"	0.227110370483291	0.0728687347264565
"110"	"LAMP2"	0.450909308356684	1.96293695189136e-06
"111"	"ITGA2B"	-1.05145244976137	0.000128846533884364
"112"	"ASB4"	-1.90532760802276	3.57728659514836e-07
"113"	"GDE1"	-0.147438700304151	0.0677495824651267
"114"	"REX1BD"	0.346795355461809	0.0292698015149006
"115"	"CRLF1"	-0.205518619336128	0.568575728024558
"116"	"OSBPL7"	-0.712160253419788	1.97612875705578e-05
"117"	"TMEM98"	-0.738202923134507	5.27942234076612e-06
"118"	"YBX2"	3.20671853482965	5.18543055379127e-13
"119"	"MAP3K14"	-0.737237635819722	4.85975054735503e-05
"120"	"ABCC8"	-3.01312469388109	4.50461148456119e-10
"121"	"TMEM132A"	3.16485047197399	5.57549402176635e-35
"122"	"AP2B1"	-0.0850078944357211	0.479705231606358
"123"	"ZNF263"	0.126957554309329	0.160281069790792
"124"	"CX3CL1"	-1.05275697719044	6.25040412439174e-06
"125"	"SPATA20"	0.341726282919784	0.0247777193973024
"126"	"CACNA1G"	-0.117998133345193	0.709729214723559
"127"	"TNFRSF12A"	-0.209975049029628	0.422039204379545
"128"	"DLX6"	7.47048507440616	1.234313571853e-24
"129"	"MAP3K9"	0.286691553262808	0.0774575371180771
"130"	"RALA"	-0.121998162756788	0.247584485742506
"131"	"BAIAP2L1"	1.2409311767429	1.52553086610273e-18
"132"	"KDM7A"	0.00436622721689783	0.974825586063076
"133"	"ETV1"	-2.05168614153028	3.10872513348645e-18
"134"	"AGK"	0.666898216346085	1.01995828624476e-13
"135"	"ALDH3B1"	-3.69987188971433	2.07979999074507e-40
"136"	"TTC22"	1.48509962925452	5.77093203661475e-11
"137"	"PHTF2"	0.932383264623056	4.80589147183924e-14
"138"	"CCL26"	2.69157310457244	1.28704583411418e-11
"139"	"FARP2"	0.458452988541854	4.93250200012243e-06
"140"	"USH1C"	0.389432950429534	0.42888203117173
"141"	"GGCT"	1.90137269384911	1.89969677205457e-24
"142"	"DBF4"	1.98984980024018	1.85075356619524e-29
"143"	"TBXA2R"	-1.50215561536468	1.44813731056679e-15
"144"	"IFRD1"	-0.232133838260616	0.124034261520466
"145"	"COX10"	0.477945590350189	3.10926504016447e-09
"146"	"GTF2IRD1"	1.39315344209622	3.34842175801741e-21
