"Gene"	"log2FC"	"FDR"
"1"	"PVT1"	-2.59037138719878	1.24551821162523e-18
"2"	"HAS1"	2.83291679691784	4.62061966433614e-18
"3"	"ATIC"	-1.6815358511793	1.03580266677813e-17
"4"	"POLG2"	-1.63951917132463	3.09939320885312e-17
"5"	"ELTD1"	2.72736529493033	4.68641599409995e-17
"6"	"DPP6"	2.86351180378419	2.04980283790164e-16
"7"	"TRIM14"	-1.75960553168267	7.77559103515225e-16
"8"	"MAD2L1"	-1.73249199482568	3.28976146065095e-15
"9"	"SHCBP1"	-1.39137646698611	8.87498738667896e-15
"10"	"RRS1"	-1.61393234845764	8.88617960872069e-15
"11"	"ASNS"	-1.55878005393414	1.03441481796691e-14
"12"	"LOC407835"	1.50574291772228	2.73358414790599e-14
"13"	"RPLP1"	-1.31711583913239	2.74082153015363e-14
"14"	"MYL6B"	-1.29726518856387	6.28461763282373e-14
"15"	"PUS1"	-1.14160951563353	6.91285025689701e-14
"16"	"RIT1"	-3.7746613893501	6.98477945910082e-14
"17"	"TTC15"	-1.12983892527901	6.99972913144523e-14
"18"	"CEP55"	-1.95089847091662	8.45265636912955e-14
"19"	"THSD1"	1.25512524506682	9.74167675849948e-14
"20"	"ACSM3"	-1.26381470639744	1.02119428403247e-13
"21"	"HNRNPF"	-1.63754782167428	1.03956068403742e-13
"22"	"MPZL3"	-1.47073867532014	1.19892085463736e-13
"23"	"COL23A1"	2.95532962059736	1.63587283712682e-13
"24"	"KRCC1"	2.16301739011035	2.00546625591645e-13
"25"	"ZFP106"	1.7678572291333	2.59635413502516e-13
"26"	"PAIP1"	-1.31171513935478	2.59635413502516e-13
"27"	"GTF2I"	-1.32098871214484	3.91057343113762e-13
"28"	"FAM18B2"	-1.49872704999141	4.16324419612235e-13
"29"	"LUC7L3"	-1.40026170676431	4.6610796657901e-13
"30"	"NKAPL"	1.99848300615806	4.6610796657901e-13
"31"	"TAL1"	1.99018508029585	4.6610796657901e-13
"32"	"DUS1L"	-1.30118493974386	4.6610796657901e-13
"33"	"NUDT1"	-1.17430784499418	5.8181004432047e-13
"34"	"CLEC14A"	1.7259165402161	6.08368885337839e-13
"35"	"NXPH1"	2.13370327979421	6.13758369287831e-13
"36"	"PEAR1"	2.17531462709701	6.13758369287831e-13
"37"	"RPL30"	-2.09254270248256	6.41740122166971e-13
"38"	"HOXD10"	2.18844346014588	7.6171035648988e-13
"39"	"FGD6"	-1.49150941084793	9.45045101914221e-13
"40"	"ATG9B"	-1.58024709077716	9.45045101914221e-13
"41"	"PPM1K"	-1.40121555376414	1.04809285316152e-12
"42"	"CD47"	1.24164039755533	1.04809285316152e-12
"43"	"DARS"	-1.78219638331448	1.0564776235335e-12
"44"	"GRIK2"	2.45485301145256	1.09454674548292e-12
"45"	"TCN1"	-1.63465761545154	1.31478205741451e-12
"46"	"IER5"	-1.64348014381286	1.31609910546454e-12
"47"	"VARS"	-1.41066183898305	1.34721764336416e-12
"48"	"FAM178B"	-1.8226139760658	1.34721764336416e-12
"49"	"ELAVL4"	1.82631822782779	1.41883232987519e-12
"50"	"GCK"	2.53653342757075	1.47522076116113e-12
"51"	"HOXD9"	1.68906634802825	2.22331434385362e-12
"52"	"SMYD5"	-1.25554357711852	2.91369350388118e-12
"53"	"ADAM28"	-1.65014635136195	2.91369350388118e-12
"54"	"COX10"	-1.60963391596338	3.34858143584571e-12
"55"	"CDX2"	1.96951874552316	3.46076792003578e-12
"56"	"RBMS2"	1.86715185434817	3.46076792003578e-12
"57"	"RAB6D"	2.78859345153916	3.56958053828194e-12
"58"	"WBP1"	-1.06622536492112	4.10171893881681e-12
"59"	"C20orf29"	0.982590085921522	4.13747151136953e-12
"60"	"SNHG3"	-1.02570681338428	4.13747151136953e-12
"61"	"E2F8"	-1.35483254731241	4.13747151136953e-12
"62"	"EMB"	-1.51417089213885	5.01748489160283e-12
"63"	"CHRM1"	2.55972562890006	5.2491225729789e-12
"64"	"NMI"	-1.84592857598304	5.29658944741899e-12
"65"	"CNRIP1"	2.02295563876077	5.29658944741899e-12
"66"	"CUTA"	-1.32560213737716	7.0285781539919e-12
"67"	"GIT1"	-1.18239568375021	7.26338924088251e-12
"68"	"PLEKHO2"	0.982088448857583	7.336483505817e-12
"69"	"SCARF1"	1.23621699059824	7.62521016633132e-12
"70"	"LGALS9B"	-1.26953922752397	8.10351900691574e-12
"71"	"PKP3"	-1.94358907122085	9.06846145376521e-12
"72"	"ZNF706"	1.0662855953455	9.0752187723493e-12
"73"	"DSC2"	-1.24642358121388	9.63283103167087e-12
"74"	"DUSP14"	-1.40408759951492	9.76655695719069e-12
"75"	"PHLDA2"	-1.31879833466106	1.0224098291644e-11
"76"	"TIE1"	1.65521215833784	1.03413094450467e-11
"77"	"GUCA1A"	1.33199238801264	1.07011403327347e-11
"78"	"DDB1"	-1.34974983808305	1.16100895713685e-11
"79"	"OAS1"	-1.48690923666274	1.17152411805375e-11
"80"	"EPN3"	-1.56160155190487	1.17500356017573e-11
"81"	"ECSCR"	1.00363301048283	1.17500356017573e-11
"82"	"CALCOCO2"	2.03470979669542	1.17500356017573e-11
"83"	"ANKRD24"	-1.18250714568347	1.18113190827839e-11
"84"	"LGALS9C"	-1.26633410232138	1.18927349166695e-11
"85"	"BTBD2"	-1.1833839330556	1.18927349166695e-11
"86"	"SLC25A32"	-1.41667924676843	1.2314787376046e-11
"87"	"SLC41A3"	-1.41460597796606	1.258574069818e-11
"88"	"KIF15"	-1.42080027459627	1.28623515368667e-11
"89"	"PTGDR"	2.58498033528141	1.30753263245238e-11
"90"	"TMEM62"	-1.16375433574485	1.30753263245238e-11
"91"	"ARPM1"	-1.42759260065622	1.45285643741185e-11
"92"	"CCL26"	-2.33396110020054	1.46152402506889e-11
"93"	"RBM34"	-1.11872839660654	1.46152402506889e-11
"94"	"NOLC1"	-1.92951061445447	1.61341872257063e-11
"95"	"FAM38B"	1.46994055671184	1.66762636311801e-11
"96"	"COX7A1"	1.19345599261601	1.68441841708508e-11
"97"	"MAPK13"	-1.18657575920751	1.72322592848878e-11
"98"	"FAM110A"	-0.995919586770992	1.72322592848878e-11
"99"	"GATS"	-1.40386986530679	2.00757544639069e-11
"100"	"TAOK2"	1.24176597549528	2.01352855198912e-11
"101"	"CEACAM19"	-1.51815656906381	2.23424428174975e-11
"102"	"ROD1"	-1.38292868321086	2.29910660727322e-11
"103"	"SLC35F2"	-1.78661826366885	2.30582333117532e-11
"104"	"ENG"	1.14883700578717	2.30582333117532e-11
"105"	"PCSK1"	1.14801732973027	2.37189657825185e-11
"106"	"NECAB2"	-1.35998381535411	2.38679225769979e-11
"107"	"E2F6"	-1.43900391481962	2.38679225769979e-11
"108"	"PCDHA7"	1.21405687040848	2.5345652018902e-11
"109"	"CARS"	-1.20049838113383	2.53460617438547e-11
"110"	"MAP3K3"	1.30417603917134	2.70448447938453e-11
"111"	"ASCC1"	-1.65476196857464	2.82667841429567e-11
"112"	"LOC158376"	1.27001056187755	2.85526129516173e-11
"113"	"SNAPC5"	-1.08334782199954	2.85526129516173e-11
"114"	"ZNRF2"	-1.78834222979699	2.87087017229866e-11
"115"	"PARD6B"	-1.58771576417912	3.03163144448964e-11
"116"	"CA3"	2.1590690573054	3.03163144448964e-11
"117"	"LOC153684"	-1.13832207010874	3.08368414286328e-11
"118"	"C1orf128"	-1.10023020109946	3.20759684296385e-11
"119"	"CST4"	-1.25819303504714	3.22972568218797e-11
"120"	"PCDH17"	1.54459116340671	3.22972568218797e-11
"121"	"PROKR1"	-1.30242454513261	3.22972568218797e-11
"122"	"SFRS13A"	-1.6785687871637	3.22972568218797e-11
"123"	"GAS5"	-1.54268428564629	3.22972568218797e-11
"124"	"NUP210"	-1.02162463785301	3.23517335233321e-11
"125"	"ZBTB7C"	-1.43608757070104	3.41070752266961e-11
"126"	"PIP4K2C"	-0.836368394688505	3.53675876633386e-11
"127"	"C7orf40"	-1.23578202056488	3.78736774704789e-11
"128"	"SAR1A"	-2.64248729981703	3.78736774704789e-11
"129"	"RGS14"	-1.04452971083366	4.03091915675755e-11
"130"	"SLC27A4"	-1.32488580494757	4.13428172015786e-11
"131"	"ABI1"	-1.54391771869682	4.41014253383024e-11
"132"	"SGOL1"	-1.18916409785634	4.49637991603665e-11
"133"	"ADCYAP1R1"	-1.23419591465617	4.74061677555071e-11
"134"	"CECR2"	1.63454726185228	4.96506071740234e-11
"135"	"ADSSL1"	-0.982738707749715	5.21006930093525e-11
"136"	"PMEPA1"	-1.69242334818137	5.35012917220116e-11
"137"	"MFI2"	-1.30814900614452	5.4534165986899e-11
"138"	"RAG1AP1"	-1.36985866528483	6.27434469570924e-11
"139"	"SLC24A4"	3.07704318429589	6.30556243381873e-11
"140"	"SLC39A11"	-2.20245237619235	6.30556243381873e-11
"141"	"PRDX1"	-2.09868013786479	6.67878935664959e-11
"142"	"CCDC6"	-1.40563120166953	6.74554020346905e-11
"143"	"TMEM156"	-1.74126103134683	7.13039920904827e-11
"144"	"ZNF177"	1.70580793663591	7.2363831052059e-11
"145"	"TCF21"	1.16664789744113	7.25155512238752e-11
"146"	"XPO4"	1.27376712944354	7.25155512238752e-11
"147"	"RAB19"	-1.06213671514251	7.25155512238752e-11
"148"	"RABEPK"	-1.07945583806949	8.10376611246113e-11
"149"	"TBC1D3C"	-0.869825160626799	8.10376611246113e-11
"150"	"TRIM27"	-1.25883863448316	8.54379705411908e-11
"151"	"SFT2D3"	-0.99178114115794	8.80208808630356e-11
"152"	"SULT1C4"	1.28017716604205	9.1326951080292e-11
"153"	"WWP2"	1.03624141846379	9.6695322966424e-11
"154"	"HSF1"	-1.06967879485438	9.67886006795453e-11
"155"	"COL18A1"	-1.97020163650377	1.0480721620703e-10
"156"	"HELB"	-1.3403332468676	1.10297982945834e-10
"157"	"RGS16"	1.33519194976407	1.10642924680734e-10
"158"	"BZW2"	-1.66081531856794	1.10642924680734e-10
"159"	"NQO1"	-1.48546549646634	1.10642924680734e-10
"160"	"CCDC21"	-0.972855694239482	1.13882415205203e-10
"161"	"ZBTB44"	-0.973898237379692	1.15818927143566e-10
"162"	"RCAN3"	-0.996266177020096	1.15818927143566e-10
"163"	"PEX10"	-1.31528866779164	1.15818927143566e-10
"164"	"PCDHA3"	1.32439859938695	1.15818927143566e-10
"165"	"ACCN1"	1.50500682640667	1.17889662952143e-10
"166"	"ANKRD46"	-1.20286022544668	1.24068534893015e-10
"167"	"RER1"	-1.20496751990607	1.24929021836972e-10
"168"	"MX2"	-1.92350182575416	1.27261973045421e-10
"169"	"LOC541471"	-1.78001328643713	1.30759526238356e-10
"170"	"CHST13"	1.31135323716144	1.31549091077746e-10
"171"	"MRPL38"	-1.26887283431616	1.32714750461334e-10
"172"	"ABHD3"	-1.13622816350003	1.36074463463653e-10
"173"	"NDRG1"	-1.77835797484375	1.37156427890535e-10
"174"	"NCAPG"	-1.09848899906137	1.37425947099923e-10
"175"	"TIFA"	-1.28335961320952	1.39269546029709e-10
"176"	"LOC595101"	-0.867793310164125	1.40747579594485e-10
"177"	"GLT1D1"	1.80048928458695	1.40388787964009e-10
"178"	"KIAA1609"	-1.22706851816667	1.40747579594485e-10
"179"	"AGA"	-1.26599887886645	1.41055602292993e-10
"180"	"LOC100130331"	-1.63142171927785	1.42647656642867e-10
"181"	"RRM2"	-1.52159834439405	1.45438996315142e-10
"182"	"UHRF1BP1L"	-1.12300654311613	1.48181358610669e-10
"183"	"FRMD4A"	1.2534269540283	1.5131908826893e-10
"184"	"VASH1"	0.900216882749003	1.65715154552545e-10
"185"	"NME1-NME2"	-1.24625178856198	1.66551783511168e-10
"186"	"BLVRA"	-1.30012102275006	1.66551783511168e-10
"187"	"PCDHGA12"	2.14366753115223	1.70991766556505e-10
"188"	"PRMT3"	-1.22532664642116	1.76664617372119e-10
"189"	"JUP"	-1.51373415341406	1.76703456185808e-10
"190"	"S100A7"	-1.17891624912701	1.83532496519523e-10
"191"	"ACBD5"	-1.60462547065417	1.83976726687646e-10
"192"	"PRDM6"	0.955763834913679	2.05596765199808e-10
"193"	"MNDA"	-1.43863767143638	2.08649013414023e-10
"194"	"ASTL"	-1.03599654150206	2.20130298293613e-10
"195"	"GEMIN5"	-1.1898688176018	2.2430933061006e-10
"196"	"DEPDC1"	-1.07347444993423	2.36529280024485e-10
"197"	"FAM83A"	-1.79794483791851	2.43547307121132e-10
"198"	"HSD17B8"	-0.902230940278427	2.51252981864189e-10
"199"	"PARD3"	-1.32825177711878	2.78467993356855e-10
"200"	"C11orf41"	-1.34368201981635	2.78467993356855e-10
"201"	"PPTC7"	-1.50199132861325	2.92476962731462e-10
"202"	"ST14"	-1.23599104795983	3.02387849192968e-10
"203"	"RPL9"	-0.91984051899907	3.03628373545411e-10
"204"	"C2orf84"	1.46227431740402	3.04543700581149e-10
"205"	"GOLGA7B"	-0.794286064626661	3.29685285257094e-10
"206"	"NUDT13"	-1.78742376039704	3.30917587929466e-10
"207"	"FBLL1"	3.11725756052863	3.30917587929466e-10
"208"	"FZD4"	1.08689969317875	3.30917587929466e-10
"209"	"ADAM19"	1.15288173832276	3.30917587929466e-10
"210"	"NCRNA00152"	-1.93310314705807	3.32364856583737e-10
"211"	"CCDC109B"	-1.44243607719633	3.32364856583737e-10
"212"	"TMPO"	-1.48025187211485	3.36262062401279e-10
"213"	"TEC"	-0.98730756583367	3.52196152757711e-10
"214"	"CPA4"	-1.41991814946807	3.61727614209005e-10
"215"	"ZBTB37"	-1.04673083141683	3.80072549446965e-10
"216"	"APOLD1"	0.953148793046165	3.80247708289527e-10
"217"	"COMTD1"	-1.10049747015996	3.995559968519e-10
"218"	"COL4A3BP"	0.975304830001156	4.08859268104615e-10
"219"	"NAA40"	-1.14993568545685	4.08859268104615e-10
"220"	"NPM1"	-1.43835091369946	4.09730582353342e-10
"221"	"PIGT"	-1.29717543590932	4.21616313430978e-10
"222"	"RFTN2"	0.943364717006833	4.27024123503048e-10
"223"	"SNHG4"	-1.05320008906685	4.36232481451976e-10
"224"	"VPS37C"	-1.36375417404487	4.3630868681081e-10
"225"	"TADA3"	-0.958947782169471	4.52775453425527e-10
"226"	"MGC87042"	-1.35867836362933	4.69339717766421e-10
"227"	"PSMD2"	-1.30474185435662	4.68198443086833e-10
"228"	"FILIP1"	0.931631837501972	4.68198443086833e-10
"229"	"FAM86A"	-1.20927932018518	4.68198443086833e-10
"230"	"TGFB1I1"	1.46796743513379	4.69701824682289e-10
"231"	"FGF5"	2.68814162957899	4.80632490897131e-10
"232"	"PIN1L"	-1.50317915477172	4.81543896837948e-10
"233"	"PSMG3"	-1.27024276350623	4.93705768692782e-10
"234"	"WEE1"	-1.22479241334582	4.99068121423644e-10
"235"	"ERCC4"	1.14329403189557	4.99068121423644e-10
"236"	"HYAL2"	0.997515026223589	5.10020053143973e-10
"237"	"ARNTL2"	-1.76432310510191	5.10020053143973e-10
"238"	"CYTL1"	1.51274259199198	5.10020053143973e-10
"239"	"IRF2BP1"	-1.09358656152747	5.21078195666547e-10
"240"	"ZNF454"	2.39276605327118	5.33737247867194e-10
"241"	"PCDHB10"	0.783242303839012	5.43164510242717e-10
"242"	"SMAD2"	-1.07063397981022	6.14780201263368e-10
"243"	"FANCA"	-1.04617492161818	6.14780201263368e-10
"244"	"NME2"	-1.15231331691054	6.18567497459913e-10
"245"	"HLX"	1.64511496648515	6.23750452983003e-10
"246"	"C15orf42"	-0.838806877101514	6.328517909949e-10
"247"	"SPARCL1"	1.37299676495937	6.37202828588613e-10
"248"	"GTF2E2"	-2.01215352885558	6.86905444531504e-10
"249"	"TSPAN14"	1.02326505608997	6.88604772439477e-10
"250"	"SCO1"	-1.19728055508119	6.88604772439477e-10
"251"	"ESRRA"	-1.0472613856315	6.88604772439477e-10
"252"	"THOC6"	-0.738010760309921	6.9727863748472e-10
"253"	"ENTPD8"	-0.977298617002927	7.26419739282597e-10
"254"	"PRRT3"	-0.989312153675322	7.33098722398235e-10
"255"	"DNAH14"	-1.01939712317012	7.36625695568426e-10
"256"	"SERPINB5"	-1.696090494613	7.36625695568426e-10
"257"	"C10orf35"	-1.07748689108771	7.435940361686e-10
"258"	"FOXE3"	1.14156701820124	7.81998300825557e-10
"259"	"MCTP2"	-0.995445201916123	7.81998300825557e-10
