"Gene"	"log2FC"	"FDR"
"1"	"PCDH8"	2.79981675274365	8.17156702363571e-36
"2"	"HAS1"	3.40975658144266	1.48759488700768e-33
"3"	"TXNIP"	3.03719612526886	1.50627543192173e-33
"4"	"CCDC81"	3.69144010740425	2.14362628133283e-33
"5"	"COX10"	-2.24127652074157	2.82071995419022e-33
"6"	"MAD2L1"	-2.41578648933472	2.82071995419022e-33
"7"	"CLEC14A"	2.05815333990162	3.52320707165587e-33
"8"	"FBXO5"	-2.56013769179859	3.67769580636025e-33
"9"	"GHITM"	-3.37948947643729	2.14140526182949e-32
"10"	"KIF15"	-2.21800226475366	2.14140526182949e-32
"11"	"PCDHGA12"	2.7474977988377	2.42321090661659e-32
"12"	"KRT72"	2.29853175855107	2.43421276240995e-32
"13"	"PHC3"	-2.49627145375381	2.43421276240995e-32
"14"	"ATG9B"	-2.13233482864547	6.09569017260622e-32
"15"	"RFFL"	-2.47921655254302	9.17042325155435e-32
"16"	"CEACAM19"	-3.46615027383657	1.89814333069351e-31
"17"	"HOXD12"	2.73569432391761	1.89814333069351e-31
"18"	"AKNA"	4.13170530330517	1.89814333069351e-31
"19"	"CNTNAP4"	-2.82676974928242	2.05075371063238e-31
"20"	"PAX7"	3.71698455651781	2.07095987522005e-31
"21"	"PCDH17"	2.54937360442902	3.97073121903497e-31
"22"	"NKAPL"	3.62632103184331	5.78837662888809e-31
"23"	"TCF21"	1.89111842757155	5.95837388454914e-31
"24"	"GREB1"	-3.23002894859659	5.95837388454914e-31
"25"	"CST4"	-2.25840031682129	6.33902316079843e-31
"26"	"NMI"	-3.15154058559772	1.10993454117878e-30
"27"	"FAM66A"	-1.97069393450491	1.10993454117878e-30
"28"	"ATIC"	-2.29849550210527	1.35440466703788e-30
"29"	"PKNOX2"	5.00746584168219	2.02435031539749e-30
"30"	"KIR3DL1"	-1.577110868355	3.45145552857681e-30
"31"	"TRIP13"	-4.0343819092484	4.09331197426422e-30
"32"	"CCDC21"	-1.5346284712728	5.05168123014319e-30
"33"	"TM2D3"	-4.56224678620243	5.53331989902638e-30
"34"	"CDC42"	2.24905528401952	5.96714728312118e-30
"35"	"ASNS"	-2.15078886516098	7.19589627891161e-30
"36"	"GAL3ST4"	-2.51904947266076	7.59526769642636e-30
"37"	"ALG1L"	-3.42784835670459	8.07740569247247e-30
"38"	"ADCYAP1R1"	-1.83460924222444	2.34190785306033e-29
"39"	"PLEKHO2"	1.6405253050164	2.92349131934823e-29
"40"	"LOC90246"	-2.0151367419916	4.23036686751256e-29
"41"	"CDH23"	2.37198080407858	4.5322941487784e-29
"42"	"KRTAP5-2"	-1.5725065902268	5.20808743793003e-29
"43"	"SFRS2"	-2.23012168379721	5.87362235359114e-29
"44"	"MESDC1"	2.05144443764301	5.87362235359114e-29
"45"	"NIPSNAP1"	-1.44134745897372	5.96068756485779e-29
"46"	"HYAL2"	1.79015677196793	6.40610057820257e-29
"47"	"ELTD1"	3.26442595551174	6.40610057820257e-29
"48"	"WDR24"	-2.18798013648319	6.63565360168595e-29
"49"	"DYNC1I1"	-2.45942132418065	6.94545312130369e-29
"50"	"NME2"	-1.72300416660598	8.28002179332608e-29
"51"	"FLJ33360"	-3.44803532541426	8.76144377583688e-29
"52"	"RPLP1"	-1.93620893785298	1.08242527384075e-28
"53"	"GUK1"	1.02382444188162	1.27535508794489e-28
"54"	"FMN2"	-1.60758448834314	1.29260659841217e-28
"55"	"APOLD1"	1.54620447844412	1.35257269338186e-28
"56"	"C1orf101"	-3.27540153124359	1.35257269338186e-28
"57"	"WFDC10B"	-1.85850238558673	1.41210145544939e-28
"58"	"NXPH1"	2.18478872185994	1.81877824904827e-28
"59"	"SNHG6"	-3.60229267003596	2.34834725178901e-28
"60"	"NCAPG"	-1.89390524595553	2.75748618041572e-28
"61"	"COX6C"	-2.74177221825934	2.99869288612235e-28
"62"	"ADRB3"	3.03509217421318	4.62615001963478e-28
"63"	"CLDN16"	1.70569741252421	4.67681245913442e-28
"64"	"ZC3HAV1L"	-3.21329677001909	4.81393109868707e-28
"65"	"IL1F9"	-3.02553466417072	5.08798230973297e-28
"66"	"HMGA1"	-1.90909053642684	5.08798230973297e-28
"67"	"GAS5"	-2.4725979570414	7.16040374012919e-28
"68"	"ENTPD8"	-2.21712904663202	7.23182076833663e-28
"69"	"POU2F2"	3.81137501888629	7.65296691805582e-28
"70"	"ZIC1"	3.67119288368185	7.79245817445097e-28
"71"	"RPS6KC1"	-2.30283738420848	8.22311719569228e-28
"72"	"ROD1"	-2.63560373197478	1.25497679175757e-27
"73"	"SHCBP1"	-1.80044158559132	1.72708040747778e-27
"74"	"DUS1L"	-1.95517001022742	1.90975655867527e-27
"75"	"RNF148"	-2.58169600050307	2.17695544706343e-27
"76"	"JPH4"	2.80546949179939	2.17934605485203e-27
"77"	"ISG20L2"	-1.58575611937136	2.36742448431885e-27
"78"	"BST1"	4.33242371501965	3.46963805776772e-27
"79"	"SLC1A6"	-2.10349216121281	3.58003891764279e-27
"80"	"GREM1"	2.5011284470431	3.64026352276745e-27
"81"	"COASY"	-1.23703085087785	3.70625219384489e-27
"82"	"MYO16"	1.72837180537417	3.80442204407984e-27
"83"	"NME1-NME2"	-2.12028521723675	4.66591411673434e-27
"84"	"CRY2"	1.72151871861624	5.82498656349259e-27
"85"	"NCOA1"	-3.67433270924347	7.85822483686245e-27
"86"	"RBMS2"	2.68289588571658	8.00043049838437e-27
"87"	"KSR1"	-1.61180847024671	8.18541926218992e-27
"88"	"PRDM8"	1.70299732548077	9.29396963968651e-27
"89"	"CILP2"	1.83278961730951	9.29396963968651e-27
"90"	"MRPS14"	-2.02244278103233	1.01194009511532e-26
"91"	"OLIG1"	-1.96816935137991	1.22556277527649e-26
"92"	"DAK"	-1.5685567560022	2.15709927484501e-26
"93"	"GPR116"	2.23365306517268	2.16606634006588e-26
"94"	"TMEM132D"	3.50874086716917	2.4801500121283e-26
"95"	"LOH12CR1"	-2.16113472797466	2.79517273102228e-26
"96"	"C20orf56"	2.970113177229	3.50982192905954e-26
"97"	"SMURF1"	-3.04770886540594	3.59676195059688e-26
"98"	"AMOTL2"	2.42509381921154	3.60682467514294e-26
"99"	"C1orf114"	4.45848272543707	3.86529212079696e-26
"100"	"MYL6B"	-1.84463703372154	3.95758694502006e-26
"101"	"DPP10"	-3.02614292734039	4.0288890170433e-26
"102"	"POMT2"	-2.39277316746105	4.31190495789535e-26
"103"	"KCNJ8"	3.56636431355068	4.44075291401069e-26
"104"	"ZNF154"	3.98458401575874	4.55205733112206e-26
"105"	"PRMT3"	-2.18943697790705	4.60245414221425e-26
"106"	"ADRA2A"	1.28829403011708	5.41298944394463e-26
"107"	"POLR1E"	-1.33268940249584	5.89456005692238e-26
"108"	"UBFD1"	-2.1934134768195	8.45708578422374e-26
"109"	"PCDHA7"	1.57169662005952	9.27617588314941e-26
"110"	"GNPTAB"	1.71021732336686	9.27617588314941e-26
"111"	"TGFA"	-1.57509745407071	1.06575679865473e-25
"112"	"RBM20"	2.51336421848998	1.09849241549563e-25
"113"	"TRIM58"	5.08880031281853	1.20500783067766e-25
"114"	"ZSCAN1"	-2.71655524508869	1.35532978597433e-25
"115"	"SHANK3"	1.62496404567751	1.38996452440487e-25
"116"	"C14orf39"	3.15853489000173	1.51518217868506e-25
"117"	"CEP55"	-2.20781666956892	1.97725714361579e-25
"118"	"GEMIN5"	-1.38929463281992	2.57772942975711e-25
"119"	"CHST12"	1.90597492052995	2.57772942975711e-25
"120"	"C1orf66"	-1.26118257788156	2.59157901038222e-25
"121"	"ZNF876P"	2.14385813621486	2.88309930578997e-25
"122"	"SFTA3"	3.13489399702317	2.91083949911023e-25
"123"	"PRKDC"	-3.04252946131918	2.91083949911023e-25
"124"	"LOC148824"	-2.30478419976937	2.9940568119895e-25
"125"	"GON4L"	-2.76978749911545	3.16753066175187e-25
"126"	"SNHG4"	-1.48866803671147	3.44334998374535e-25
"127"	"UNKL"	-3.67201664811631	3.485535194331e-25
"128"	"DAB2"	2.57746366451166	4.31147413054901e-25
"129"	"MED12L"	-1.88418294516235	4.44622890618059e-25
"130"	"TBX4"	2.34030929040135	4.46713574055518e-25
"131"	"LOC158376"	1.53447798775848	4.62007709613057e-25
"132"	"PAK7"	-2.53923032913224	4.64127573064555e-25
"133"	"LOH12CR2"	-1.78829228068867	5.10161196503254e-25
"134"	"GNASAS"	-2.16033240184084	5.1055301750272e-25
"135"	"MFSD7"	2.24952826405955	6.04585598270974e-25
"136"	"RGS7"	-1.82367453031198	7.82683222253357e-25
"137"	"C6orf118"	-2.10921344096381	8.55769408039738e-25
"138"	"MYH15"	-3.21790854280426	9.7676478383003e-25
"139"	"USP1"	-1.59362051049435	1.08201805453933e-24
"140"	"LARP4"	-2.87916749431158	1.11013913003607e-24
"141"	"C2orf65"	1.71202120979371	1.11110557150445e-24
"142"	"NMNAT3"	-1.9136807657128	1.17531890162846e-24
"143"	"SHISA6"	-1.18519160771827	1.19769218213746e-24
"144"	"ARL16"	-3.00214532600799	1.21576512351283e-24
"145"	"TUBA1C"	-3.48103363841101	1.30161248740128e-24
"146"	"PCDHA3"	1.70760836918087	1.42253654043002e-24
"147"	"GNAI1"	-2.68699039196664	1.43807195249404e-24
"148"	"PGLYRP1"	2.65528953298122	1.45557159631064e-24
"149"	"LOC646999"	4.08228100666203	1.5656736317497e-24
"150"	"TRAF7"	-2.22920901870427	1.60320346959617e-24
"151"	"TMEM216"	-1.84347208347983	1.60320346959617e-24
"152"	"NFATC2"	3.3682812326034	1.75340953238637e-24
"153"	"E2F8"	-1.86723685471682	1.77038427467942e-24
"154"	"ALPK3"	2.0680891045016	1.9958504756218e-24
"155"	"ARNTL2"	-2.8290297380996	2.31623784536627e-24
"156"	"TMEM39A"	-2.69007305872634	2.36599498790931e-24
"157"	"NOD1"	2.99136037680335	2.40847593124565e-24
"158"	"NRXN1"	-2.53588258915596	2.69623728294903e-24
"159"	"SCN4A"	-1.87776068382639	2.84013247128876e-24
"160"	"SKI"	2.41957774771359	3.2808879230929e-24
"161"	"KLK6"	-1.53945961468389	3.30213327109274e-24
"162"	"POU6F2"	-3.25493519967391	3.46351092373574e-24
"163"	"PCDHGB4"	2.03046531527821	3.46351092373574e-24
"164"	"POLG2"	-1.91854432975678	3.52410603181954e-24
"165"	"VGF"	-0.872258425506051	3.74973725346854e-24
"166"	"PCDHGB6"	3.67968215055621	3.95114014772234e-24
"167"	"NLRP4"	-1.97233978393088	4.07148141937515e-24
"168"	"OR2A4"	-1.6231067049128	4.24503620440177e-24
"169"	"MAP3K3"	1.93661326676555	4.90307858884428e-24
"170"	"PRC1"	-1.96078538319466	5.18572274839891e-24
"171"	"C10orf35"	-1.76485822836688	5.82926453735593e-24
"172"	"RRS1"	-2.08743064878527	5.84258911110368e-24
"173"	"ADCYAP1"	2.94837807041008	5.86772560660653e-24
"174"	"CXCL5"	4.24689115111544	5.86772560660653e-24
"175"	"XKR4"	-1.94347192807056	5.92610611080637e-24
"176"	"DEFB126"	-2.08715407265057	6.56302913447382e-24
"177"	"MORN1"	-1.32389713061827	6.61296261273021e-24
