LUAD	FDR_LUAD	LUSC	FDR_LUSC
RTKN2	4.48E-228	RTKN2	3.77E-300
OTUD1	2.05E-205	ROBO4	8.58E-289
STX11	2.78E-204	RAMP2	4.26E-286
SEMA3G	8.82E-203	C13orf15	8.45E-278
FAM107A	3.02E-202	CLEC3B	2.20E-277
S1PR1	2.94E-201	HSD17B6	3.30E-259
RAMP3	1.03E-198	ACVRL1	1.28E-257
C13orf15	6.44E-197	CDH5	2.47E-250
LOC158376	2.71E-193	GPD1	1.89E-243
PECAM1	2.06E-192	TEK	1.28E-238
EPAS1	1.15E-191	ARHGEF15	9.85E-238
ACVRL1	6.83E-189	TCF21	9.39E-237
TEK	1.57E-188	PTPRB	5.96E-236
LIMS2	6.83E-187	INMT	4.80E-234
RAMP2	3.13E-186	PRX	8.72E-232
HSPA12B	1.05E-183	LDB2	4.91E-228
LDB2	8.97E-183	CLIC5	3.12E-227
KANK3	1.98E-180	ESAM	3.28E-225
PRX	2.26E-178	ITLN1	1.06E-224
EDNRB	3.04E-170	KANK3	4.87E-219
PTPN21	6.52E-170	GPR146	2.26E-217
ROBO4	1.38E-168	EDNRB	2.04E-215
WWC2	2.28E-168	FAM107A	1.49E-214
EMP2	4.79E-167	RAMP3	5.11E-213
PALM2-AKAP2	1.12E-163	PECAM1	8.20E-213
FCN3	1.59E-160	S1PR1	6.93E-212
SH2D3C	6.01E-159	DLC1	9.63E-211
FHL1	4.48E-158	CSRNP1	6.37E-210
TAL1	1.43E-155	C19orf59	4.96E-205
CALCRL	8.21E-155	CLEC14A	1.05E-204
SDPR	1.09E-152	EMCN	4.93E-202
CDH5	3.47E-152	AGER	1.87E-200
FOXF1	2.24E-151	WWC2	2.12E-197
SPOCK2	1.87E-150	MYCT1	5.31E-197
FMO2	7.83E-148	RS1	1.24E-193
GCOM1	1.93E-145	ANGPT4	1.37E-192
AKAP2	4.82E-143	NPR1	3.81E-191
FABP4	6.83E-143	SH2D3C	4.23E-191
AGER	8.03E-143	FHL1	2.02E-189
CYYR1	5.15E-140	SECISBP2L	1.88E-187
PRKCE	3.89E-139	SLC39A8	3.23E-186
