id	logFC	AveExpr	t	P.Value	adj.P.Val	B
SERTM1	-6.257601985	-1.705762483	-26.80644422	1.71E-104	2.58E-100	227.7206781
SLC6A4	-7.399662464	0.20758829	-26.24002862	1.70E-101	1.29E-97	220.8520056
RTKN2	-4.484120473	3.962951931	-26.14119205	5.68E-101	2.86E-97	219.6522024
OTUD1	-2.08220649	4.310175104	-25.41771216	3.91E-97	1.48E-93	210.8605944
PECAM1	-2.399042396	7.634298285	-24.95041614	1.18E-94	3.58E-91	205.1756774
ANGPT4	-4.32678136	-1.262431941	-24.77070842	1.07E-93	2.69E-90	202.9885797
ACVRL1	-2.625672983	5.091981546	-24.70329332	2.43E-93	5.26E-90	202.1680333
SPAAR	-2.622879268	-0.045289726	-24.46911808	4.27E-92	8.07E-89	199.3175123
PYCR1	3.539385464	6.301824351	24.43602505	6.40E-92	1.08E-88	198.9146634
EPAS1	-2.726146005	8.655508243	-24.41920665	7.86E-92	1.19E-88	198.7099281
STX11	-3.23140508	2.838051832	-24.18146723	1.44E-90	1.98E-87	195.8158324
CD300LG	-5.672339471	-1.30551558	-24.03841956	8.29E-90	1.04E-86	194.0745108
RGCC	-2.985099791	5.531221864	-23.93568207	2.91E-89	3.39E-86	192.8239538
TEK	-3.439845755	3.464167278	-23.91893108	3.58E-89	3.86E-86	192.6200621
S1PR1	-2.931674476	4.596345376	-23.80233302	1.49E-88	1.50E-85	191.2009101
FABP4	-6.039728562	1.555599072	-23.45752596	1.01E-86	9.54E-84	187.0051515
FAM107A	-4.963692372	3.18099913	-23.35463463	3.55E-86	3.16E-83	185.7535126
EMP2	-2.928708873	7.993639787	-23.29996777	6.92E-86	5.82E-83	185.0885973
ITLN2	-6.605798241	-0.898209628	-23.26588325	1.05E-85	8.36E-83	184.6740593
RAMP2	-3.004879338	3.720977206	-23.02682789	1.95E-84	1.47E-81	181.7674601
AGER	-6.626265523	5.151849688	-23.00210428	2.64E-84	1.90E-81	181.4669418
EDNRB	-3.811813239	3.907786414	-22.97985324	3.46E-84	2.38E-81	181.1964931
LDB2	-2.701275635	4.068779845	-22.94468905	5.31E-84	3.50E-81	180.769123
HSPA12B	-2.85033125	2.594796898	-22.83132662	2.12E-83	1.34E-80	179.3916304
SPOCK2	-3.559089015	6.116684099	-22.60621751	3.31E-82	2.00E-79	176.6575933
ROBO4	-2.962259404	4.382241915	-22.59294135	3.89E-82	2.26E-79	176.4964086
CAV1	-4.070690572	6.821078761	-22.58470975	4.30E-82	2.41E-79	176.3964728
CDH5	-2.660841418	5.54298623	-22.57719961	4.72E-82	2.55E-79	176.3052984
JAM2	-2.664069692	3.515137506	-22.52683758	8.72E-82	4.55E-79	175.6939529
GPM6A	-5.704445131	0.716040684	-22.49887406	1.23E-81	6.18E-79	175.3545484
PTPN21	-2.547679297	4.313368728	-22.26189686	2.20E-80	1.08E-77	172.4796344
WNT3A	-4.992321785	-0.681867344	-22.19973681	4.70E-80	2.22E-77	171.7259667
LIMS2	-2.999406035	4.040633585	-22.18207978	5.83E-80	2.67E-77	171.5119167
FHL1	-3.961288493	4.869702943	-22.14529464	9.12E-80	4.06E-77	171.0660335
KANK3	-3.022360533	2.181121139	-22.12640473	1.15E-79	4.96E-77	170.8370904
CCM2L	-2.655357041	1.489577059	-22.08577803	1.88E-79	7.75E-77	170.3447633
WWC2	-2.442345862	5.106214215	-22.08525953	1.90E-79	7.75E-77	170.3384804
MYZAP	-3.555433492	0.962014422	-21.9974823	5.52E-79	2.20E-76	169.2750712
GRK5	-2.684693964	4.429818264	-21.9288968	1.27E-78	4.93E-76	168.4444624
TAL1	-2.912037421	1.38716999	-21.91887375	1.44E-78	5.43E-76	168.3231
ECSCR	-2.443332504	1.574686851	-21.91336492	1.54E-78	5.67E-76	168.2563997
SEMA3G	-3.110579676	3.086418786	-21.90963949	1.61E-78	5.79E-76	168.2112935
RAMP3	-3.220320538	3.699323267	-21.84800266	3.40E-78	1.20E-75	167.4651353
PTPRQ	-4.681009697	-1.351623184	-21.84048942	3.73E-78	1.28E-75	167.3741974
PRX	-3.507142631	3.537185727	-21.71852022	1.64E-77	5.52E-75	165.8983993
CLEC3B	-4.344137278	2.829533356	-21.49556671	2.46E-76	8.10E-74	163.2031733
SH2D3C	-2.373368788	4.179704038	-21.4603649	3.78E-76	1.22E-73	162.7779348
FAM83A	6.054509242	5.471505332	21.17311624	1.23E-74	3.88E-72	159.3113347
FGD5	-2.382575879	4.427543024	-21.12133742	2.30E-74	7.12E-72	158.6871237
CLEC1A	-2.371635696	1.581486627	-21.07506684	4.04E-74	1.22E-71	158.1294984
SCUBE1	-4.243956337	1.525885915	-21.07241595	4.17E-74	1.24E-71	158.0975566
CYYR1	-2.321723354	3.661441784	-20.84974362	6.17E-73	1.79E-70	155.4165919
USHBP1	-2.378104217	1.416292812	-20.84837268	6.27E-73	1.79E-70	155.4000991
FOXF1	-2.842860164	3.025408456	-20.84265712	6.72E-73	1.88E-70	155.3313411
TEDC2	3.163594694	2.044029456	20.78452107	1.36E-72	3.73E-70	154.6321313
GIMAP8	-2.602276917	4.046587924	-20.77831964	1.46E-72	3.95E-70	154.5575639
CALCRL	-2.870926814	4.993261079	-20.6263145	9.16E-72	2.43E-69	152.7309282
GPIHBP1	-4.455682124	1.465907714	-20.56059581	2.03E-71	5.28E-69	151.9418677
IQGAP3	3.375584177	4.258806595	20.54152627	2.55E-71	6.54E-69	151.7129852
ARHGEF15	-2.576460701	3.334153934	-20.49223555	4.62E-71	1.16E-68	151.1215381
ARHGEF26	-2.920039217	3.952282293	-20.48615288	4.97E-71	1.23E-68	151.0485679
CAVIN2	-3.733185127	5.182788814	-20.46118784	6.72E-71	1.64E-68	150.7491159
FCN3	-4.791356957	2.819834719	-20.41553986	1.16E-70	2.79E-68	150.2017379
GPD1	-4.626062545	1.757282639	-20.39902608	1.42E-70	3.36E-68	150.0037686
MYCT1	-2.356238052	3.031326636	-20.37411776	1.92E-70	4.46E-68	149.7052177
UPK3B	-5.71592492	2.104149607	-20.34438268	2.74E-70	6.29E-68	149.3488975
FXYD1	-3.156730925	-0.60505884	-20.33606587	3.03E-70	6.84E-68	149.2492523
STARD13	-2.102145614	3.8599875	-20.26213339	7.38E-70	1.62E-67	148.3637747
CLEC14A	-2.393360101	4.580231479	-20.26200746	7.39E-70	1.62E-67	148.362267
RSPO1	-3.890736345	-0.797541872	-20.16655214	2.33E-69	5.04E-67	147.2198836
PLAC9	-2.790946019	1.984443007	-20.09687291	5.38E-69	1.15E-66	146.3866144
NOVA2	-2.537797813	1.988667098	-20.07093686	7.35E-69	1.54E-66	146.0765935
RXFP1	-3.374396824	0.190616103	-20.0618545	8.20E-69	1.70E-66	145.9680474
FGFBP2	-3.647158605	-1.013519911	-19.99426751	1.85E-68	3.77E-66	145.1605916
NECAB1	-3.685417076	1.280318515	-19.97461196	2.34E-68	4.71E-66	144.9258676
CD101	-2.693893511	1.997287686	-19.95492099	2.96E-68	5.86E-66	144.6907657
RASIP1	-2.481170653	3.375496699	-19.9542558	2.98E-68	5.86E-66	144.6828244
ARHGAP6	-2.572059947	2.092958501	-19.91758109	4.63E-68	8.98E-66	144.2450683
ALDH18A1	1.559374048	6.608884195	19.87887337	7.37E-68	1.41E-65	143.7832188
ADM2	3.285489315	3.418483814	19.86519109	8.68E-68	1.64E-65	143.6200087
CAT	-2.039970317	6.623302011	-19.86401343	8.80E-68	1.64E-65	143.6059619
ANKRD1	-5.438210385	0.709286855	-19.84919385	1.05E-67	1.94E-65	143.429213
SLC39A8	-2.795210574	6.860721609	-19.82275042	1.44E-67	2.63E-65	143.1138957
PRKCE	-1.864642084	4.246635007	-19.77434171	2.58E-67	4.64E-65	142.5368807
CA4	-5.482376332	0.316679794	-19.75512018	3.25E-67	5.78E-65	142.3078468
JPH4	-2.848503118	0.138223349	-19.75160333	3.39E-67	5.95E-65	142.2659469
CLIC5	-4.539021958	4.610990865	-19.74936186	3.48E-67	6.05E-65	142.2392426
THSD1	-2.277624147	2.130702734	-19.74023513	3.88E-67	6.67E-65	142.1305158
ERG	-2.2274381	4.045143813	-19.71923982	4.99E-67	8.48E-65	141.8804379
STXBP6	-4.048729765	1.935443107	-19.64927951	1.15E-66	1.94E-64	141.0475323
NCKAP5	-4.413912566	1.944439182	-19.6181759	1.67E-66	2.78E-64	140.6774316
LIN7A	-3.103735305	1.794084217	-19.5539729	3.60E-66	5.92E-64	139.9138779
TOP2A	3.531202138	6.122747321	19.54597235	3.96E-66	6.44E-64	139.8187667
TMEM100	-4.952044336	2.380039654	-19.54087017	4.21E-66	6.77E-64	139.758116
LMO2	-1.989995346	3.567171322	-19.52280031	5.22E-66	8.32E-64	139.5433429
