Rank	Gene	Mean_Tumor_TPM/Mean_Normal_TPM	P-value
1	SLC6A4	0.014968473	2.39E-10
2	AGER	0.029781969	1.62E-12
3	CD300LG	0.031274842	4.82E-12
4	ANKRD1	0.032088184	1.75E-08
5	SFTPC	0.035272879	1.62E-12
6	FABP4	0.036784272	1.63E-12
7	HBA1	0.042812687	1.92E-09
8	CA4	0.043083944	0
9	FAM107A	0.044958657	2.32E-12
10	FCN3	0.045835321	2.05E-12
11	LGI3	0.046604077	1.62E-12
12	ITLN2	0.048141818	0
13	HBA2	0.051486818	3.42E-10
14	TMEM100	0.05382071	3.61E-12
15	GPM6A	0.054011477	0
16	HBB	0.054355067	9.06E-09
17	CLDN18	0.054978407	1.62E-12
18	GPD1	0.057887609	1.62E-12
19	C19orf59	0.059981885	1.62E-12
20	RTKN2	0.060102488	1.62E-12
21	UPK3B	0.065309028	2.55E-15
22	SOSTDC1	0.069700015	1.85E-13
23	FIGF	0.078426549	1.62E-12
24	GPIHBP1	0.078836885	1.62E-12
25	TNNC1	0.080771743	1.62E-12
26	EDNRB	0.080992138	1.62E-12
27	CLEC3B	0.082143751	0
28	ADAMTS8	0.082902517	1.62E-12
29	INMT	0.083320725	0
30	CLIC5	0.083878026	1.62E-12
31	DNASE1L3	0.08542569	4.50E-08
32	NCKAP5	0.086267694	1.62E-12
33	GCOM1	0.087681962	1.62E-12
34	BTNL9	0.088120725	6.16E-13
35	VIPR1	0.089575504	2.66E-12
36	PRX	0.090979377	1.63E-12
37	FHL1	0.09477523	1.62E-12
38	ADH1B	0.09545119	0
39	GDF10	0.095511549	1.62E-12
40	FMO2	0.097759286	1.62E-12
41	MGAT3	0.098265605	0
42	SDPR	0.099521809	0
43	ABCA8	0.100010106	0
44	ACADL	0.100978982	0
45	TEK	0.104748722	0
46	TCF21	0.105570836	1.62E-12
47	FOSB	0.106120752	4.66E-07
48	CAV1	0.107264244	0
49	SEMA3G	0.107684532	1.09E-11
50	RAMP3	0.108996475	1.64E-12
51	ADRB1	0.111431057	1.69E-13
52	SCGB1A1	0.112012421	8.74E-07
53	SLC19A3	0.11320273	1.62E-12
54	AQP4	0.11458242	1.62E-12
55	SPOCK2	0.115525771	1.62E-12
56	LYVE1	0.116157938	5.32E-14
57	RETN	0.116188458	1.01E-13
58	FAM189A2	0.118723179	1.62E-12
59	ADRB2	0.120247101	0
60	HHIP	0.121817797	5.55E-16
61	COL6A6	0.122858939	1.62E-12
62	STXBP6	0.123121005	1.62E-12
63	SCN4B	0.125702256	1.11E-16
64	CD36	0.12585121	0
65	MARCO	0.127331147	0
66	DES	0.128671297	1.63E-12
67	STX11	0.129583543	1.62E-12
68	IGSF10	0.130493295	0
