Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
PYCR1,3.362494458,5.334054253,27.29412137,1.16E-65,1.59E-62,139.1210106
ALDH18A1,1.624941559,6.149800804,22.89033032,4.97E-55,1.13E-52,114.6160212
RCC1,1.567755514,5.210090058,20.42956885,1.25E-48,1.46E-46,99.8633653
PPP1R14B,1.97129094,6.774901804,20.25260766,3.71E-48,4.06E-46,98.79042334
PAICS,1.749423905,5.295515162,20.08399376,1.05E-47,1.07E-45,97.72787774
GOLM1,2.377384562,6.860338111,18.97960345,1.04E-44,8.53E-43,90.84557683
UBE2T,2.683551993,4.205757889,18.30436728,7.60E-43,5.20E-41,86.89814348
PPP1R14BP3,1.857272574,5.937092602,17.84269549,1.47E-41,8.93E-40,83.56547893
FAM83A,4.368435178,3.965416559,17.79039498,2.05E-41,1.21E-39,83.59159452
PDIA4,1.681990719,8.284738952,17.69012066,3.92E-41,2.26E-39,82.67631697
B3GNT3,3.417106729,4.210578127,17.66786255,4.53E-41,2.58E-39,82.83354092
EFNA4,1.893855231,4.724303144,17.45074672,1.84E-40,9.84E-39,81.21557618
ETV4,2.81887817,4.016543276,17.44515547,1.91E-40,1.01E-38,81.39410915
MANF,1.248672329,6.551348861,17.37207361,3.07E-40,1.60E-38,80.53782236
MRPL3,1.159120584,6.381202739,17.27055852,5.93E-40,3.01E-38,79.87347911
CCT3,1.36225698,7.736513199,17.26301268,6.22E-40,3.13E-38,79.88627975
CCNB1,2.621283647,4.857668115,17.20104515,9.31E-40,4.55E-38,79.51747129
ATIC,1.219313833,6.080091518,17.14683823,1.32E-39,6.42E-38,79.06247078
OCIAD2,1.941919994,6.397314833,17.04676229,2.54E-39,1.19E-37,78.41751751
CDC20,3.131183816,4.511886858,16.85844903,8.68E-39,3.77E-37,77.49655005
TOP2A,3.201646166,4.681747337,16.84740808,9.33E-39,3.99E-37,77.32044005
CTHRC1,3.549965378,5.504029219,16.81859823,1.13E-38,4.75E-37,76.91647145
P4HB,1.065808973,8.782387031,16.79549432,1.31E-38,5.40E-37,76.88428746
HMGB3,2.947064886,6.446085648,16.65540892,3.28E-38,1.31E-36,75.86116636
UBE2C,3.468901368,4.996326078,16.59786383,4.78E-38,1.88E-36,75.51819793
