Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
A1BG	ENSG00000121410.11	15.58	17.04	-0.122	4.52E-01
A1BG-AS1	ENSG00000268895.5	3.12	5.29	-0.61	5.89E-29
A1CF	ENSG00000148584.14	0	0.01	-0.014	1.01E-03
A2M	ENSG00000175899.14	224.348	1663.723	-2.885	4.40E-183
A2M-AS1	ENSG00000245105.2	0.53	2.23	-1.078	2.16E-180
A2ML1	ENSG00000166535.19	0.05	0.11	-0.08	2.41E-01
A2MP1	ENSG00000256069.7	0.03	0.24	-0.268	1.57E-72
A3GALT2	ENSG00000184389.9	0	0.05	-0.07	9.41E-30
A4GALT	ENSG00000128274.15	10.5	22.6	-1.037	4.02E-46
A4GNT	ENSG00000118017.3	0.04	0.14	-0.132	1.38E-05
AAAS	ENSG00000094914.12	28.41	43.761	-0.606	9.94E-26
AACS	ENSG00000081760.16	14.08	10.08	0.445	7.93E-34
AACSP1	ENSG00000250420.8	0.02	0.04	-0.028	1.13E-01
AADAC	ENSG00000114771.13	0.69	1.72	-0.687	3.09E-06
AADACL2	ENSG00000197953.5	0	0.04	-0.057	2.45E-14
AADACP1	ENSG00000240602.7	0.32	0.22	0.114	4.17E-04
AADAT	ENSG00000109576.13	2.59	4.14	-0.518	4.12E-19
AAED1	ENSG00000158122.11	6.99	10.9	-0.575	4.12E-44
AAGAB	ENSG00000103591.12	24.02	18.29	0.375	8.28E-30
AAK1	ENSG00000115977.18	7.41	10.62	-0.466	6.79E-34
AAMDC	ENSG00000087884.14	33.19	50.6	-0.594	6.84E-36
AAMP	ENSG00000127837.9	90.747	71.352	0.343	3.03E-31
AANAT	ENSG00000129673.9	0.07	0.19	-0.153	6.12E-28
AAR2	ENSG00000131043.11	23.369	21.24	0.132	1.61E-17
AARD	ENSG00000205002.3	0.37	1.13	-0.637	3.71E-17
AARS	ENSG00000090861.15	59.182	51.739	0.19	2.12E-02
AARS2	ENSG00000124608.4	5.67	4.6	0.252	8.12E-14
AARSD1	ENSG00000266967.6	34.63	35.25	-0.025	3.13E-01
AASDHPPT	ENSG00000149313.10	17.54	11.01	0.626	2.14E-66
AASS	ENSG00000008311.14	3.89	18.78	-2.016	5.48E-113
AATBC	ENSG00000215458.8	1.64	1.83	-0.1	1.82E-02
AATF	ENSG00000275700.4	40.36	28.779	0.474	1.30E-35
AATK	ENSG00000181409.11	1.8	15.56	-2.564	5.09E-150
AB019441.29	ENSG00000225200.2	1.17	1.05	0.082	6.94E-05
ABALON	ENSG00000281376.1	0.59	0.61	-0.018	1.02E-01
ABAT	ENSG00000183044.11	3.6	4.79	-0.332	1.38E-03
