Rank	Gene	Mean_Tumor_TPM/Mean_Normal_TPM	P-value
1	FAM83A	128.9848142	1.62E-12
2	SPINK1	116.9389911	5.87E-12
3	LOC84740	92.89498121	1.62E-12
4	XAGE1D	81.33389575	0
5	CST1	78.88950579	1.06E-06
6	CRABP2	61.56846074	1.62E-12
7	MMP11	43.22702572	0
8	GREM1	38.12851093	0
9	SPP1	33.66779305	0
10	TMPRSS4	31.72181231	0
11	CEACAM5	31.48037575	1.62E-12
12	S100P	31.39064208	1.64E-12
13	GJB2	30.277341	0
14	MMP1	29.96458734	1.72E-12
15	COL10A1	27.67692029	0
16	UBE2C	24.90044722	0
17	TROAP	23.9476778	0
18	TUBB3	23.03818896	1.62E-12
19	MMP12	22.21410869	1.62E-12
20	B3GNT3	21.44976467	0
21	DNAJC12	21.31035727	1.62E-12
22	TFPI2	20.85035295	5.99E-05
23	BIRC5	20.46043996	1.62E-12
24	TOP2A	20.40576914	1.62E-12
25	ANLN	20.28478044	1.62E-12
26	MYBL2	20.26937816	1.62E-12
27	CDC20	20.15402068	1.62E-12
28	CXCL14	20.14981672	3.67E-12
29	KIF2C	20.1152714	0
30	TPX2	17.98978713	1.62E-12
31	NEK2	17.79622359	1.62E-12
32	CTHRC1	17.12895335	1.62E-12
33	AURKB	16.15017449	0
34	ETV4	16.13220245	1.62E-12
35	S100A2	15.66757109	4.16E-07
36	CDC6	15.47185679	1.62E-12
37	CDCA3	15.34959222	1.62E-12
38	PYCR1	15.16226907	0
39	FOXM1	15.00286764	1.62E-12
40	PSAT1	14.84925732	1.62E-12
41	CDKN2A	14.46770142	1.62E-12
42	UCHL1	14.42933526	3.33E-16
43	EPR1	13.93302447	0
44	PLK1	13.91871406	0
45	HS6ST2	13.70223123	1.62E-12
46	SLC2A1	13.64081258	1.62E-12
47	CP	13.3792234	0
48	UBE2T	13.2169175	1.62E-12
49	RHOV	12.85250114	2.20E-12
50	CEP55	12.68190229	0
51	SPAG5	12.5922881	1.62E-12
52	HMGB3	12.38378497	1.62E-12
53	RRM2	12.34704327	1.62E-12
54	CCNB2	12.28330297	0
55	SYT7	12.27784045	1.62E-12
56	ALG1L	12.11475293	0
57	STX1A	12.01642006	1.62E-12
58	TESC	11.63521139	1.67E-12
59	CBLC	11.52955765	0
60	CDCA8	11.32557363	0
61	KCNN4	11.16704256	0
62	CDKN3	10.76006586	1.62E-12
63	CDCA5	10.70389195	0
64	GPT2	10.70208617	0
65	PODXL2	10.68504694	0
66	C15orf48	10.67862537	1.62E-12
67	SPAG4	10.29385452	1.62E-12
68	GINS2	10.26121653	1.62E-12
69	EGLN3	9.930937916	1.11E-16
70	SPDEF	9.745844257	1.62E-12
71	KIAA0101	9.678194514	1.62E-12
72	CCNA2	9.653559155	0
73	CCNB1	9.643990974	1.62E-12
74	HES6	9.482746482	3.09E-09
75	MDK	9.474858083	0
76	P2RY6	9.47166104	0
77	COL1A1	9.2826737	1.62E-12
78	TFF3	9.193732825	1.71E-10
79	THBS2	9.188263806	1.11E-16
80	COMP	9.18746896	1.11E-16
81	STEAP1	8.872124455	1.62E-12
82	KIFC1	8.812658734	1.62E-12
83	CDH3	8.765319823	0
84	PTGES	8.584083324	1.62E-12
85	NQO1	8.565994811	0
86	TRIP13	8.15731708	0
87	ZWINT	8.155683031	0
88	EZH2	8.061562352	0
89	MAD2L1	7.9677057	1.62E-12
90	KIF11	7.945266028	0
91	TK1	7.935441952	0
92	CDCA7	7.920760965	0
93	PLEK2	7.903383379	1.62E-12
94	PLAU	7.83560517	0
95	SLC7A5	7.815478141	1.62E-12
96	KRT17	7.730877568	2.52E-07
97	KRT15	7.723194371	8.29E-05
98	QPCT	7.555632859	1.62E-12
99	NUSAP1	7.407651424	1.62E-12
100	AURKA	7.404010061	0
101	PRC1	7.279698724	0
102	FBXO32	7.235535423	0
103	SULF1	7.184627254	0
104	CDK1	7.092336997	0
105	COL3A1	6.920338425	0
106	SPTBN2	6.915190543	1.62E-12
107	LGR4	6.69609163	1.62E-12
108	MLF1IP	6.665707422	0
