,logFC,AveExpr,t,P.Value,adj.P.Val,B
PYCR1,3.643576849,5.15650511,25.86500445,5.56E-50,8.57E-46,103.49227
SFXN1,1.663645971,4.616969203,22.27122769,1.06E-43,1.26E-40,89.0674439
ALDH18A1,1.714564588,6.043176593,21.20924727,1.01E-41,6.14E-39,84.48398522
PAICS,1.772336354,6.014957571,19.85542849,4.13E-39,1.41E-36,78.47152907
FAM83A,6.543013636,2.750676289,19.48489122,2.23E-38,6.02E-36,76.86860337
SRPK1,1.628585307,5.739017502,19.36372048,3.88E-38,1.03E-35,76.23345868
RASAL1,4.13175544,0.304016884,18.94635917,2.66E-37,6.11E-35,73.98810496
FERMT1,3.181647917,3.03669762,18.86587454,3.86E-37,8.38E-35,74.04493072
GOLM1,2.656721822,6.915902461,18.76486589,6.18E-37,1.29E-34,73.47283708
TUBB3,4.230900538,4.380492025,18.63055446,1.16E-36,2.32E-34,72.8904324
GPT2,2.697005953,4.058671088,18.28114091,5.98E-36,1.07E-33,71.27184111
ETV4,3.447468684,3.157834242,18.12509696,1.25E-35,2.08E-33,70.5843345
RCC1,2.09412207,4.618595912,17.85586196,4.51E-35,6.88E-33,69.2146548
PPAT,1.898012952,3.312198003,17.82911141,5.13E-35,7.67E-33,69.17622326
C16orf59,3.365641289,0.28697337,17.70916509,9.10E-35,1.31E-32,68.29835902
UBE2T,3.248107257,2.170122398,17.66814834,1.11E-34,1.54E-32,68.39536036
C9orf140,3.439281063,2.174709771,17.56608772,1.81E-34,2.43E-32,67.91007763
CSTF2,1.137282083,3.887956681,17.35400126,5.04E-34,6.26E-32,66.85889989
PAK1,1.265819418,5.90052449,17.27835094,7.27E-34,8.62E-32,66.38660353
TOP2A,3.860725381,4.638886032,17.23847336,8.82E-34,1.03E-31,66.24067345
PPP1R14B,1.929546912,5.424532693,17.21830218,9.73E-34,1.13E-31,66.10528445
PHKA1,1.713453375,3.737359798,17.19782749,1.07E-33,1.24E-31,66.11531079
PDIA4,1.751603192,8.016834806,17.17986652,1.17E-33,1.34E-31,65.95547398
E2F8,3.486002127,0.855725547,17.13044003,1.49E-33,1.64E-31,65.68071514
ATIC,1.300050489,6.027719451,17.0860109,1.85E-33,2.00E-31,65.44984472
IGSF9,3.681964592,2.684098759,17.07800879,1.93E-33,2.05E-31,65.58294267
KIF26B,3.33664288,2.764937245,17.04716464,2.24E-33,2.33E-31,65.43321684
LGR4,2.626505177,4.661107025,17.03272497,2.40E-33,2.45E-31,65.23785744
PSAT1,3.384274405,2.725155187,17.03170523,2.41E-33,2.45E-31,65.35851313
NME1,2.196895348,5.407941308,16.92201406,4.13E-33,4.05E-31,64.66043119
ERCC6L,3.062789379,0.52916158,16.8641997,5.48E-33,5.34E-31,64.34782299
DLGAP5,4.071737243,1.576200379,16.80810072,7.21E-33,6.94E-31,64.21997959
CDC20,3.897624366,2.691981159,16.71471333,1.14E-32,1.05E-30,63.81548159
IQGAP3,3.717915035,2.544649777,16.59799329,2.03E-32,1.81E-30,63.24484855
PAFAH1B3,2.018237696,4.060555009,16.58313816,2.18E-32,1.92E-30,63.08053281
OCIAD2,2.081114141,5.595545379,16.52871122,2.86E-32,2.47E-30,62.71925216
CDC25C,4.105522388,-0.398355915,16.49621134,3.35E-32,2.87E-30,62.3693881
KIF4A,4.22849444,1.805150754,16.46080135,4.00E-32,3.40E-30,62.54692974
